tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28183615,191,158.0,matias64,2019-11-05T11:10:28+00:00,0,6,#158 y tu que sabes a que se dedica? de verdad te crees que los trabajos duros hacen al trabajador más sabio? entonces por que a la clase obrera le va como le va?
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28180503,190,178.0,manuelitos,2019-11-04T21:06:47+00:00,0,9,"#178  Sí, tienes razón, y perdóname. Tu pregunta era que por qué es gilipollas, Yo interpreté que era muy obvio que si te paras a leer la noticia ya sabes que es un gilipollas. Pero como veo que no lo sabes, te lo voy a explicar.  Empezando porque su propio padre  piensa que es gilipollas, porque aunque sean los dos igual de fachas, el nene tuvo que salir pidiendo perdón por las regañinas de su papá por inclinarse a favor de una dictadura abiertamente (que eso queda en casa nene). En cuanto a lo que nos atañe,  y de verdad que me duele tener que explicarlo. Es verdad que los dos se disfrazan, es verdad que uno es gay declarado y al otro se le presupone hétero,  es verdad que que los dos son hijos de presidentes...  

Pero uno, lo  que hace lo hace por afición, hobby o lo que quieras. El otro es por puro odio . 

Misógino declarado (no quiere que las mujeres tengan más participación política y afirma que el feminismo es una enfermedad ""es un error que una mujer quiera ser igual al hombre. Nunca será"" o ""ser feminista es sinónimo de ser abortista"" . Rancio ""quienes abogan por el aborto persiguen propósitos personales"" Homófobo, tiene declarara la guerra a la comunidad LGBTI...
Quizás no sea gilipollas, y solo sea un retardado ""las mujeres de derecha ""son más higiénicas que las de izquierda"""" Fue demandado por su ex por frases como ""puta"" y ""vagabunda"", además de frases como ""tenías que haber follado más para aprender a callarte"" y ""vete al infierno, perra"" Tu pregunta no era complicada. Lo que fué complicado para mí era entender tú pregunta. Pero será eso, que no tengo comprensión lectora. Y es que estoy mal acostumbrado a leer entre líneas."
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28178035,189,188.0,Wamphyri,2019-11-04T15:31:14+00:00,0,6,"#188 No, en serio, a mí me sangran los ojos al leerlo..."
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28178007,188,187.0,mcfgdbbn3,2019-11-04T15:28:20+00:00,0,11,"#187: Bueno, digamos que más que regular, es una conjugación similar a caer. {tongue}

Caer -> Caigo, caigas, caiga, caigamos, caigáis, caigan.
Haber -> Haigo, haigas, haiga, haigamos, haigáis, haigan ... (hayo, hayas, haya, hayamos, hayáis, hayan...)

Incluso en el verbo caber se podría hacer algo parecido: caibo, caibas, caiba, caibamos, caibáis, caiban (quepo, quepas, quepa, quepamos, quepáis, quepan).

Yo personalmente no lo veo muy mal, salvo que no tenemos costumbre de escucharlo y por eso suena raro."
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28177989,187,154.0,Wamphyri,2019-11-04T15:26:13+00:00,0,6,"#154 Las formas regulares de verbos irregulares (como ""haiga""), son de gran ayuda para extranjeros que aprendan español, yo no veo mal su implementación, porque el español es muy complicado en cuanto a conjugaciones. ""haiga"" no es una forma regular de un verbo irregular. Lo que dices no existe. Y en tal caso, de haber, (igual que comer), la 3ª persona del singular del presente del subjuntivo sería ""haba"", al igual ""coma"", lo es de ""comer"".

HAIGA es una ABERRACIÓN.

¿Lo siguiente qué será, eliminar los artículos? Total, ya está el nombre y con él se sabe género y número...

Macho, lo que hay que leer... (y mal escrito). Cambiar nuestra lengua para que los extranjeros la entiendan mejor... Vaya argumento más naïf."
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28175998,186,,Fernando_x,2019-11-04T11:49:53+00:00,1,18,"melosfo

cc: #10 #57"
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28175592,185,78.0,fr1k1,2019-11-04T11:06:31+00:00,0,10,"#78 Hombre, es un argumento al nivel de ""dios puede existir, o no, así que tenemos un 50% de posibilidades de que exista"""
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28175332,184,183.0,fr1k1,2019-11-04T10:33:48+00:00,0,10,#183 sasto
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28175310,183,181.0,Battlestar,2019-11-04T10:31:11+00:00,1,19,"#181 No, si lo curioso es que ellos mismos son los que hacen la coña muchas veces, cuando la haces tú siempre es otro el que se ofende en su nombre no ellos {lol}"
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28175028,182,,fr1k1,2019-11-04T09:47:07+00:00,0,10,"Yo viendo las fotos pensaba que estaban los dos de cosplay, uno de Picachu y otro de SantidESPAÑA!"
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28175000,181,116.0,fr1k1,2019-11-04T09:43:39+00:00,0,10,"#116 El tema es que con ese tema un homofobo no puede bromear, y un no homofobo si. 
Sencillamente porque sabes que el primero va a hacer daño y el otro no.
Y si tienes colegas gays sabes que puedes soltar coñas del tema con ellos (o ellas) perfectamente y sin problemas"
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28174966,180,111.0,fr1k1,2019-11-04T09:38:48+00:00,0,10,#111 Pierdes el derecho a no ser ofendido cuando empiezas ofendiendo
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28174092,179,,Pilar_F.C.,2019-11-04T07:23:50+00:00,0,6,#58los dos representan a la sociedad
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28173101,178,167.0,afr,2019-11-03T22:01:49+00:00,0,6,"#167 Te invitaría a mejorar tu comprensión lectora, pero a lo mejor fue mi culpa al escribir una pregunta tan complicada con sólo dos palabras. Me esforzaré y volveré a escribirla adaptándola a ti: ¿por qué es gilipollas?"
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28172740,177,,mariopg,2019-11-03T20:57:42+00:00,0,6,nazi vs todo lo contrario. ójala pudiera ser la mitad del mundo nazi y la otra mitad todo lo contrario y que una mitad no pudiera intervenir en la otra y que cada uno eligiera en qué mitad quiere vivir
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28172680,176,170.0,--349396--,2019-11-03T20:44:58+00:00,1,23,#170 Lo suyo es que se eduque a la gente antes de que se llegue a la agresión. Esa es en parte la labor de concienciación que hacen estos grupos.
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28171919,175,7.0,matacalvos,2019-11-03T18:24:26+00:00,1,25,"#7 Negativo por error, te compenso en otros comentarios, lo siento."
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28171901,174,168.0,MiaZommbie,2019-11-03T18:21:06+00:00,0,6,"#168 Huy, perdona, le di al botón que no era. Mis disculpas {smiley}"
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28171831,173,39.0,Conde_Lito,2019-11-03T18:08:42+00:00,1,22,"#39 Que dices, todo lo contrario, y también son bienvenidos los zorritos y los perritos... {roll}"
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28171789,172,31.0,Conde_Lito,2019-11-03T18:01:12+00:00,1,22,#31 Hace años que vengo diciendo lo mismo. {lol}
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28171753,171,48.0,Conde_Lito,2019-11-03T17:55:17+00:00,2,31,"#48 Y así es como se crea la normalidad, que a ojos de otras personas seas una persona normal independientemente de con quien te acuestes o como vistas."
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28171733,170,52.0,Conde_Lito,2019-11-03T17:52:20+00:00,1,22,"#52 Realmente no digo que la gente vaya sola, no digo que desaparezca el movimiento este, digo que se tendría que centrar más en lo importante y no discutir por verdaderas chorradas, lo mismo los que lo integran.
Date cuenta que ante una agresión homófoba por ejemplo en la calle nadie va a estar ahí, como mucho alguna otra persona que te acompañe, ya ves tú lo que te va ayudar en ese momento el colectivo LGBTI.
Después de la agresión te pueden ayudar, pero también lo puede hacer la policía o desde un centro LGTB si hay uno en tu población o en tu ayuntamiento, si es una población grande probablemente disponga de este servicio.

Lógicamente no te van a ayudar a machacarles en las redes sociales y hacer escarnio público, yo personalmente prefiero que les de un toque la policía y que acaben en un juzgado.
Bueno, realmente si que te ayudarían a machacarlos en las redes sociales aún sin que existiese el colectivo, cualquier gay, lesbiana, transexual, queer y demás se van a indignar con lo sucedido y les pondrán verdes, realmente el que mueve estas cosas no es el colectivo en sí, sino la gente tanto si pertence como si no pertence a ese colectivo."
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28171662,169,61.0,Conde_Lito,2019-11-03T17:42:15+00:00,1,22,"#61 Creo que no has entendido lo que he querido decir.
No hablo del mobimiento LGBTI en sí, sino de que lo están estropeando, están tirando al traste todo a base de etiquetar a las personas y actualmente es algo que está creando una división enorme.
Al final el movimiento no hará otra cosa que discutir entre sus integrantes sobre quien o quienes pueden o no pertenecer a su ""club"" mientras el resto es repudiado o mirado por encima del hombro.

Van por muy mal camino, al igual que el resto de movimientos parecidos donde la gente se va autoetiquetando y si no perteneces a este o no te dejan pertencer o no eres su ""aliado"" te repudian, y si cometes el mínimo desliz te destrozan."
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28171117,168,149.0,kelosepas,2019-11-03T16:03:57+00:00,0,9,"#149 yo no he llamado gilipollas a nadie, revisa a quien contestas."
lgtbi,https://www.meneame.net/story/hijo-bolsonaro-burla-hijo-gay-nuevo-presidente-argentina,3205792,28170866,167,97.0,manuelitos,2019-11-03T15:10:35+00:00,0,9,"#97 No sabes la diferencia entre ser hetero, gay o gilipollas?
Que sea gay no le excluye de poder ser gilipollas. Creo que va por ahí."
