tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/vox-carga-contra-sanchez-ofrecer-espana-acoger-migrantes-open,3170328,27615602,14,13.0,zenko,2019-08-16T07:23:36+00:00,0,10,"#13 mmm no se que me gusta más de tu comentario, el racismo o la discriminación {wink}"
inmigracion,https://www.meneame.net/story/vox-carga-contra-sanchez-ofrecer-espana-acoger-migrantes-open,3170328,27615274,13,,tiopio,2019-08-16T05:56:00+00:00,1,12,"Los voxemitas no son españoles. Debieran volver a África, de donde nunca debieron salir."
inmigracion,https://www.meneame.net/story/vox-carga-contra-sanchez-ofrecer-espana-acoger-migrantes-open,3170328,27615178,12,,Cehona,2019-08-16T04:22:42+00:00,0,11,"Vox quiere a España para los españoles como Salvini a Italia para los italianos.
Que es eso de dejar entrar a extranjeros que no les podemos bajar los impuestos."
inmigracion,https://www.meneame.net/story/vox-carga-contra-sanchez-ofrecer-espana-acoger-migrantes-open,3170328,27615057,11,9.0,--599848--,2019-08-16T01:14:30+00:00,0,11,"#9 Por ahi lei que los judios son el ""pueblo sheldon cooper"" {troll} {troll} {troll}"
inmigracion,https://www.meneame.net/story/vox-carga-contra-sanchez-ofrecer-espana-acoger-migrantes-open,3170328,27615014,10,,Duke00,2019-08-16T00:26:27+00:00,4,44,"Lo que quiere Vox es que se haga publicidad de este tipo de quejas. Así que hay que hacer lo contrario, no difundirlo."
inmigracion,https://www.meneame.net/story/vox-carga-contra-sanchez-ofrecer-espana-acoger-migrantes-open,3170328,27614984,9,4.0,--534998--,2019-08-16T00:05:56+00:00,1,19,#4 Que es judío.
inmigracion,https://www.meneame.net/story/vox-carga-contra-sanchez-ofrecer-espana-acoger-migrantes-open,3170328,27614932,8,7.0,--166606--,2019-08-15T23:33:10+00:00,0,12,"#7 Jo, no quiero echarte de menos {cry}"
inmigracion,https://www.meneame.net/story/vox-carga-contra-sanchez-ofrecer-espana-acoger-migrantes-open,3170328,27614899,7,3.0,--525604--,2019-08-15T23:22:05+00:00,0,10,"#3 puf! el olor a quemado se siente desde aquí, amigo... cambia de lecturas un tiempo, sal,visita otros foros de extrema derecha aparte de Menéame."
inmigracion,https://www.meneame.net/story/vox-carga-contra-sanchez-ofrecer-espana-acoger-migrantes-open,3170328,27614893,6,3.0,--166606--,2019-08-15T23:20:40+00:00,0,12,"#3 Normal, nadie quiere que llamen bestias a sus nietos."
inmigracion,https://www.meneame.net/story/vox-carga-contra-sanchez-ofrecer-espana-acoger-migrantes-open,3170328,27614887,5,3.0,--42246--,2019-08-15T23:18:49+00:00,0,11,#3 La Gestapo se hubiera sentido profundamente ofendida por tu comentario {lol}
inmigracion,https://www.meneame.net/story/vox-carga-contra-sanchez-ofrecer-espana-acoger-migrantes-open,3170328,27614884,4,,Oreades,2019-08-15T23:17:59+00:00,2,15,No sé lo que tiene Soros que siempre es el objetivo de la extrema derecha y la extrema izquierda.
inmigracion,https://www.meneame.net/story/vox-carga-contra-sanchez-ofrecer-espana-acoger-migrantes-open,3170328,27614878,3,2.0,--166606--,2019-08-15T23:16:28+00:00,1,15,"#2 No razono con bestias, les doy caramelitos."
inmigracion,https://www.meneame.net/story/vox-carga-contra-sanchez-ofrecer-espana-acoger-migrantes-open,3170328,27614875,2,1.0,--525604--,2019-08-15T23:15:54+00:00,3,39,#1 Creo que a fuerza de razonamiento acabarás convenciéndolos. Sigue así
inmigracion,https://www.meneame.net/story/vox-carga-contra-sanchez-ofrecer-espana-acoger-migrantes-open,3170328,27614861,1,,--166606--,2019-08-15T23:09:39+00:00,8,56,"Los subseres han dicho Soros.

Chupito!

Aço ho pague jo!"
