tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/ayuso-rechaza-deriven-sin-avisar-inmigrantes-llegan-canarias-no,3868628,39528602,19,,ur_quan_master,2023-10-23T20:51:01+00:00,0,12,Hablando de fardos...
inmigracion,https://www.meneame.net/story/ayuso-rechaza-deriven-sin-avisar-inmigrantes-llegan-canarias-no,3868628,39528019,18,,slender_1,2023-10-23T19:06:08+00:00,0,10,"En Madrid cayeron 4 gotas y se colapsó y esta petarda hablando de otras cosas.

Y el Carapolla peor aún que va a poner una pantalla gigante para ver la jura de bandera de la princesita."
inmigracion,https://www.meneame.net/story/ayuso-rechaza-deriven-sin-avisar-inmigrantes-llegan-canarias-no,3868628,39527686,17,,rob,2023-10-23T18:17:07+00:00,1,22,A esta le gusta otro tipo de fardos...
inmigracion,https://www.meneame.net/story/ayuso-rechaza-deriven-sin-avisar-inmigrantes-llegan-canarias-no,3868628,39527242,16,,Daniel_Blake,2023-10-23T17:07:56+00:00,0,9,""" y pregunta al Gobierno central qué va a hacer «para defender las fronteras» ""

Poner macetas."
inmigracion,https://www.meneame.net/story/ayuso-rechaza-deriven-sin-avisar-inmigrantes-llegan-canarias-no,3868628,39527176,15,5.0,chochis,2023-10-23T16:59:14+00:00,1,21,#5 de su cerebro
inmigracion,https://www.meneame.net/story/ayuso-rechaza-deriven-sin-avisar-inmigrantes-llegan-canarias-no,3868628,39527159,14,,Sergio_ftv,2023-10-23T16:56:39+00:00,0,20,"No se si habrán datos nuevos, lo que voy a poner son datos de 2018 que demuestran la guerra sucia del partido nacionalista madrileño PP:

Menas en Cataluña: 1.746
Menas en Euskadi: 985
Menas en Andalucía: 6.377
Menas en Madrid: 434
etc.

https://twitter.com/dsn/status/1149554896380678151/photo/1?ref_src=twsrc^tfw|twcamp^tweetembed|twterm^1149554896380678151&ref_url=https://casoaislado.com/la-problematica-de-los-menas-se-multiplica-aumenta-en-un-126-la-llegada-de-menas-magrebies-a-espana/"
inmigracion,https://www.meneame.net/story/ayuso-rechaza-deriven-sin-avisar-inmigrantes-llegan-canarias-no,3868628,39527158,13,1.0,soberao,2023-10-23T16:56:37+00:00,0,12,"#1 Solo intenta llamar la atención, lo hace en cada declaración. Con ignorarle y no entrar basta.
Todo lo que dice Ayuso es irrelevante aunque busque el efecto de polémica en red social, pero es irrelevante o no dice nada."
inmigracion,https://www.meneame.net/story/ayuso-rechaza-deriven-sin-avisar-inmigrantes-llegan-canarias-no,3868628,39527131,12,6.0,ochoceros,2023-10-23T16:52:33+00:00,2,43,"#6 Tú ríete, pero trajeron a un delincuente golpista y el PP gastó medio millón de dinero público en adecentarle ""la casita"": https://www.publico.es/politica/ayuso-ayuso-destinara-medio-millon-euros-mantener-chale-cedio-guaido.html

También el PP gastó 3 millones de dinero público para repatriar desde Cuba a un delincuente con delito de sangre y darle una paguita de 90.000€: https://www.eldiario.es/madrid/almeida-ayuntamiento-madrid-angel-carromero_1_1346094.html

Y luego a quejarse de los menas."
inmigracion,https://www.meneame.net/story/ayuso-rechaza-deriven-sin-avisar-inmigrantes-llegan-canarias-no,3868628,39527099,11,,Cometeunzullo,2023-10-23T16:47:56+00:00,1,19,"Los madrileños me han elegido, no para que gestione su comunidad, si no para que le haga oposición al gobierno central."
inmigracion,https://www.meneame.net/story/ayuso-rechaza-deriven-sin-avisar-inmigrantes-llegan-canarias-no,3868628,39527015,10,,Suikoden,2023-10-23T16:35:03+00:00,0,10,Menos gestión de lo suyo más allá de firmar lo que le  presentan  lo que quieras.
