tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/derogar-articulos-leyes-lgtbi-repatriar-menas-estas-son-vox,3147923,27288632,36,34.0,Sofa_Knight,2019-06-27T06:50:46+00:00,1,19,"#34 para que se aplique el delito de odio tienen que darse unos casos concretos, básicamente delitos contra minorías por su sexo, minusvalía, racismo... Me da la impresión que piensas que esto es nuevo y la ley debe tener ya 25 o 30 años. 
Podemos debatir si la ley es necesaria, a mí me parece que sí, porque no es lo mismo que te peguen una paliza por robarte, que te la peguen porque a un grupito le apetece que una lesbianas se besen en el metro y estás se nieguen. Me parece perfecto el agravante.

Sobre educación sexual, estoy de acuerdo, debería haber una asignatura afectivo-sexual obligatoria."
lgtbi,https://www.meneame.net/story/derogar-articulos-leyes-lgtbi-repatriar-menas-estas-son-vox,3147923,27288430,35,27.0,box3d,2019-06-27T06:03:33+00:00,1,-4,"#27 Yo también the quiero {kiss}

De que pié exactamente? Por que? Y más importante, eres activa o pasiva?"
lgtbi,https://www.meneame.net/story/derogar-articulos-leyes-lgtbi-repatriar-menas-estas-son-vox,3147923,27288428,34,25.0,box3d,2019-06-27T06:03:09+00:00,0,7,"#25 
Pasada de Frenada: El fin de la igualdad ante la ley. Yo puedo convertir.cualquier agresión a mi persona en delito de odio, Porque sí. (Y no entremos en la livg...)

No lo suficiente: El más absoluto descuido de la educación sexual, vamos de progres pero cada vez somos mas infectados."
lgtbi,https://www.meneame.net/story/derogar-articulos-leyes-lgtbi-repatriar-menas-estas-son-vox,3147923,27288051,33,9.0,--510734--,2019-06-26T23:15:26+00:00,1,-1,"#9 No seas milonguero que nadie te dice nada por darte un beso en la calle. Que todos hemos visto las efusiones de pareja, sus grados y cuando te llaman la atención."
lgtbi,https://www.meneame.net/story/derogar-articulos-leyes-lgtbi-repatriar-menas-estas-son-vox,3147923,27287848,32,31.0,Mateila,2019-06-26T22:07:32+00:00,0,11,"#31 Si quieres, edita tu comentario para no quedar más en ridículo. Añadí algo al mío antes de que viera tu contestación y ya la rebatí, sin leerla."
lgtbi,https://www.meneame.net/story/derogar-articulos-leyes-lgtbi-repatriar-menas-estas-son-vox,3147923,27287838,31,30.0,Acuantavese,2019-06-26T22:04:40+00:00,0,10,#30 Como que a mi? a quien no le parece absurdo hablar de campos de concentración? {lol} {lol} {lol}
lgtbi,https://www.meneame.net/story/derogar-articulos-leyes-lgtbi-repatriar-menas-estas-son-vox,3147923,27287831,30,29.0,Mateila,2019-06-26T22:02:08+00:00,1,18,"#29 No te voy a cobrar por la lección: que un argumento te parezca a ti absurdo no es una argumentación por reducción al absurdo. De nada.

Además de que no argumenta eso de los campos de cimentación... Sí, en su comentario aparecen esas palabras en ese orden, pero no es un argumento sino un recurso retórico... pero, claro, hay que poder comprender lo que se lee."
lgtbi,https://www.meneame.net/story/derogar-articulos-leyes-lgtbi-repatriar-menas-estas-son-vox,3147923,27287821,29,28.0,Acuantavese,2019-06-26T22:00:44+00:00,0,10,"#28 Si quisiera hacerme el listo escribiría en latín
Decir que la política de VoX nos va a llevar a implantar campos de concentración hace que sea obligatorio pensar en que VoX debe ser prohibido, erradicado y borrado del mapa. Pero se basa en un argumento absurdo"
lgtbi,https://www.meneame.net/story/derogar-articulos-leyes-lgtbi-repatriar-menas-estas-son-vox,3147923,27287753,28,21.0,Mateila,2019-06-26T21:45:57+00:00,0,11,"#21 Dónde está la parte de la reducción al absurdo en concreto, porque no la hay. O a lo mejor no sabes exactamente en qué consiste eso del argumento por reductio ad absurdum y sólo intentabas hacerte el listo."
lgtbi,https://www.meneame.net/story/derogar-articulos-leyes-lgtbi-repatriar-menas-estas-son-vox,3147923,27287713,27,25.0,Mateila,2019-06-26T21:39:18+00:00,1,17,#25 Cómo se les ve al segundo comentario de qué pie cojean por mucho que se vendan como la voz moderada de la razón.
