tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20416204,17,15.0,--349393--,2016-09-28T13:35:05+00:00,0,6,"#15 feminazi insulto???
Pero que cojones es esto???"
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20416199,16,12.0,--349393--,2016-09-28T13:34:28+00:00,0,6,#12 feminazi es insulto??
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20416104,15,11.0,saó,2016-09-28T13:20:47+00:00,0,10,"#11 Los insultos no están permitidos, se consideran un abuso grave y pueden dar lugar a la cancelación de la cuenta.

https://meneame.wikispaces.com/Abusos
https://www.meneame.net/legal.php#tos"
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20415725,14,13.0,--272179--,2016-09-28T12:37:58+00:00,0,12,"#13 vale, tenía mis dudas sobre si reportarte o no, ya las has despejado todas, hasta nunca {undecided}"
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20415716,13,12.0,--349393--,2016-09-28T12:37:02+00:00,0,6,#12 IGUALDAAAAAAAD jajJajaja
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20415702,12,11.0,--272179--,2016-09-28T12:35:10+00:00,0,12,"#11 Por qué me insultas y además me tratas en femenino siendo yo un hombre? {confused}

No sabes usar menéame sin faltar al respeto como si fueses un prepúber?"
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20415066,11,5.0,--349393--,2016-09-28T11:15:46+00:00,4,-48,#5 feminazi subvencionada
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20415059,10,7.0,--349393--,2016-09-28T11:15:12+00:00,0,6,#7 amén
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20410253,9,8.0,--272179--,2016-09-27T16:52:59+00:00,1,15,#8 eso es lo que precisamente piensan aquellos que componen esa minoria. Es una manera de autoexcusarse y victimizarse como otra cualquiera.
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20409326,8,2.0,--523080--,2016-09-27T14:29:27+00:00,2,2,"#2 No es una minoría la que lo piensa así, es una minoría la que se atreve a decirlo en voz alta para que no le llamen racista o machista."
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20408771,7,3.0,--525372--,2016-09-27T13:17:21+00:00,2,-17,"#3 Estas discutiendo con un troll, no pierdas el tiempo. Si hace falta defenderá #killallmen o cualquier burrada que le pongas por delante"
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20408760,6,,--525372--,2016-09-27T13:16:02+00:00,0,7,"Connotaciones racistas según meapilas de twitter, no econtraréis detalles ni el vídeo en la noticia, os dicen que es racista y os lo tenéis que creer

Suficiente para empezar otra vez con los panfletos y la propaganda"
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20408753,5,3.0,--272179--,2016-09-27T13:15:09+00:00,2,31,"#3 no, feminazismo es el comodín del pollaherida o misógino medio para emitir falacias ad hominen contra cualquiera, sea hombre o mujer, que esgrima argumentos feministas o igualitaristas. El feminazismo no propugna nada pues es un hombre de paja, no existe ni como filosofía ni como tesis moral o política, el termino nació en un magazine de una cadena de tv norteamiercana y luego paso a las paginas del libro que uno de sus colaboradores y presentadores escribió. Lo de la discriminación positiva es otro truco, pues llamar discriminación positiva a que la justicia pretenda aplicar la dureza que le corresponde a una sangrante realidad en nuestra sociedad no es ningún tipo de discriminación positiva. Hablando como hombre y de otro tema aunque relacionado, te dire que a nivel social es vergonzoso que las madres de nuestros hijos e hijas sigan cobrando menos por el mismo trabajo que un hombre."
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20408742,4,,--35153--,2016-09-27T13:13:25+00:00,0,8,arde tuiter por el lado de Belgica
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20408670,3,2.0,Noeschachi,2016-09-27T13:04:31+00:00,3,8,"#2 
Quien llama feminazismo al igualitarismo? No es el feminazismo en si mismo una expresión degenerada del feminismo enemiga del igualitarismo? Que propugna en aras de una mal entendida discriminación ""positiva"" que individuos no se enfrenten a la justicia en condiciones de igualdad dependiendo del género cuando hablamos del mismo delito?"
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20408493,2,1.0,--272179--,2016-09-27T12:44:48+00:00,3,24,"#1 llegamos a unos absurdos en que si algo iguala en derechos a todos los seres humanos independientemente del genero u origen, lo llamamos privilegio o favorecimiento, al humanitarismo se le llama giliprogresia y al igualitarismo feminazismo .

Afortunadamente es una minoría, la que así ""piensa"", en la mayoría de sitios."
inmigracion,https://www.meneame.net/story/secretario-estado-inmigracion-belga-retuitea-polemico-video,2677253,20408399,1,,--523080--,2016-09-27T12:32:20+00:00,1,-4,Es que llegamos a unos absurdos que si algo no favorece claramente a un inmigrante es racista y si no favorece claramente a una mujer es machista...
