tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/tienes-cara-homosexual-terrible-bolsonaro-responde-molesto,3228080,28559325,69,,Olarcos,2019-12-30T13:25:55+00:00,0,9,"Quizá si no se dijeran cosas ofensivas, no se ofendería nadie."
lgtbi,https://www.meneame.net/story/tienes-cara-homosexual-terrible-bolsonaro-responde-molesto,3228080,28557753,68,67.0,JoseLuis80,2019-12-30T10:06:50+00:00,0,6,"#67 Podría ser de ese grupo de gays que te comento que les encanta etiquetar como gay a cualquier otro, o quizá realmente tenga un don (suertudo él), pero yo no lo extrapolaría al resto de gays, ya te digo que por desgracia no funciona así."
lgtbi,https://www.meneame.net/story/tienes-cara-homosexual-terrible-bolsonaro-responde-molesto,3228080,28557170,67,66.0,--604882--,2019-12-30T08:38:23+00:00,0,7,"#66 A ver, lo digo porque el mejor amigo de mi mujer, que es gay, tiene un don o sexto sentido para reconocerlos.
Como todo, no se puede generalizar. Luego está @Olarcos que se ofende."
lgtbi,https://www.meneame.net/story/tienes-cara-homosexual-terrible-bolsonaro-responde-molesto,3228080,28557142,66,30.0,JoseLuis80,2019-12-30T08:34:32+00:00,1,13,"#30 Como gay te digo que eso es una pantochada. Hay un grupo (minoritario) de gays dentro de la basta diversidad homosexual (tanta diversidad como entre heterosexuales) que se dedican a decir que este, el otro y aquel también, son gays ¿Por qué? Pues no sé chicos, yo diría que viven su orientación con cierta obsesión, o que se quieren tirar a todo quisqui y ven gays por todos lados.
Los gays de verdad tenemos muy poquito ojo para detectar a uno entre la basta multitud de heterosexuales. Ojalá fuese como tú dices, no me habría llevado tantos empujones de heteros ofendidos cuando he intentado tantear el terreno.

Recordad niños: Los tópicos están bien para los chistes, pero no os los creais {cool}"
lgtbi,https://www.meneame.net/story/tienes-cara-homosexual-terrible-bolsonaro-responde-molesto,3228080,28519954,65,61.0,Jesucripto,2019-12-23T10:06:02+00:00,1,13,#61 Llevo años aquí pero si por una razón u otra me baja el karma y no puedo escribir o anexar imágenes me creo una cuenta nueva. Yo lo llamaría pragmatismo de supervivencia. Y tu?
lgtbi,https://www.meneame.net/story/tienes-cara-homosexual-terrible-bolsonaro-responde-molesto,3228080,28517353,64,40.0,--616500--,2019-12-22T19:10:58+00:00,0,7,"#40 te odio y a ti #43, os odio a todos!!! {hug}"
lgtbi,https://www.meneame.net/story/tienes-cara-homosexual-terrible-bolsonaro-responde-molesto,3228080,28513610,63,,moco36,2019-12-22T07:47:46+00:00,0,6,Molaría mil pagar a un travesti de esos que esta toh buenas y que vaya a hacerle cariñitos....
lgtbi,https://www.meneame.net/story/tienes-cara-homosexual-terrible-bolsonaro-responde-molesto,3228080,28513299,62,,RespuestasVeganas.Org,2019-12-22T01:36:22+00:00,0,9,El bolsonaro este es un derechista asqueroso.
lgtbi,https://www.meneame.net/story/tienes-cara-homosexual-terrible-bolsonaro-responde-molesto,3228080,28512689,61,43.0,yonky_numerotrece,2019-12-21T22:02:10+00:00,0,7,"#43 Y a que tú cuenta aquí, tenga menos de un mes, ¿como deberíamos llamar a eso?,¿que adjetivo deberíamos usar?"
lgtbi,https://www.meneame.net/story/tienes-cara-homosexual-terrible-bolsonaro-responde-molesto,3228080,28511802,60,5.0,dudo,2019-12-21T18:20:32+00:00,0,10,"#5 de la escuela ad-hominem
."
