tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/juez-marroqui-absuelve-dos-menores-lesbianas-detenidas-besarse,2707416,20854764,69,67.0,ZombiekE,2016-12-10T21:12:55+00:00,0,9,"#67 Conocía lo del pinkwashing pero no a los del Pinkwatching. Me pregunto qué bien común van a hacer boicoteando todas las actividades LGTB de Israel. De hecho los gays palestinos tienen sus asociaciones en Israel.

Yo creo que no debemos entrar en falsas dicotomías. Se puede ser crítico con la política exterior de Israel pero no por ello se debe criticar a un país por haberse puesto al día en materia LGTB. A menos que lo que menos le importe a uno sea el colectivo LGTB de ese país y el interés principal sea criticar al país. En el contexto de esta noticia de las dos chicas marroquíes entiendo que lo que nos preocupan son las leyes anti-LGTB y que querríamos leyes similares a las de España u otros países para el colectivo LGTB de Marruecos.

A cualquier país con políticas exteriores que podrían ser criticadas y que tenga derechos LGTB se les podría decir lo del pinkwashing y solo se dice con Israel."
lgtbi,https://www.meneame.net/story/juez-marroqui-absuelve-dos-menores-lesbianas-detenidas-besarse,2707416,20852557,68,,Frederic_Bourdin,2016-12-10T11:52:42+00:00,0,10,Parece que poco a poco algo va cambiando en la sociedad marroquí.
lgtbi,https://www.meneame.net/story/juez-marroqui-absuelve-dos-menores-lesbianas-detenidas-besarse,2707416,20852487,67,54.0,--89667--,2016-12-10T11:40:24+00:00,0,9,#54 http://www.pinkwatchingisrael.com/
lgtbi,https://www.meneame.net/story/juez-marroqui-absuelve-dos-menores-lesbianas-detenidas-besarse,2707416,20851589,66,,IndaHouse,2016-12-10T08:33:32+00:00,0,6,"Totalmente de acuerdo con los comentarios que hablan de priorizar refugiados, aunque el concepto suene horroroso. Los primeros que tienen que entrar son los que están reprimidos en tiempos de paz. Y luego como en un barco: niños y mujeres."
lgtbi,https://www.meneame.net/story/juez-marroqui-absuelve-dos-menores-lesbianas-detenidas-besarse,2707416,20851504,65,18.0,iampiti,2016-12-10T08:02:29+00:00,0,6,"#18 No es que sean pobres, es que vienen de culturas muy machistas y muy distintas a las nuestras"
lgtbi,https://www.meneame.net/story/juez-marroqui-absuelve-dos-menores-lesbianas-detenidas-besarse,2707416,20851030,64,63.0,Rarepepelarana,2016-12-10T00:20:49+00:00,0,11,"#63  No se gestionará nunca como dices porque no cumplirìa los objetivos del capital. Se les trae para bajar salarios o contener la subida de salarios de los obreros europeos sin arreglar la explosión demográfica africana.

La población africana espera triplicarse si no se toman medidas, y traer solamente un 10 por ciemto de su poblacion ya serian mas de 100 millones y no les solucionaria ningun problema. En cambio aqui aumentaria mucho el crimen y la vioencia y la bajada de salarios. 

La diversidad no tiene por qué ser buena. La integración cuesta dinero y esto se hace para ahorrárselo al empresario. Los países más diversos suelen ser mas pobres y con riesgos separaristas mas fuertes, siendo USA un caso especial por absorber capital y recursos de todo el mundo al tener el ejercito mas violento e invasor(la India y Nigeria sin el inglés ya se habrían separado y tienen enormes tensiones separatistas). Esto de la diversidad es un mantra neoliberal para permitir el trafico de trabajadores pobres y absorber al maximo el capital de las clases medias europeas hacia la clase empresarial.

No serìas un poco mas pobre. Serías enormemente pobre."
lgtbi,https://www.meneame.net/story/juez-marroqui-absuelve-dos-menores-lesbianas-detenidas-besarse,2707416,20851009,63,60.0,--525496--,2016-12-10T00:13:13+00:00,0,8,"#60 No sé muy bien cómo está el tema de la inmigración en esos países, cómo lo regulan, pero en nuestro caso ignorar a los que huyen del África subshariana y de las guerras que tenemos aquí mismo en el Mediterráneo es deshumanizarnos, independientemente de nuestra responsabilidad directa o indirecta en esa miseria. A mi no me importa ser todos un poquito más pobres y acogerlos siempre que se solucionen los problemas y choques culturales, y creo que podrían hacerlo si hubiera voluntad, si se gestiona bien la diversidad cultural es incluso una riqueza."
lgtbi,https://www.meneame.net/story/juez-marroqui-absuelve-dos-menores-lesbianas-detenidas-besarse,2707416,20850982,62,,--337152--,2016-12-10T00:03:22+00:00,0,8,"Qué rabia me da que lo llamen minorías sexuales. Todas las personas somos minoritarias en alguna diferencia individual con la mayoría, y no por ello debemos ser llamados ""minorías"".
Al llamarlo ""minorías"" se le da una importancia que no tiene, además de clasificar el valor de una persona entera por algo en concreto. A alguien le llaman minoría porque le gusten los espaguetis con melocotón?"
lgtbi,https://www.meneame.net/story/juez-marroqui-absuelve-dos-menores-lesbianas-detenidas-besarse,2707416,20850963,61,47.0,Rarepepelarana,2016-12-09T23:57:20+00:00,0,11,"#47  Niños Jajajaja.
https://www.meneame.net/story/numero-record-ninos-solicitantes-resulta-ser-adultos
{shit} {lol} {shit} {shit} {shit} {shit} {lol} {lol} {lol} 
Como os la cuelan."
lgtbi,https://www.meneame.net/story/juez-marroqui-absuelve-dos-menores-lesbianas-detenidas-besarse,2707416,20850955,60,59.0,Rarepepelarana,2016-12-09T23:53:17+00:00,1,17,"#59  Por esa regla de 3, China, Japón , Taiwán, Corea del Sur y Hungría están deshumanizados. Se montan campis de refugiados fuera de Europa y se paga. Y se echa  a los neoliberales inmigracionistas del poder. Y fin de la historia. Y cooperación al desarrollo para eliminar la explosion demografica en el tercer mundo y fijar a esa gente en sus países, y que los neoliberales no monten más guerras para luego traer inmigración para bajar/contener la subida de salarios en Europa.

Esto no se hace porque no conviene al ultraliberalismo Bilderberg occidental. Que les den."
