tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/suecia-dificulta-inmigrantes-no-europeos-acceso-ayudas-disuadir,3870925,39572914,14,,encurtido,2023-10-30T21:22:32+00:00,0,7,"Es razonable, no tiene sentido decir que vienen a pagar pensiones y hacer trabajos que los autóctonos no quieren, y por otra parte que reciban más ayudas sociales que la media."
inmigracion,https://www.meneame.net/story/suecia-dificulta-inmigrantes-no-europeos-acceso-ayudas-disuadir,3870925,39572193,13,,starwars_attacks,2023-10-30T19:07:22+00:00,0,9,No se puede acoger a todos los que quieren llegar. He leido hoy que una mujer con tres carreras y tres másteres e idiomas no encuentra trabajo en España....
inmigracion,https://www.meneame.net/story/suecia-dificulta-inmigrantes-no-europeos-acceso-ayudas-disuadir,3870925,39570182,12,,chavi,2023-10-30T13:48:18+00:00,0,11,mmm. No
inmigracion,https://www.meneame.net/story/suecia-dificulta-inmigrantes-no-europeos-acceso-ayudas-disuadir,3870925,39570176,11,1.0,chavi,2023-10-30T13:48:00+00:00,0,11,"#1 Los suecos se están equivocando ahora, no antes.

Y se.demostrará en poco tiempo. Más segregación y discriminación no es la solución"
inmigracion,https://www.meneame.net/story/suecia-dificulta-inmigrantes-no-europeos-acceso-ayudas-disuadir,3870925,39569739,10,7.0,--758659--,2023-10-30T12:51:53+00:00,4,34,"#7 Al contrario. Están tomando estas medidas precisamente por haber sido demasiado integradores.

Más de la cuenta…"
inmigracion,https://www.meneame.net/story/suecia-dificulta-inmigrantes-no-europeos-acceso-ayudas-disuadir,3870925,39569610,9,,StuartMcNight,2023-10-30T12:36:22+00:00,0,11,"Es la misma reforma legal de la que se hablaba en una noticia que ya se envio pero tomando un aspecto ligeramente diferente de esa misma reforma:

https://www.meneame.net/story/suecia-deportara-inmigrantes-ganen-menos-3-000-dolares-mes-eng

Se esta enviando la posible reforma por fasciculos para ir ganando titulares para dar comida a los extremo centristas."
inmigracion,https://www.meneame.net/story/suecia-dificulta-inmigrantes-no-europeos-acceso-ayudas-disuadir,3870925,39569588,8,,Druidaferal,2023-10-30T12:34:39+00:00,1,8,"Yo lo veo bien. Exacto hay que venir a aportar. Llevan toda la vida Dando ayudas, desde que tengo uso de razón y no ha servido para nada, la gente no entiende como se usan y cuál es su finalidad.
Luego no es un caso de falta de ayudas sociales par la integración."
inmigracion,https://www.meneame.net/story/suecia-dificulta-inmigrantes-no-europeos-acceso-ayudas-disuadir,3870925,39569509,7,1.0,kiwipiña,2023-10-30T12:24:21+00:00,0,14,#1 Como si esto fuese algo nuevo. Suecia nunca ha sido un país muy integrador precisamente.
inmigracion,https://www.meneame.net/story/suecia-dificulta-inmigrantes-no-europeos-acceso-ayudas-disuadir,3870925,39569449,6,5.0,Feindesland,2023-10-30T12:17:38+00:00,2,28,"#5 Ni lo dudes... Puedes jugarte el gaznate, vaya...."
inmigracion,https://www.meneame.net/story/suecia-dificulta-inmigrantes-no-europeos-acceso-ayudas-disuadir,3870925,39569422,5,4.0,ElTioPaco,2023-10-30T12:14:17+00:00,4,49,"#4 totalmente cierto, además estoy seguro de que si los jeques piden las ayudas, también se las darán."
inmigracion,https://www.meneame.net/story/suecia-dificulta-inmigrantes-no-europeos-acceso-ayudas-disuadir,3870925,39569418,4,3.0,Feindesland,2023-10-30T12:13:12+00:00,3,22,"#3 Mejor saldo de  cuenta corriente, que es más realista.

Ni un problema con los jeques, oye

{wink}"
inmigracion,https://www.meneame.net/story/suecia-dificulta-inmigrantes-no-europeos-acceso-ayudas-disuadir,3870925,39569371,3,,ElTioPaco,2023-10-30T12:07:04+00:00,2,18,Necesitamos Pantone de piel ya {undecided}
inmigracion,https://www.meneame.net/story/suecia-dificulta-inmigrantes-no-europeos-acceso-ayudas-disuadir,3870925,39569367,2,,IsraelEstadoGenocida,2023-10-30T12:06:44+00:00,10,91,"Hablo como inmigrante en reino unido, mi visado no es que me dificulte el acceso a ayudas públicas, directamente me lo prohíbe.

Y no me parece mal, si vengo aquí es para aportar, no para detraer ayudas públicas."
inmigracion,https://www.meneame.net/story/suecia-dificulta-inmigrantes-no-europeos-acceso-ayudas-disuadir,3870925,39569358,1,,Quimycof,2023-10-30T12:05:43+00:00,16,155,A base de palos aprende el burro... los suecos comienzan a aprender que no todos son tan buenos.
