tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/tanga-party-fiesta-gay-mas-famosa-madrid-boicotea-sala-barcelo,3091694,26523541,280,279.0,Mark_,2019-03-07T00:04:38+00:00,0,10,"#279 que si, que muy bien, pero que yo no estoy hablando de eso. Cuando haya un envío al respecto, me avisas."
lgtbi,https://www.meneame.net/story/tanga-party-fiesta-gay-mas-famosa-madrid-boicotea-sala-barcelo,3091694,26523534,279,278.0,--72046--,2019-03-07T00:02:56+00:00,0,6,#278 hay cosas diferentes ya como las leyes de ideologia de genero q no son aplicables a parejas del mismo sexo.
lgtbi,https://www.meneame.net/story/tanga-party-fiesta-gay-mas-famosa-madrid-boicotea-sala-barcelo,3091694,26522554,278,277.0,Mark_,2019-03-06T21:14:11+00:00,0,10,"#277 y dicen que los maricones no tenemos derecho al matrimonio, y que debe haber cosas diferentes para heteros y no heteros, y eso se llama HOMOFOBIA. Punto.

Si quieres seguir contándole tu rollo homófobo cuéntaselo a otro."
lgtbi,https://www.meneame.net/story/tanga-party-fiesta-gay-mas-famosa-madrid-boicotea-sala-barcelo,3091694,26521646,277,276.0,--72046--,2019-03-06T18:59:58+00:00,0,6,#276 una cosa es lo que tu crees que puede pasar y otra  lo que dicen desde vox. Lo que dicen es lo que dicen.
lgtbi,https://www.meneame.net/story/tanga-party-fiesta-gay-mas-famosa-madrid-boicotea-sala-barcelo,3091694,26520972,276,275.0,Mark_,2019-03-06T17:31:11+00:00,0,10,"#275 si sólo fuera un cambio de nombre ni siquiera lo propondrían. 

Dale las vueltas que quieras y repite lo mismo una y otra vez si quieres, pero ésto es una medida homófoba para anular derechos conseguidos durante años. No se les va a permitir, así de fácil."
lgtbi,https://www.meneame.net/story/tanga-party-fiesta-gay-mas-famosa-madrid-boicotea-sala-barcelo,3091694,26520324,275,274.0,--72046--,2019-03-06T16:14:13+00:00,0,6,#274 mismos derechos es lo q importa.
lgtbi,https://www.meneame.net/story/tanga-party-fiesta-gay-mas-famosa-madrid-boicotea-sala-barcelo,3091694,26520020,274,273.0,Mark_,2019-03-06T15:39:53+00:00,0,10,"#273 grave es que haya partido como VOX pidiendo matrimonios de primera y de segunda. Si no lo ves, es cosa tuya."
lgtbi,https://www.meneame.net/story/tanga-party-fiesta-gay-mas-famosa-madrid-boicotea-sala-barcelo,3091694,26517108,273,271.0,--72046--,2019-03-06T10:26:33+00:00,0,6,#271 la ley hace distincion entre diferentes uniones. Ya lo hace. Vox pide cambiar el nombre. que es mas grave?
lgtbi,https://www.meneame.net/story/tanga-party-fiesta-gay-mas-famosa-madrid-boicotea-sala-barcelo,3091694,26516432,272,268.0,soth_sp,2019-03-06T09:16:13+00:00,0,6,"#268 es que yo no tengo que explicarte nada. Si quieres esa información búscala.
Lo que sí me sorprende es que pidas respeto y tolerancia pero llamando al boicot y tirando de insultos.
Vox o el partido fulano tiene todo el derecho a defender sus ideas democráticamente, te gusten estas ideas o no.
Por cierto ya habrás visto que la sala Barceló ha pedido disculpas, no sé muy bien por qué, ya que ellos son un negocio. Al final la pela es lo que cuenta."
lgtbi,https://www.meneame.net/story/tanga-party-fiesta-gay-mas-famosa-madrid-boicotea-sala-barcelo,3091694,26514696,271,269.0,Mark_,2019-03-05T23:02:51+00:00,0,10,"#269 estamos hablando de matrimonios, no de agresiones. Cuando hablemos de agresiones me avisas."
lgtbi,https://www.meneame.net/story/tanga-party-fiesta-gay-mas-famosa-madrid-boicotea-sala-barcelo,3091694,26514319,270,252.0,Lazslo,2019-03-05T21:52:17+00:00,0,9,"#252 tiene diferencias en la consecucion de la pensión compensatoria, la de viudedad, la herencia (la pareja de hecho tiene que estar forzosamente nombrada en el testamento) y en el régimen fiscal aplicable."
lgtbi,https://www.meneame.net/story/tanga-party-fiesta-gay-mas-famosa-madrid-boicotea-sala-barcelo,3091694,26513481,269,267.0,--72046--,2019-03-05T19:47:04+00:00,0,6,#267 de la misma manera que agresiones iguales tienen tratamientos legales diferentes. No es lo mismo agresion en  parejas de distinto sexo que en mismo sexo...
