tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/eurodiputado-hungaro-propone-cabezas-cerdo-fronteras-ue-disuadir,2661252,20186076,11,,--395300--,2016-08-22T20:32:03+00:00,0,6,En este mundo hay más hijos de puta que perros descalzos...
inmigracion,https://www.meneame.net/story/eurodiputado-hungaro-propone-cabezas-cerdo-fronteras-ue-disuadir,2661252,20185049,10,,Snow7,2016-08-22T17:03:25+00:00,0,9,Madre mía =-O de qué cueva salio este especímen.
inmigracion,https://www.meneame.net/story/eurodiputado-hungaro-propone-cabezas-cerdo-fronteras-ue-disuadir,2661252,20184659,9,,--410536--,2016-08-22T15:42:01+00:00,0,8,Qué culpa tendrán los pobres porcinos?
inmigracion,https://www.meneame.net/story/eurodiputado-hungaro-propone-cabezas-cerdo-fronteras-ue-disuadir,2661252,20184496,8,,Plasnisk_Llealldrou,2016-08-22T15:10:49+00:00,0,10,Supongo que habrá dimitido
inmigracion,https://www.meneame.net/story/eurodiputado-hungaro-propone-cabezas-cerdo-fronteras-ue-disuadir,2661252,20184321,7,2.0,mrM4,2016-08-22T14:48:31+00:00,0,12,#2 descendiente de Vlad el empalador como mínimo.
inmigracion,https://www.meneame.net/story/eurodiputado-hungaro-propone-cabezas-cerdo-fronteras-ue-disuadir,2661252,20184289,6,,Mirlowsky,2016-08-22T14:45:50+00:00,0,11,"No merece la pena malgastar tiempo ni energías comentando semejante ""propuesta""."
inmigracion,https://www.meneame.net/story/eurodiputado-hungaro-propone-cabezas-cerdo-fronteras-ue-disuadir,2661252,20184224,5,1.0,wendigo,2016-08-22T14:34:03+00:00,0,11,"#1 Del cerdo se aprovecha TODO...del politico...ni las ratas

Saludos"
inmigracion,https://www.meneame.net/story/eurodiputado-hungaro-propone-cabezas-cerdo-fronteras-ue-disuadir,2661252,20184163,4,,dulaman,2016-08-22T14:24:31+00:00,3,44,"¡Oh, no, en este país matan a los cerdos, es mejor que demos media vuelta compañeros!"
inmigracion,https://www.meneame.net/story/eurodiputado-hungaro-propone-cabezas-cerdo-fronteras-ue-disuadir,2661252,20184159,3,,manuelpepito,2016-08-22T14:24:02+00:00,1,14,Se ve muy efectivo
inmigracion,https://www.meneame.net/story/eurodiputado-hungaro-propone-cabezas-cerdo-fronteras-ue-disuadir,2661252,20184158,2,,pablicius,2016-08-22T14:23:53+00:00,2,37,Menudo genio de la geopolítica.
inmigracion,https://www.meneame.net/story/eurodiputado-hungaro-propone-cabezas-cerdo-fronteras-ue-disuadir,2661252,20184151,1,,vicus.,2016-08-22T14:22:49+00:00,8,52,Ya podían poner la suya..
