tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/alemania-plantea-recortar-fondos-paises-insolidarios-refugiados,2478496,17714159,23,13.0,--258554--,2015-09-15T19:54:17+00:00,2,30,"#13 Si, y su espiritu humanitarista choca con el hecho de ignorar deliberadamente y durante décadas, el régimen de apartheid en Letonia y Estonia. Más del 25% de su población carece de derechos ciudadanos básicos por criterios puramente etnicistas. 
http://es.rbth.com/blogs/2013/11/07/el_problema_de_los_no-ciudadanos_en_las_republicas_balticas_34075

Gracias a los sirios acabamos de descubrir que los gobiernos de Europa del Este son fachas hasta la nausea y espérate que en cualquier momento nos enteramos de cómo tratan a los homosexuales {shit}

#20 Lo dice la Merkel despues de llevar años diciendo a griegos e italianos que es su problema y que se apañen. Sólo su humanitarismo repentino con los refugiados sirios (y sólo sirios) le lleva a considerarlo un problema de todos."
inmigracion,https://www.meneame.net/story/alemania-plantea-recortar-fondos-paises-insolidarios-refugiados,2478496,17713772,22,20.0,--89888--,2015-09-15T18:44:22+00:00,0,9,"#20 Que los alemanes hayan anunciado que ellos están en disposición de aceptar cientos de miles de refugiado al año, mientras piden a los demás que acepten unos miles, nada, lo olvidamos, que los comentarios de meneame no llegan ni al nivel de cuñao."
inmigracion,https://www.meneame.net/story/alemania-plantea-recortar-fondos-paises-insolidarios-refugiados,2478496,17713374,21,,RayStars_Sanz,2015-09-15T17:23:41+00:00,0,7,"""en lo que se refiere al reparto de 160.000 refugiados"" ¿Solo 160.000? 
¿Hay alguien en las fronteras contando?
Y estos refugiados... ¿No son en realidad inmigrantes?"
inmigracion,https://www.meneame.net/story/alemania-plantea-recortar-fondos-paises-insolidarios-refugiados,2478496,17713320,20,,angelitoMagno,2015-09-15T17:15:22+00:00,2,31,"Jojojojo, aquí todo el mundo diciendo que hay que acoger a los refugiados, lo dice Merkel y se la critica.

Anda ya, carajo."
inmigracion,https://www.meneame.net/story/alemania-plantea-recortar-fondos-paises-insolidarios-refugiados,2478496,17713240,19,,Frederic_Bourdin,2015-09-15T16:59:18+00:00,0,10,Eso no parece muy legal.
inmigracion,https://www.meneame.net/story/alemania-plantea-recortar-fondos-paises-insolidarios-refugiados,2478496,17713155,18,,sisi,2015-09-15T16:45:13+00:00,0,10,"El problema esta en la forma de càlculo de las cuotas. No en el reparto en si.
Lo mas logico és que los refugiados, se ubicaran en los paises donde tienen mas posibilidades de encontrar empleo. De allí que la quota de paro deberia ser el factor a tener en cuenta y no el PIB, que és lo que propone ahora."
inmigracion,https://www.meneame.net/story/alemania-plantea-recortar-fondos-paises-insolidarios-refugiados,2478496,17713078,17,,JackNorte,2015-09-15T16:31:03+00:00,0,16,Y daran mas dinero a los paises fronterizos que asumen esa carga de todas formas?
inmigracion,https://www.meneame.net/story/alemania-plantea-recortar-fondos-paises-insolidarios-refugiados,2478496,17713075,16,,KNTThunderbird,2015-09-15T16:30:59+00:00,2,24,"-cracia: Elemento sufijal de origen griego que entra en la formación de nombres femeninos con el significado de ‘autoridad’, ‘dominio’, ‘gobierno’

Demos: es un término que tiene su origen en un concepto de la lengua griega que, por lo general, se traduce como “pueblo”. En este sentido, se trata de un elemento compositivo que permite crear diferentes palabras en nuestro idioma.

Demo: Programa informático de demostración que es una versión reducida en prestaciones de un programa para poder utilizarlo y evaluarlo antes de su compra.

Es decir, que nunca ha pasado a producción la autoridad, etc. Que aun no es del pueblo..."
inmigracion,https://www.meneame.net/story/alemania-plantea-recortar-fondos-paises-insolidarios-refugiados,2478496,17713041,15,,delcarglo,2015-09-15T16:25:50+00:00,0,11,"¿y plantea recortar subvenciones a partidos ultraderechistas alemanes por insolidarios?

https://www.meneame.net/story/ultraderecha-alemana-suma-apoyos-medio-crisis-migratoria"
inmigracion,https://www.meneame.net/story/alemania-plantea-recortar-fondos-paises-insolidarios-refugiados,2478496,17713037,14,,RayStars_Sanz,2015-09-15T16:25:11+00:00,4,37,Democracia = Demos-gracias (que no vaya a peor).
