tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20766862,19,,Peka,2016-11-25T11:46:14+00:00,0,8,"Una cosa es detener si pruebas, pero en este caso no hay delito."
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20766441,18,14.0,ipanies,2016-11-25T10:51:12+00:00,1,20,#14 Eso es una distopía ¿no? {lol}
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20766133,17,3.0,--286473--,2016-11-25T10:05:19+00:00,1,15,"#3 Como cualquier combate de esgrima, se sacan los sables y a combatir... 
O jugando a los trenes, unas veces maquinista otras ultimo vagon."
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20766086,16,,--524358--,2016-11-25T09:56:47+00:00,1,16,Pero el viejo tendrá que buscar otro sitio para hacer turismo sexual.
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20766050,15,6.0,--32677--,2016-11-25T09:50:29+00:00,0,13,"#6 saliva. De toda la vida. No te tienes que preocupar por comprarla, y sabes de sobra que siempre tendrás a mano."
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20766047,14,1.0,--32677--,2016-11-25T09:50:02+00:00,0,13,"#1 autofelación, por ejemplo."
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20766020,13,12.0,Ferran,2016-11-25T09:45:12+00:00,1,-1,"#12 Algo bueno hizo zapatero, aunque la sociedad española estaba preparada para ese cambio."
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20765905,12,,Forestalx,2016-11-25T09:28:03+00:00,0,10,"Cosas como estas nos recuerdan que en algunas cosas España está muy por delante de otros países...que aún hay mucho que hacer... y que no todo el mundo tiene la suerte de poder vivir en libertad.
Un país a no visitar, tanto si se es gay como si no..."
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20765895,11,,--321293--,2016-11-25T09:26:32+00:00,0,6,...relacionada: https://www.meneame.net/story/policia-marruecos-detiene-hotel-marrakech-espanol-joven-marroqui
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20765892,10,,--513477--,2016-11-25T09:26:15+00:00,2,22,"Recuerdo que hace poco metieron en prisión a dos muchachas por besarse. Pero nada, como no son turistas sexuales extranjeros a joderse"
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20765846,9,,--376568--,2016-11-25T09:18:36+00:00,0,11,Espero que no sea Goytisolo
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20765827,8,4.0,bensidhe,2016-11-25T09:16:25+00:00,2,25,"#4 sí, el titular es absolutamente repulsivo, impropio de un medio de comunicación serio."
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20765822,7,,Wir0s,2016-11-25T09:15:31+00:00,0,12,"¿""Contra natura""?

Estos deberían ver mas de un documental...."
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20765813,6,3.0,--508876--,2016-11-25T09:14:37+00:00,3,31,"#3 Si eres novato, con aceite de oliva. {smiley}

#4 Es sencillo, hay que entender el ""matiz"". Dice que practica la homosexualidad. Puesto que si reconocen que es homosexual. Están admitiendo implícitamente que es algo que no se escoge y que es interno. Por el contrario si la practica, se toma como algo que sea una posible aberración."
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20765811,5,3.0,ikerbera,2016-11-25T09:14:29+00:00,2,25,#3 Ponte a cuatro patas que te lo explico {shit}
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20765805,4,2.0,ipanies,2016-11-25T09:13:51+00:00,2,30,"#2 ¿Y no sera mas correcto decir que practicaba el sexo con alguien de su mismo genero o algo así que decir que practicaba la homosexualidad? No se, me ha sonado raro, pero igual se dice así {lol}"
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20765798,3,,--511338--,2016-11-25T09:12:49+00:00,2,30,"¿Y cómo coño se ""practica"" la homosexualidad? {wall}"
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20765793,2,1.0,--508876--,2016-11-25T09:12:09+00:00,4,33,"#1 Si coñe, hacerse un bebedero de patos."
lgtbi,https://www.meneame.net/story/libertad-espanol-detenido-marrakech-practicar-homosexualidad,2701531,20765782,1,,ipanies,2016-11-25T09:10:50+00:00,3,50,Practicar la homosexualidad?!?!? {wow}
