tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/racismo-democratico-como-decenas-personas-organizaron-canarias,3782838,37835037,12,,--485175--,2023-02-20T19:46:30+00:00,0,10,"Defenderse contra una invasión brutal, descontrolada, fomentada desde la mafia monárquica marroquí invasora, las mafias musulmanas expansivas de varios otros países y con el apoyo de ONGs mafiosas y la tiranía progre española, ahora resulta que es ""racismo"" y ""chenofobia"" ... {lol} {lol} {lol} {lol} 

Los canarios y todos los españoles bastante han aguantado ya, es hora de que se levanten y se defiendan.

La invasión va a ir a peor, y cada día peor, y peor, ya la gente en todas las zonas fronterizas españolas y de las ciudades donde acaban los ""migrantes"" están hasta los santos corvejones.

Soy experto en respuestas sensatas a problemas abusivos {cool}"
inmigracion,https://www.meneame.net/story/racismo-democratico-como-decenas-personas-organizaron-canarias,3782838,37832467,11,10.0,MacMagic,2023-02-20T13:27:44+00:00,0,10,"#10 No justifico el racismo, lee mi comentario y aprende que es la compresión lectora en mi comentario anterior.

Ahora venga, sigue llamando racista a todo el mundo, listo."
inmigracion,https://www.meneame.net/story/racismo-democratico-como-decenas-personas-organizaron-canarias,3782838,37832453,10,,Malyuyu,2023-02-20T13:26:13+00:00,1,-3,"Si justificas el racismo, evidentemente pienso que eres racista.

No soy racista porque trabajo en una empresa donde hay varias nacionalidades encima {lol}"
inmigracion,https://www.meneame.net/story/racismo-democratico-como-decenas-personas-organizaron-canarias,3782838,37832445,9,8.0,MacMagic,2023-02-20T13:25:29+00:00,1,18,"#8 ¿Me acusas de racista? Pues te comes un reporte por insulto directo.

No tengo ningun problema con ninguna etina o raza, ya que yo solo veo personas, listo que eres un listo."
inmigracion,https://www.meneame.net/story/racismo-democratico-como-decenas-personas-organizaron-canarias,3782838,37832108,8,3.0,Malyuyu,2023-02-20T12:47:18+00:00,3,-2,"#3 Otros estamos muy cansados de los que sois racistas y no os acosamos ni os apartamos de la sociedad. Nos dais asco, mucho, pero nos comportamos con vosotros como con cualquiera."
inmigracion,https://www.meneame.net/story/racismo-democratico-como-decenas-personas-organizaron-canarias,3782838,37829874,7,,Autarca,2023-02-20T08:15:09+00:00,1,22,"Insultando gratuitamente al pueblo canario, menudos racistas estos del ElDiario {troll}"
inmigracion,https://www.meneame.net/story/racismo-democratico-como-decenas-personas-organizaron-canarias,3782838,37829528,6,5.0,Jakeukalane,2023-02-20T07:00:34+00:00,0,12,#5 {hug}
inmigracion,https://www.meneame.net/story/racismo-democratico-como-decenas-personas-organizaron-canarias,3782838,37829513,5,4.0,blodhemn,2023-02-20T06:57:31+00:00,1,32,"#4 De acueedo, pero no deja de ser un vulgar linchamiento."
inmigracion,https://www.meneame.net/story/racismo-democratico-como-decenas-personas-organizaron-canarias,3782838,37829504,4,1.0,Jakeukalane,2023-02-20T06:55:11+00:00,4,68,"#1 no es cosa del periódico sino del estudio: «De esta manera se va construyendo, según los investigadores, el “racismo democrático”. “Es la práctica de exclusión, criminalización, violencia, expulsión, segregación y explotación justificada en el marco democrático haciendo referencia a la seguridad y a la libertad”.»"
inmigracion,https://www.meneame.net/story/racismo-democratico-como-decenas-personas-organizaron-canarias,3782838,37829485,3,,MacMagic,2023-02-20T06:50:52+00:00,10,97,"¿Será que están cansados de su actual situación?

Aunque es más fácil decir que todo es racismo y dar una patada adelante las situación."
inmigracion,https://www.meneame.net/story/racismo-democratico-como-decenas-personas-organizaron-canarias,3782838,37829441,2,,axisnaval,2023-02-20T06:36:18+00:00,3,40,"Obvio, el pueblo canario, violento por naturaleza, reacciona así con cualquier colectivo ajeno  que pise sus costas. 
Lo que hay que leer."
inmigracion,https://www.meneame.net/story/racismo-democratico-como-decenas-personas-organizaron-canarias,3782838,37829424,1,,blodhemn,2023-02-20T06:25:39+00:00,0,20,Menudo eufemismo. Ahora a un vulgar linchamiento se le llama El racismo “democrático” .
