tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39017149,18,12.0,Autarca,2023-08-09T19:51:41+00:00,0,11,#12 como poner a una persona de ascendencia hindú de presidente.
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39016577,17,,torrrquemada,2023-08-09T17:51:30+00:00,0,7,"El ""inmi"" que llega a ascensión {0x1f3b5} 
No es blanco ni tinto {0x1f3b6} 
pues tiene colooor {0x1f3b5}"
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39016554,16,,torrrquemada,2023-08-09T17:46:50+00:00,0,7,Isla de Ascensión.
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39015259,15,1.0,Carapedo,2023-08-09T14:04:13+00:00,0,13,"#1 Suella Braverman y Priti Patel son particularmente malvadas con esto de la inmigración.

Edit: el término despectivo que siempre han usado para referirse a gente del sur de Asia, golfo de Bengala, oriente medio, etc. es ""Paki""."
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39015077,14,1.0,Solucionaria,2023-08-09T13:30:46+00:00,0,6,#1 no hay peor cuña que la de la propia madera
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39015036,13,3.0,malditopendejo,2023-08-09T13:25:17+00:00,0,8,#3 pero si de clasista.
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39014996,12,,vviccio,2023-08-09T13:16:38+00:00,0,11,Desde que salieron de la UE no paran de hacer cosas nazis.
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39014881,11,2.0,Yuiop,2023-08-09T12:57:20+00:00,0,7,#2 También los podrían mandar a Gibraltar.
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39014844,10,,bambam_6667,2023-08-09T12:51:43+00:00,0,6,"Pero si ya han llegado a una puta isla remota del Atlántico, ¿para que buscar otra?"
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39014677,9,1.0,Toponotomalasuerte,2023-08-09T12:24:27+00:00,0,8,"#1 es el síndrome de estocolmo.

La inmigración es trumpista en usa, de vox aquí y de Lepen en Francia. No le busques razón. Será por odio hacia sus iguales."
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39014604,8,1.0,El_Tio_Istvan,2023-08-09T12:13:08+00:00,2,35,"#1 En UK no importa la raza o el origen, solo importa el dinero. En ese entorno creció Sunak."
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39014596,7,,--423412--,2023-08-09T12:11:52+00:00,0,16,Duplicada https://old.meneame.net/story/plan-b-ruanda-donde-esta-isla-ascension-cual-poblacion-todo
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39014530,6,1.0,u_1cualquiera,2023-08-09T12:03:17+00:00,1,16,"#1 ""Ni sirvas a quien sirvió, ni pidas a quien pidió, ni mandes a quien mandó"""
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39014529,5,1.0,--548459--,2023-08-09T12:03:10+00:00,0,7,"#1 De eso nada, les quitan su trozo del pastel. 

Saben lo mucho que cuesta ganarse el pan, como para que vengan otros cogerlo"
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39014495,4,,robustiano,2023-08-09T11:57:01+00:00,0,19,"Joder con los hijos de la Gran Bretaña, a este paso van a dejar al tito Adolf en bragas... {tongue}"
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39014481,3,,Borgiano,2023-08-09T11:54:44+00:00,0,8,Lo malo es que a éste no le pueden acusar de racista.
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39014474,2,,devilinside,2023-08-09T11:53:33+00:00,0,11,"No sé de qué se quejan, podrían mandarles a las Georgias del Sur, que también son británicas"
inmigracion,https://www.meneame.net/story/gobierno-rishi-sunak-baraja-deportar-migrantes-solicitantes-isla,3843508,39014459,1,,vicus.,2023-08-09T11:51:32+00:00,9,120,"Es increíble que los descendientes de migrantes de segunda o tercera generación, sean más retro y xenófobos que los propios lugareños de ocho apellidos British. Es como si pareciera que así son más ingleses, aunque para los pura raza del lugar, siempre serán unas mierdas marrones.."
