tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/renfe-aparta-nueve-vigilantes-golpearon-inmigrante-sin-billete,3104505,26728132,142,117.0,mkordo,2019-04-04T14:02:54+00:00,1,13,"#117 Lo pregunto porque yo sin ser inmigrante pero siendo moreno he tenido muchas experiencias de más que dudosa discriminación. Sin comerlo ni beberlo me he visto envuelto en situaciones en las que mucha gente, parece ser, que se imaginan que no suceden nunca. Y eso siendo moreno así que me puedo imaginar cuales son los prejuicios de mucha gente cuando eres claramente inmigrante."
inmigracion,https://www.meneame.net/story/renfe-aparta-nueve-vigilantes-golpearon-inmigrante-sin-billete,3104505,26709404,141,140.0,--543878--,2019-04-01T20:38:27+00:00,0,7,#140 Por supuesto. {lol}
inmigracion,https://www.meneame.net/story/renfe-aparta-nueve-vigilantes-golpearon-inmigrante-sin-billete,3104505,26709378,140,139.0,Varlak,2019-04-01T20:33:52+00:00,0,7,"#139 claro que si, hombre {lol}"
inmigracion,https://www.meneame.net/story/renfe-aparta-nueve-vigilantes-golpearon-inmigrante-sin-billete,3104505,26709176,139,134.0,--543878--,2019-04-01T19:55:57+00:00,0,7,"#134 Por supuesto que no esperaba más que hicieras una huida hacia adelante. {smiley} Ahora estás haciendo un hombre de paja, pero vamos, no voy a perder el tiempo en discutir esa mierda de detalles. Que tengas un buen día en tu mundo."
inmigracion,https://www.meneame.net/story/renfe-aparta-nueve-vigilantes-golpearon-inmigrante-sin-billete,3104505,26689445,138,137.0,Varlak,2019-03-29T14:08:49+00:00,0,8,"#137 es que sigo sin entender tu argumento
¿De que intentas convencerme con esos links? ¿De que cuando un segurata se lia a, ostias se escriben articulos sobre ello? Pues si, obviamente, como tiene que ser, es lo que tienen los abusos de autoridad en lugares ppublicos, que salen en las noticias"
inmigracion,https://www.meneame.net/story/renfe-aparta-nueve-vigilantes-golpearon-inmigrante-sin-billete,3104505,26687855,137,46.0,--555203--,2019-03-29T11:14:41+00:00,0,9,"#46
https://www.catalunyapress.es/texto-diario/mostrar/1304281/nueva-agresion-vigilante-renfe
https://www.lasexta.com/noticias/sociedad/las-imagenes-de-la-ultima-agresion-de-un-grupo-de-pasajeros-a-los-vigilantes-del-metro-de-barcelona_201811105be735c60cf200fa81f1b07d.html
https://www.metropoliabierta.com/el-pulso-de-la-ciudad/sucesos/nueva-agresion-vigilantes-metro-barcelona_11691_102.html
https://www.lavanguardia.com/local/barcelona/20181122/453080729808/ataque-cuchillo-vigilantes-metro-barcelona.html
https://www.cuatro.com/noticias/agresion-metro-barcelona-vigilante-seguridad_2_2657580040.html
https://cadenaser.com/emisora/2018/11/05/radio_bilbao/1541401809_230173.html
https://www.elconfidencial.com/espana/2018-09-04/vigilantes-metro-renfe-agresiones-sindicatos_1610372/

No me jodas, rafa, no me jodas.

Eso si, te puedo poner 1.000 casos mas que si no los conocias es porque niegas la mayor, y tampoco quieres conocerlos. 
Solo agreden los vigilantes.

Ojo y esto solo en Metro, si metemos a los aMENAS el tema ya se dispara del todo."
inmigracion,https://www.meneame.net/story/renfe-aparta-nueve-vigilantes-golpearon-inmigrante-sin-billete,3104505,26687426,136,130.0,LaResistenciaEsFutil,2019-03-29T10:14:25+00:00,1,16,#130 ¿Por? Yo no soy negro.
inmigracion,https://www.meneame.net/story/renfe-aparta-nueve-vigilantes-golpearon-inmigrante-sin-billete,3104505,26686471,135,124.0,arisma,2019-03-29T08:05:58+00:00,0,6,"#124 A mí siempre me recuerda que hay mucha gente que vive bien a base de tanta defensa de determinados colectivos,  justificado o no.

Sí, pues un caso de ese de toquecitos ya hemos visto en el que la persona que entra sin billete se lía a dar golpes."
inmigracion,https://www.meneame.net/story/renfe-aparta-nueve-vigilantes-golpearon-inmigrante-sin-billete,3104505,26686045,134,126.0,Varlak,2019-03-29T06:56:38+00:00,0,8,"#126 es que no es como la violencia machista, que se cuentan día a día y salen por todos los medios mientras cada político pega un grito en el suelo. hombre, es que esa gente no ha matado a nadie, si 40 menas asesinan a un guardia ya te digo yo que sale en la portada de todos los periódicos. Por cierto ¿que mierdas es ""pegar un grito en el suelo""? Es gracioso cuando tu argumento te sale por la culata pero aún así no reculas. que? ¿No sale en los medios? Es que no es verdad.
¿Ah, que sí sale? Qué más quieres, menuda mierda de invent tuyo. Es que ambas cosas son parte del mismo argumento, si dices que ha pasado algo tan salvaje como que 40 personas han pegado a otra, yo te digo que si no sale en los medios es mentira, y tu dices que no sale en los medios por algun tipo de complot o censura. Obviamente, sale en los medios (como yo decia), y eso prueba que no hay censura. No veo donde está mi contradicción. Vamos, que no hay ibas a dar el brazo a torcer de todas formas. Al menos yo, no me he enterado de esos caso, pero claro, no vivo aquí. es que yo tampoco me he enterado, pero hay muchas cosas que pasan en España y no me entero, eso no significa que los gobiernos nos oculten información para proteger a los moritos, no crees?"
inmigracion,https://www.meneame.net/story/renfe-aparta-nueve-vigilantes-golpearon-inmigrante-sin-billete,3104505,26686044,133,94.0,frankiegth,2019-03-29T06:56:31+00:00,0,12,#94 #36 #88 #97. '.. .Los 'sueldazos' del metro y bus de Barcelona: 50 directivos se repartieron 60 millones en la década de la crisis ...' https://www.meneame.net/story/sueldazos-metro-bus-barcelona-50-directivos-repartieron-60 Pero el problema es que hay gente sin recursos ( los caraduras aparte ) que se cuela en el metro sin billete... Me pregunto que pasaría con billetes de metro a precios reducidos que no necesitasen financiar los salarios estratosféricos de esos 50 directivos.
