tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/jefe-fronteras-marruecos-explica-como-frenan-llegada-inmigrantes,3168898,27592382,12,4.0,--470882--,2019-08-12T16:41:59+00:00,1,17,"#4 Es de agradecer la sinceridad, pero es obvio ¿Qué interés puede tener Marruecos en mover un dedo para alterar un flujo de personas que está de paso? Si yo fuera ellos, sin dinero de la UE, llamaba a los de OpenArms para que los recogieran en la frontera de Mauritania y los escoltaba con patrulleras hasta el estrecho.

El comentario verdaderamente interesantes es, refiriéndose a la donación:""no van a solucionar el problema, pero es un gesto bienvenido""."
inmigracion,https://www.meneame.net/story/jefe-fronteras-marruecos-explica-como-frenan-llegada-inmigrantes,3168898,27591857,11,8.0,Sinfonico,2019-08-12T15:15:47+00:00,1,18,#8 Lo que estás es de psiquiatra
inmigracion,https://www.meneame.net/story/jefe-fronteras-marruecos-explica-como-frenan-llegada-inmigrantes,3168898,27591709,10,9.0,shinjikari,2019-08-12T15:00:04+00:00,0,10,"#9 A ver, ya está bien. Habéis cumplido el cupo de zascas al mismo usuario. Circulen por favor."
inmigracion,https://www.meneame.net/story/jefe-fronteras-marruecos-explica-como-frenan-llegada-inmigrantes,3168898,27591695,9,,Kantinero,2019-08-12T14:57:45+00:00,2,23,Mejor para tus compañeros. #8
inmigracion,https://www.meneame.net/story/jefe-fronteras-marruecos-explica-como-frenan-llegada-inmigrantes,3168898,27591677,8,7.0,--617192--,2019-08-12T14:55:41+00:00,0,8,"#7 Sí, estoy de vacaciones."
inmigracion,https://www.meneame.net/story/jefe-fronteras-marruecos-explica-como-frenan-llegada-inmigrantes,3168898,27591674,7,3.0,Kantinero,2019-08-12T14:55:17+00:00,4,47,"#3 Coño ya hemos encontrado al cantamañanas de guardia en agosto, todavía no tiene una semana de antigüedad y ya va cerca de los 400 comentarios.."
inmigracion,https://www.meneame.net/story/jefe-fronteras-marruecos-explica-como-frenan-llegada-inmigrantes,3168898,27591527,6,3.0,siyo,2019-08-12T14:35:05+00:00,0,7,"#3 """"""""España ha conseguido que la Unión Europea (UE) done 140 millones de euros a Marruecos.""""”"
inmigracion,https://www.meneame.net/story/jefe-fronteras-marruecos-explica-como-frenan-llegada-inmigrantes,3168898,27591484,5,3.0,Sinfonico,2019-08-12T14:29:30+00:00,12,134,"#3 Sí, lo de la inmigración tiene fácil arreglo si lo comparamos con lo tuyo... {palm}"
inmigracion,https://www.meneame.net/story/jefe-fronteras-marruecos-explica-como-frenan-llegada-inmigrantes,3168898,27591457,4,,--614439--,2019-08-12T14:26:22+00:00,1,12,"Me parto el culo {lol} {lol} . ¿Nos va a contar que cuando la UE o España le sueltan pastizales a Secamé II automáticamente empiezan a vigilar sus fronteras y costas para evitar que entren y salgan inmigrantes ilegales?

(tras leer el artícuo) Pues sorprendentemente sí que lo dicen, pero no con estas palabras. Nuestro trabajo en común multiplica. Si una de las partes no hacen su trabajo nos perjudica a los dos. {lol} {lol} {lol} y lo habrá dicho el hijo puta sin despeinarse. Y de hecho, España ha conseguido que la Unión Europea (UE) done 140 millones de euros a Marruecos. ""Que done"". Es que si no les donas tienes a cientos de negros haciendo el salto de valla cada dos por tres, y otras tantos haciéndote piragüismo en el estrecho en pateras. Entre 2014 y 2015 hemos parado al menos el 93% de las llegadas de inmigrantes a costas españoles Y seguramente lo hayan parado como dios manda y sin tonterías, al que pesquen lo llevan hasta la frontera por donde crean que haya entrado, patada en el culo y que se vuelva por donde ha venido. Y si se pone flamenco se le encañona con el rifle."
inmigracion,https://www.meneame.net/story/jefe-fronteras-marruecos-explica-como-frenan-llegada-inmigrantes,3168898,27591444,3,,--617192--,2019-08-12T14:25:07+00:00,11,-64,"La inmigración se soluciona abriendo fronteras y dando una paga de 1200€ a todos los que llegan. Para compensar, se sube el sueldo mínimo interprofesional a 5200€  y se regala Lamborghinis a todos los catalanes y vascos para tenerlos contentos. Se financia todo pidiendo los 5000 trillones de lo robado por los bancos, metiendo un impuesto del 95% a las rentas más altas, expropiando todo lo que esté construido de forma vertical, y finalmente imprimiendo billetes como si no hubiera mañana. En Venezuela han hecho todo esto y les va bien."
inmigracion,https://www.meneame.net/story/jefe-fronteras-marruecos-explica-como-frenan-llegada-inmigrantes,3168898,27591330,2,,--355188--,2019-08-12T14:12:07+00:00,2,6,"Eldiario.es diciendo ""inmigrantes""?

Oh my diosito welcome 2017"
inmigracion,https://www.meneame.net/story/jefe-fronteras-marruecos-explica-como-frenan-llegada-inmigrantes,3168898,27591306,1,,pepel,2019-08-12T14:10:26+00:00,0,16,"Titular completo: El jefe de fronteras de Marruecos explica cómo frenan la llegada de inmigrantes a España: ""El norte está prohibido para ellos"""
