tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/justicia-rechaza-quitar-bandera-lgtbi-cortes-castilla-leon-como,3830099,38741613,44,43.0,RobertNeville,2023-07-01T10:53:51+00:00,0,9,"#43 No me has preguntado nada. Lanzaste una acusación falsa.

Demostré que era una acusación falsa.

Luego te has dedicado a dar rodeos para evitar contestar.

Paso de perder el tiempo con alguien que se comporta de manera tan miserable. Te casco un ignore y punto."
lgtbi,https://www.meneame.net/story/justicia-rechaza-quitar-bandera-lgtbi-cortes-castilla-leon-como,3830099,38741534,43,42.0,--750362--,2023-07-01T10:35:49+00:00,0,11,#42 a mi  aún no me has contestado y pregunté primero.
lgtbi,https://www.meneame.net/story/justicia-rechaza-quitar-bandera-lgtbi-cortes-castilla-leon-como,3830099,38741334,42,41.0,RobertNeville,2023-07-01T09:58:16+00:00,0,9,#41 A ti en cambio te cuesta contestar a lo que se te pregunta.
lgtbi,https://www.meneame.net/story/justicia-rechaza-quitar-bandera-lgtbi-cortes-castilla-leon-como,3830099,38741262,41,40.0,--750362--,2023-07-01T09:44:46+00:00,0,11,"#40 ahora si, te ha costado pero lo has conseguido."
lgtbi,https://www.meneame.net/story/justicia-rechaza-quitar-bandera-lgtbi-cortes-castilla-leon-como,3830099,38739880,40,39.0,RobertNeville,2023-06-30T23:21:40+00:00,0,9,"#39 Esta es la frase completa. Un moribundo lacerado, desangrándose prácticamente desnudo colgado de un instrumento de tortura que representa la imposición a sangre de una creencia que dice defender sus ideas, no sé si es lo más adecuado para tener en las escuelas. ¿No falta ninguna coma? ¿Ningún punto? ¿La ves bien?"
lgtbi,https://www.meneame.net/story/justicia-rechaza-quitar-bandera-lgtbi-cortes-castilla-leon-como,3830099,38739687,39,32.0,--750362--,2023-06-30T22:33:29+00:00,0,11,#32 te has comido la mitad de la frase.
lgtbi,https://www.meneame.net/story/justicia-rechaza-quitar-bandera-lgtbi-cortes-castilla-leon-como,3830099,38739403,38,37.0,ingenierodepalillos,2023-06-30T21:34:13+00:00,0,12,#37 {palm}
lgtbi,https://www.meneame.net/story/justicia-rechaza-quitar-bandera-lgtbi-cortes-castilla-leon-como,3830099,38739237,37,34.0,RobertNeville,2023-06-30T20:58:13+00:00,0,9,"#34 No le voy a hacer un análisis sintáctico si es lo que busca, le daré una pista, ""sus"" se refiere a las ideas pertenecientes a Jesucristo. ¿Está mal construida? Veo que no lo entiendes.

Un sujeto habla de A.

Tú dices que como ese sujeto ha hablado de A y no de B carece de comprensión lectora.

Espero que hayas entendido ya dónde reside la falacia en tu argumentación."
lgtbi,https://www.meneame.net/story/justicia-rechaza-quitar-bandera-lgtbi-cortes-castilla-leon-como,3830099,38739124,36,35.0,ingenierodepalillos,2023-06-30T20:36:10+00:00,1,20,"#35 Si nos ponemos serios, entre los 127 apócrifos descartados que conocemos, las malas traducciones y las modificaciones intencionadas, el Señor de los Anillos tiene más rigor histórico."
lgtbi,https://www.meneame.net/story/justicia-rechaza-quitar-bandera-lgtbi-cortes-castilla-leon-como,3830099,38739107,35,34.0,OrialCon_Darkness,2023-06-30T20:33:48+00:00,1,20,"#34 una duda, de toda la secta del pescado, hasta lo que nos ha llegado ahora, de cuánto hay que fiarse? Porque hablamos de unos puteros que tras ver que se les iba el negocio, empezaron a ponerles coto a sus miembros.
Eso sin contar que no tenemos ni pajolera idea de los supuestos escritos, solo de traducciones torticeras y retocadas."
lgtbi,https://www.meneame.net/story/justicia-rechaza-quitar-bandera-lgtbi-cortes-castilla-leon-como,3830099,38738969,34,33.0,ingenierodepalillos,2023-06-30T20:11:21+00:00,0,12,"#33 No le voy a hacer un análisis sintáctico si es lo que busca, le daré una pista, ""sus"" se refiere a las ideas pertenecientes a Jesucristo. ¿Está mal construida?
Vale, discrepo.
¿Insiste?
Vale, estamos de acuerdo en que estamos en desacuerdo.
Fin."
