tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/increible-caso-inmigrantes-vox-quieren-expulsar-inmigrantes,3068372,26145499,46,,--599068--,2019-01-15T16:16:00+00:00,2,5,"Pos claro. Cuantos menos gallos entren en el gallinero, a más tocan los gallos que ya están adentro. 

Esta simple conclusión que sacan estos inmigrantes demuestra la ceguera ideológica característica de la izquierda divagante. Estos inmigrantes tienen una racionalidad más potente que la de los españoles que no la entienden o los españoles que están en contra por dogmas ideológicos (aka ""porque su religión no se lo permite"").

Después cuando vienen los hostiazzos en lugar de los sorpassos la gente se sorprende y no es capaz de anticiparlo. 

Ahora vas y lo cascas!!!"
inmigracion,https://www.meneame.net/story/increible-caso-inmigrantes-vox-quieren-expulsar-inmigrantes,3068372,26145454,45,,diskover,2019-01-15T16:11:13+00:00,0,11,El increíble caso de los electroencefalogramas planos.
inmigracion,https://www.meneame.net/story/increible-caso-inmigrantes-vox-quieren-expulsar-inmigrantes,3068372,26144861,44,,tierramar,2019-01-15T14:57:44+00:00,0,13,"Los inmigrantes legales siempre han estado en contra de la inmigración, saben que son competencia laboral.
Y VOX sólo es antiinmigrante en la publicidad, en su programa son PRO-inmigración hispana. Que son la competencia laboral más dura, porque no tienen la barrera del idioma.
PROGRAMA de VOX de ""Reconocimiento constitucional de la Comunidad Histórica conformada por España y las naciones hispano-americanas . Contribución a la integración confederal del espacio ibero-americano.""
Impulsar un gran Plan Nacional de Cooperación Internacional con las naciones de la comunidad histórica hispana para la ordenación de las inversiones, ayuda a las empresas españolas, garantizar la seguridad jurídica en los países de acogida y ordenar el flujo migratorio . En los mismos términos, que el Pacto de Migración, recientemente firmado por Sanchez."
inmigracion,https://www.meneame.net/story/increible-caso-inmigrantes-vox-quieren-expulsar-inmigrantes,3068372,26144697,43,15.0,dañocolateral,2019-01-15T14:35:13+00:00,0,7,"#15 Ya, pero te ponen ""en capilla"", es decir, estás a una sentencia firme de ser expulsado. Te quiero decir, que te coge un manos limpias, una fiscalía que te lo afina, una buena campaña mediática y estás fuera."
inmigracion,https://www.meneame.net/story/increible-caso-inmigrantes-vox-quieren-expulsar-inmigrantes,3068372,26144140,42,,El_Cucaracho,2019-01-15T13:34:43+00:00,0,12,"Que raro, un inmigrante legal no quiere competir con otro ilegal que hace su mismo trabajo por 1/10 de su sueldo, rassssismo.

P.D: Casi todos los inmigrantes que conozco tienden más a la derecha que a la izquierda progre."
inmigracion,https://www.meneame.net/story/increible-caso-inmigrantes-vox-quieren-expulsar-inmigrantes,3068372,26144132,41,39.0,MJDeLarra,2019-01-15T13:33:46+00:00,1,11,#39 Un usuario apunta un error de ortografía y un fanboy apunta que el periódico es afín a la izquierda. Ese es el nivel. {shit}
inmigracion,https://www.meneame.net/story/increible-caso-inmigrantes-vox-quieren-expulsar-inmigrantes,3068372,26144091,40,,--599137--,2019-01-15T13:29:25+00:00,0,7,"A mi lo que mas me sorprende son los funcionarios que votan a la derecha (vox, cs y pp), votar a partido que quieren reducir el estado y quitarte tu propio trabajo ..."
inmigracion,https://www.meneame.net/story/increible-caso-inmigrantes-vox-quieren-expulsar-inmigrantes,3068372,26144040,39,33.0,--24179--,2019-01-15T13:24:17+00:00,0,13,#33 Usuario señala la falsedad de una información de un periódico afín a la izquierda y el fanboy se fija en el dedo que señala. Éste es el nivel. {roll}
inmigracion,https://www.meneame.net/story/increible-caso-inmigrantes-vox-quieren-expulsar-inmigrantes,3068372,26143960,38,10.0,xizor,2019-01-15T13:15:25+00:00,0,9,"#10 ese titular es manipulador porque han quitado el condicionante de la expulsión. Seguro que si el CQC siguiera en antena le dedicarían el espacio ese dedicado a la prensa manipuladora.

Seguro..."
inmigracion,https://www.meneame.net/story/increible-caso-inmigrantes-vox-quieren-expulsar-inmigrantes,3068372,26143682,37,35.0,zentropia,2019-01-15T12:47:30+00:00,2,41,#35 Si. Como cuando dicen que no hay más tonto que un obrero de derecha. Yo entiendo que a un uiversitario de izquierdas esté a favor de la inmigración. Ningún senegales les va a quitar el trabajo. En cambio al obrero de derechas si que le afecta.
