tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/transexuales-cataluna-podran-cambiarse-sexo-sin-diagnostico,2688584,20604958,132,51.0,cincinnata,2016-10-29T07:47:55+00:00,0,10,"#51 Es que precisamente un cambio de sexo no es un transplante de hígado. No es comparable a ninguna otra cosa para la cual se requiera opinión médica. Porque se trata de la adecuación de tu cuerpo a tu identidad, y eso sólo lo sabes tú.
Un médico y un endocrino deberán informar de los riesgos, efectos secundarios y posibles resultados de la operación, para que nadie se llame a engaño, pero en definitiva la decisión no debería corresponder más que a la persona afectada."
lgtbi,https://www.meneame.net/story/transexuales-cataluna-podran-cambiarse-sexo-sin-diagnostico,2688584,20594518,131,130.0,Aryadna,2016-10-27T12:59:20+00:00,2,4,"#130 ""Ese comentario critica a los pícaros que se aprovecharían del sistema, en ningún momento digo siquiera que los posibles defraudadores sean homosexuales.""

Es transfobia por que aplicas prejuicios que hacen daño sin saber como va la cosa. Como por ejemplo, cuando llamas homosexuales a las personas trans cuando no es lo mismo.

No eres consciente de que sea transfobia por que no eres consciente de que son prejuicios."
lgtbi,https://www.meneame.net/story/transexuales-cataluna-podran-cambiarse-sexo-sin-diagnostico,2688584,20594503,130,128.0,--51656--,2016-10-27T12:56:24+00:00,2,-14,"#128 Ese comentario critica a los pícaros que se aprovecharían del sistema, en ningún momento digo siquiera que los posibles defraudadores sean homosexuales.

Como me suponía, otra víctima de la LOGSE. Aprende a leer y deja de soltar idioteces e insultos."
lgtbi,https://www.meneame.net/story/transexuales-cataluna-podran-cambiarse-sexo-sin-diagnostico,2688584,20594436,129,127.0,Aryadna,2016-10-27T12:44:46+00:00,2,-19,"#127 @admin Si realmente me llamásteis la atención por que consideráis importante seguir haciendo cumplir las normas, creo que esto entra en la definición de ""falta de respeto"":

""no aburras más con tus estupideces, el resto no tenemos culpa que seas incapaz de interpretar lo que lees."""
lgtbi,https://www.meneame.net/story/transexuales-cataluna-podran-cambiarse-sexo-sin-diagnostico,2688584,20594427,128,127.0,Aryadna,2016-10-27T12:43:19+00:00,1,15,"#127 ""Te reto a señalar donde está mi comentario transfobico.""

Este: ""diría que acabará con gente que se habrá cambiado varias veces de sexo sin haber hecho ningún tratamientos"""
lgtbi,https://www.meneame.net/story/transexuales-cataluna-podran-cambiarse-sexo-sin-diagnostico,2688584,20594410,127,126.0,--51656--,2016-10-27T12:41:08+00:00,3,-15,"#126 Te reto a señalar donde está mi comentario transfobico.
Y si no, calla y no aburras más con tus estupideces, el resto no tenemos culpa que seas incapaz de interpretar lo que lees."
lgtbi,https://www.meneame.net/story/transexuales-cataluna-podran-cambiarse-sexo-sin-diagnostico,2688584,20594318,126,124.0,Aryadna,2016-10-27T12:26:51+00:00,1,-5,#124 Yo reaccioné así por tus comentarios transfóbicos. Y si presupuse tu ideología política fue en base a tus ideas contrarias los servicios públicos y tu intolerancia contra lo que se sale de las normas conservadoras.
lgtbi,https://www.meneame.net/story/transexuales-cataluna-podran-cambiarse-sexo-sin-diagnostico,2688584,20594215,125,121.0,--51656--,2016-10-27T12:12:26+00:00,0,11,"#121 
1- A Menéame se viene lloradito de casa. 
2- Para ser tan faltona tienes la piel muy fina. Respeta y seras respetada, si no, asume las consecuencias.
{kiss}"
lgtbi,https://www.meneame.net/story/transexuales-cataluna-podran-cambiarse-sexo-sin-diagnostico,2688584,20594122,124,120.0,--51656--,2016-10-27T12:00:38+00:00,2,14,"#120 Y el insulto de #80 gratuito que inicia el problema y provoca mi reacción, sale gratis? Se puede llamar facha, pero no hijadeputa? Donde está la lista de insultos permitidos oficialmente?
O tomáis medidas contra los dos o contra ninguno. Que es eso de que te puedan insultar y te castiguen por defenderte?"
lgtbi,https://www.meneame.net/story/transexuales-cataluna-podran-cambiarse-sexo-sin-diagnostico,2688584,20594037,123,122.0,Aryadna,2016-10-27T11:51:20+00:00,1,-5,"#122 Si, después de llamarme la atención a mi y avisar yo, se le ha enviado ese mensaje. Pero lo correcto hubiese sido corregirle directamente a él y no llamarme la atención a mi por calificar su falta de respeto.

Ojo, no estoy diciendo que sea horrible lo que habéis hecho, pero sería mejor un mensaje menos aséptico, diciendo algo así como ""si, disculpa, es que no nos dimos cuenta de lo suyo""."
