tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/mitad-personas-lgtbi-ocultan-orientacion-sexual-trabajo,3836949,38895197,63,62.0,pepel,2023-07-23T09:33:31+00:00,1,20,"#62 No, tienes razón. Alardear es ser machitos, y sentirse orgullosos de ello."
lgtbi,https://www.meneame.net/story/mitad-personas-lgtbi-ocultan-orientacion-sexual-trabajo,3836949,38895145,62,9.0,Bottle,2023-07-23T09:21:34+00:00,0,10,"#9 No conozco ningún hetero que oculte su orientación sexual.  Y ""no ocultar"" no es alardear."
lgtbi,https://www.meneame.net/story/mitad-personas-lgtbi-ocultan-orientacion-sexual-trabajo,3836949,38890833,61,60.0,Bottle,2023-07-22T11:35:27+00:00,1,0,"#60 Si es que solo viene aquí a intentar torear a los que contestan a sus chorradas, incluso llamándote machista y homófobo (todo lo que él es),  y luego te bloquea."
lgtbi,https://www.meneame.net/story/mitad-personas-lgtbi-ocultan-orientacion-sexual-trabajo,3836949,38890758,60,59.0,--716475--,2023-07-22T11:21:06+00:00,1,11,"#59 Si no es por el, que no va a cambiar su discurso. Es por otros que pasen por aqui y se traguen lo que dice."
lgtbi,https://www.meneame.net/story/mitad-personas-lgtbi-ocultan-orientacion-sexual-trabajo,3836949,38890353,59,58.0,Bottle,2023-07-22T10:04:46+00:00,1,16,#58 No pierdas más el tiempo con #_57. ¿No ves que solo viene a manipular y a enmierdar? {shame}
lgtbi,https://www.meneame.net/story/mitad-personas-lgtbi-ocultan-orientacion-sexual-trabajo,3836949,38889357,58,,--716475--,2023-07-22T06:41:05+00:00,0,6,"No. Quiero que me demuestres que hay muchisimas razones por las que la gente no sale del armario. Como yo te puedo demostrar lo contrario. Es muy facil. 

Tu estas mintiendo diciendo que no soy gay. Estas mintiendo diciendo que quiero  saber si tu eres gay. Estas mintiendo diciendo que hay muchas razones para no salir del armario. Estas mintiendo al decir que soy homofobo...

Resumen: MENTIROSO.

Un trato. Te demuestro que soy gay y borras esta cuenta de Meneame? Ahi tas cagao."
lgtbi,https://www.meneame.net/story/mitad-personas-lgtbi-ocultan-orientacion-sexual-trabajo,3836949,38888647,57,56.0,--642930--,2023-07-21T22:35:27+00:00,1,16,"#56 que quieres que te demuestre que no soy gay? porque si es eso suena bastante homofobo que necesites una demostración de eso.
Ten cuidado lo que pides no vaya a ser que descubramos quien eres realmente y luego llores.

No he mentido, porque yo no respondía a nadie, solo he puesto un comentario en una web nada más, tú has mentido para responderme y quedar por encima y al final has acabado siendo homofobo.
Vaya tela"
lgtbi,https://www.meneame.net/story/mitad-personas-lgtbi-ocultan-orientacion-sexual-trabajo,3836949,38888174,56,55.0,--716475--,2023-07-21T20:44:47+00:00,2,19,"#55 Vale, y vas a dar algun argumento sobre el tema o ahora toca ataque personal para otra vez mas desviar el debate?

No tengo problema en demostrar todo lo que he dicho, algo que tu, obviamente, no puedes hacer.

Cree el ladron..."
lgtbi,https://www.meneame.net/story/mitad-personas-lgtbi-ocultan-orientacion-sexual-trabajo,3836949,38887646,55,49.0,--642930--,2023-07-21T18:53:12+00:00,1,16,"#49 jajajaja, me encanta cuando la gente se inventa cosas para quedar por encima como el aceite. Lo siento, no cuela. No es bueno mentir, no te hace buena persona."
lgtbi,https://www.meneame.net/story/mitad-personas-lgtbi-ocultan-orientacion-sexual-trabajo,3836949,38884359,54,52.0,Autarca,2023-07-21T10:54:41+00:00,0,10,#52 pues se ha movido entre el 85% restante
