tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/bulos-sobre-migrantes,3173935,27674523,23,20.0,--479954--,2019-08-25T17:12:59+00:00,0,12,#20 Estoy de acuerdo pero creo que tu mensaje se dirige a otra persona.
inmigracion,https://www.meneame.net/story/bulos-sobre-migrantes,3173935,27673420,22,,--562746--,2019-08-25T13:20:51+00:00,0,10,"Relacionada:
""Desmontando a Óscar Camps: el dueño del Open Arms salva migrantes pero abandona a sus empleados""
https://www.elespanol.com/reportajes/20190818/desmontando-oscar-camps-open-arms-migrantes-empleados/422208070_0.html"
inmigracion,https://www.meneame.net/story/bulos-sobre-migrantes,3173935,27673280,21,19.0,lotto,2019-08-25T12:47:47+00:00,1,22,"#19 Tu eres cortito , lo que dice #18 es el history de menéame  no que se haya cambiado la noticia y luego lo haya editado.

Ahora tu en tus treces."
inmigracion,https://www.meneame.net/story/bulos-sobre-migrantes,3173935,27673046,20,16.0,Sinfonico,2019-08-25T11:56:27+00:00,0,12,"#16 El problema es que te jode la noticia y has puesto excusas para votar negativo y disculparte.
No es necesario que te disculpes y menos que inventes microbloggins inexistentes, si quieres votar negativo estás en tu derecho, pero llorar no hace falta."
inmigracion,https://www.meneame.net/story/bulos-sobre-migrantes,3173935,27673037,19,18.0,Sinfonico,2019-08-25T11:54:21+00:00,1,24,"#18 Ah, y es culpa de #0 que el medio haya cambiado la descripción y él la comparta tal y como está.....
El meneo es fiel a la noticia, con lo que ni hay microblogging ni nada similar."
inmigracion,https://www.meneame.net/story/bulos-sobre-migrantes,3173935,27672676,18,8.0,--22191--,2019-08-25T10:46:16+00:00,2,32,"#8  #11  #5 #16 (cc #1) a ver listillos. Si os vais a: https://www.meneame.net/story/bulos-sobre-migrantes/log podéis ver lo que ponía en la noticia cuando #1 ha avisado de microblogging. Tenéis que pinchar en ""ver contenido previo"" y os sale esto: content: Desmontando fake news sobre migrantes y ONG'S Hasta que llega alguien y le cambia la descripción de la noticia."
inmigracion,https://www.meneame.net/story/bulos-sobre-migrantes,3173935,27672498,17,16.0,lotto,2019-08-25T10:15:25+00:00,0,12,"#16 Gracias septiembre, ya estás aquí y los niños van al cole. Gracias !"
inmigracion,https://www.meneame.net/story/bulos-sobre-migrantes,3173935,27672481,16,15.0,--479954--,2019-08-25T10:12:58+00:00,1,0,#15 INVENT
inmigracion,https://www.meneame.net/story/bulos-sobre-migrantes,3173935,27672388,15,5.0,lotto,2019-08-25T09:54:06+00:00,0,12,"#5  #8  #11 El colega lo edita y aquí venís todos de enterados {lol}

No se para que aviso, eso si, vosotros con la verdad por delante"
inmigracion,https://www.meneame.net/story/bulos-sobre-migrantes,3173935,27671982,14,13.0,--589369--,2019-08-25T08:38:28+00:00,0,8,"#13 me estás diciendo que es un bulo eso de que las autoridades no están haciendo nada?

Me espero impaciente a que maldita.es lo publique 
{troll}"
inmigracion,https://www.meneame.net/story/bulos-sobre-migrantes,3173935,27671955,13,10.0,Am_Shaegar,2019-08-25T08:33:53+00:00,1,21,"#10 El otro día, un compañero puso un enlace en los comentarios de una de las muchas noticias que hay sobre este tema, en el que ponían la cantidad de salvamentos hechos por buques de salvamento estatales de los países de la UE en el Mediterráneo.

Eran muchísimos, no recuerdo la proporción respecto a los realizados por las ONGs, pero ponle que 20 a 1 o por ahí."
inmigracion,https://www.meneame.net/story/bulos-sobre-migrantes,3173935,27671770,12,4.0,Priorat,2019-08-25T07:56:01+00:00,1,23,"#4 Es irrelevante si son buenas o malas. Estas informaciones que corrieron, son falsas. Sean buenas las ONGs o malas."
