tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/grecia-acusa-belgica-pedirles-hacer-retroceder-refugiados-mar,2554598,18733561,154,5.0,--58493--,2016-01-31T20:47:26+00:00,0,10,"#5 A mí todo esto me da entre pena y asco por el ser humano. Bélgica es uno de los países más avanzados de Europa y del mundo. Con las leyes más maduras. Si tratan de esta forma al ser humano, venga de donde venga, es que como especie damos asco."
inmigracion,https://www.meneame.net/story/grecia-acusa-belgica-pedirles-hacer-retroceder-refugiados-mar,2554598,18728210,153,135.0,WarDog77,2016-01-30T20:38:27+00:00,0,11,#135 ¿Entonces decirle a un pais que pare el solo y sin ayuda una presión migratoria generada por la atracción de un continente entero es lo correcto?
inmigracion,https://www.meneame.net/story/grecia-acusa-belgica-pedirles-hacer-retroceder-refugiados-mar,2554598,18728103,152,151.0,Findeton,2016-01-30T20:16:51+00:00,0,10,#151 Pero es que yoo estoy en contra de nada de lo que has dicho. Digo que primero necesitamos bajar el paro. Y luego aumentar la inmigración.
inmigracion,https://www.meneame.net/story/grecia-acusa-belgica-pedirles-hacer-retroceder-refugiados-mar,2554598,18728091,151,91.0,Mimaus,2016-01-30T20:15:05+00:00,0,7,"#91 ¿falso? En España el principal problema es el paro y los sueldos. Repartir ese problema entre mas gente solo lo empeora. Primero tienes que solucionar que la gente no tenga que emigrar. 
Alemania necesitará inmigrantes pero no veo que tenga problema en conseguirlos si puede ofrecerles trabajo. El problema del envejecimiento se soluciona con políticas para el fomento de la natalidad, sea de autóctonos o foraneos, no pidiendo que haya mas inmigración sin tener nada que ofrecer."
inmigracion,https://www.meneame.net/story/grecia-acusa-belgica-pedirles-hacer-retroceder-refugiados-mar,2554598,18728089,150,145.0,capitan__nemo,2016-01-30T20:14:42+00:00,0,11,"#145 Si el mercado reacciona en milisegundos (así van las operaciones hft high frecuency trading de los clones y bots de los mercados), así estará obligada a hacerlo la gente."
inmigracion,https://www.meneame.net/story/grecia-acusa-belgica-pedirles-hacer-retroceder-refugiados-mar,2554598,18726500,149,145.0,JavierLaig,2016-01-30T14:48:47+00:00,0,10,"#145 En Africa me han dicho que viven muy bien con sus piramides de población, en una democracia el 90% de la gente recibe mas de lo que paga en impuestos, las pensiones van al mismo saco que el resto, los abuelos reciben mas dinero del que cotizaron (un plan de pensiones privado ni de coña te da lo mismo).
Traer mas pobres solo agravaria el  problema, aun así no me opongo totalmente a la inmigración, pero ahora mismo sería una desgracia que entraran, cuando tenemos mas de 4 millones de parados, no te entra en la cabeza que no ivan a cotizar suficiente ya que serian nuevos parados la mayoria?
No te digo que en un futuro no haga falta, en ese caso abre las puertas y tendras varios millones en pocos años.
Un paro a la baja eleva los salarios y permite que el estado recaude mas, ademas de no tener que pagarprestaciones a parados."
inmigracion,https://www.meneame.net/story/grecia-acusa-belgica-pedirles-hacer-retroceder-refugiados-mar,2554598,18726006,148,145.0,--493969--,2016-01-30T13:27:12+00:00,0,6,"#145 Eso de que los inmigrantes solucionan el problema de las pensiones es una falacia. En Suecia, por poner un ejemplo el 16% de la población extranjera (mayoritariamente musulmanes) utilizan un 66.4% de las ayudas económicas del Estado y eso le provoca una gran tensión al sistema: https://muslimstatistics.wordpress.com/2015/09/03/sweden-ten-times-higher-welfare-dependency-among-16-5-foreign-born-an-increase-of-82/"
inmigracion,https://www.meneame.net/story/grecia-acusa-belgica-pedirles-hacer-retroceder-refugiados-mar,2554598,18725850,147,146.0,--493969--,2016-01-30T13:03:09+00:00,0,6,"#146 Yo también he visto la película con Tom Cruise; dicho esto y debido a que no todos estaban igualmente formados o a que es complicado gestionar la multiculturalidad luego se producían eventos como los disturbios de Chicago de 1919 o los de Tulsa en 1921, unas cosas bastante horribles."
inmigracion,https://www.meneame.net/story/grecia-acusa-belgica-pedirles-hacer-retroceder-refugiados-mar,2554598,18725689,146,144.0,--89888--,2016-01-30T12:37:29+00:00,0,8,"#144 A ver si te has creído que todos los inmigrantes que llegaban a EEUU venían con el título universitario debajo del brazo. No, joven, los inmigrantes que han hehco de EEUU lo que son fueron los que llegaban a la isla de Ellis con una maleta atada con una cuerda. Y los que llegaban a Nueva York desesperados y luego participaban en la carrera de Oklahoma (carrera que la inmensa mayoría perdieron, dicho sea de paso)."
inmigracion,https://www.meneame.net/story/grecia-acusa-belgica-pedirles-hacer-retroceder-refugiados-mar,2554598,18725669,145,99.0,--89888--,2016-01-30T12:33:14+00:00,1,19,"#99 Tú espérate que realmente tengas esos problemas futuros antes de empezar a tomar medidas, y luego intentas resolverlos con un par de consignas de 140 en twiter o un par de esloganes en un mitin.

Proyecciones como esta no has visto muchas, ¿verdad?"
