tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20467866,77,76.0,--95285--,2016-10-06T22:11:47+00:00,0,10,"#76 Muchas gracias por tu interés en desviar la conversacion hacia mi persona pero creo que te has equivocado de sitio, aquí se viene a hablar de las noticias.
Así pues, siguiendo con el tema ¿Tienes alguna opinion, por ejemplo, sobre lo que muestra este video?
http://vidmax.com/video/144915-In-just-two-minutes-Muslim-and-African-migrants-completely-destroy-this-Italian-caf-"
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20461803,76,75.0,--272179--,2016-10-06T05:51:23+00:00,2,-9,"#75 más xenofobia, más hablar sin tener ni puta idea de lo que se habla, mas difamar, sabes hacer otra cosa a parte de esto? {shit}

Hablas de Kobane, ni puta idea.

Hablas de Turquía, ni puta idea.

Hablas de el padre, ni puta idea.

Hablas de Europa, desde tu cueva de ignorancia paleta y aldeana.

Eso si, insultas, emites falacias, haces SPAM xenófobo.

Lo único que queda claro que controlas, en lo único que eres sincero y en honrado, es en mostrarte como eres:

Despreciable e ignorante... y todavía querrás un debate con alguien {foreveralone}"
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20461443,75,73.0,--95285--,2016-10-05T23:02:52+00:00,2,9,"#73 aun no comprendo en qué parte de tu mísera indigencia intelectual has encontrado motivacion para hablar de una persona que ha perdido su familia intentando salvarla En cambio tu altisima capacidad intelectual no alcanza ni para que te des cuenta que esa familia ya estaba a salvo en Turquia y que fue precisamente por la irresponsabilidad del padre al intentar un viaje tan peligroso como innecesario (en esas condiciones)  por lo que murieron y esto y no otra cosa es lo que dice el meme ese, te guste o no te guste. un pobre padre de familia que a mi parecer puede hacer lo que le de la gana En cambio a mi me da que si su familia ahogada pudiera hablar no diría lo mismo. ninguna mierda ... irrelevante que ande por internet diciendo gilipolleces a diestro y siniestro sin nigun tipo de autocontrol
Y no miro a nadie. Tampoco hace falta que mires muy lejos, solo tienes que leer tu comentario. Y rogaria a un admin que retirase cualquier tipo de propaganda Ya no te bastan los ataques personales que  ansías desesperadamente la censura; pero parece que tus suplicas no han sido atendidas; pues nada, a seguir jodiendote, jajaja.
 Y como veo que te gusta la mierda aquí te pongo otra muestra de eso en lo que quieres que se convierta Europa  (hay mucha mas en la recamara, no te preocupes)
https://www.youtube.com/watch?v=kaHaZepqhRk"
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20459770,74,71.0,Jiraiya,2016-10-05T16:58:47+00:00,0,10,"#71 ¿Se refiere a ""subnormal"" de mi comentario o a ""podemita"" del otro usuario? 

Lo pregunto para ir cogiendo medidas de sus amenazas de banneo."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20458499,73,72.0,--272179--,2016-10-05T13:54:22+00:00,1,2,"#72 aun no comprendo en qué parte de tu mísera indigencia intelectual has encontrado motivacion para hablar de una persona que ha perdido su familia intentando salvarla. Se suele hablar por parte de algunos desde una falsa superioridad moral y una xenofobia que dan asco y que les llevan a hacer SPAM de un meme difamatorio y xenófobo de un pobre padre de familia que a mi parecer puede hacer lo que le de la gana sin preguntar a ninguna mierda maloliente xenófoba e irrelevante que ande por internet diciendo gilipolleces a diestro y siniestro sin nigun tipo de autocontrol bajo el palio del anonimato.

Y no miro a nadie. 

Pero te recuerdo que los comentarioa xenofobos y el proselitismo de cualquier ripo de propaganda xenofoba o racista estan fuera de las reglas de este site. Y rogaria a un @admin que retirase cualquier tipo de propaganda de este estilo, como por ejemplo la que por un error evidente ha quedado expuesta en #66. Al menoa rogaría que se considerase penalizar si no al apologeta la apologia con imagenes de este tipo con su borrado inmediato."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20457789,72,70.0,--95285--,2016-10-05T12:22:08+00:00,1,-2,"#70 Te parece mal que volviese a Kobane a enterrar a su familia? Un entierro son cinco dias, los otros trescientos sesenta que lleva viviendo en ""ese avispero"" son voluntarios pues le ofrecieron la posibilidad de ir a varios paises, uno de ellos Canada y no quiso ir. Odias a ese hombre por alguna razón? Eso es lo que te gustaría para así poder sentirte moralmente superior, pero yerras una vez mas, no odio ni a este hombre ni a los refugiados, si acaso desprecio a los progres occidentales que haceis todo lo posible por llenar Europa de personas que son portadoras de unos ""valores"" y una ""cultura"" que son incompatibles con los derechos humanos y con la convivencia pacifica que hasta ahora hemos disfrutado y que a la larga traerán la guerra civil al continente. Dinos, qué no te compraron papá y mamá bla bla bla Cuando tu oponente pasa de los argumentos a los ataques personales puedes irte tranquilo, sabes que has ganado. Que disfrutes de la mierda. (esta por ejemplo)
http://www.ilgiornale.it/video/cronache/video-rissa-stranieri-milano-1313437.html"
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20456380,71,14.0,saó,2016-10-05T09:31:57+00:00,0,10,"#14 Las descalificaciones, así como las faltas de respeto a otros usuarios, no están permitidos, se consideran un abuso grave y pueden dar lugar a la cancelación de la cuenta.

https://meneame.wikispaces.com/Abusos
https://www.meneame.net/legal.php#tos"
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20454853,70,69.0,--272179--,2016-10-04T23:17:05+00:00,0,12,"#69 tonterías buenistas?

Te parece mal que volviese a Kobane a enterrar a su familia? Odias a ese hombre por alguna razón?Te da miedo? Te molesta quizás que tenga mas pelotas de las que tú jamás tendrás en tu irrelevante vida? Pelotas para intentar salvar a su familia?

Dinos, qué no te compraron papá y mamá que te ha llevado a mostrarte de una manera tan despreciable ante tus semejantes?

Piénsalo detenidamente, leéte esperpento, pide ayuda, todavía estas a tiempo. La xenofobia es una enfermedad, pero no es incurable hijo mío, solo hay que tratar lo que lo provoca en primer termino, la orgullosa ignorancia. {undecided}"
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20454766,69,67.0,--95285--,2016-10-04T22:34:27+00:00,1,-7,"#67 pienso que no debería ""estar en menéame"" Afortunadamente para MNM no eres tú quien dictamina lo que puede decirse  y lo que no; te jodes. He tenido la oportunidad de conocer un centro de acogida y te invito a que dejes tu casa Pues yo te invito a ti a que metas a estos en la tuya
https://www.youtube.com/watch?v=qdYJ6GtUUMM
así se te irían (tal vez) las tonterias buenistas. de esa manera asegurarse no tener por qué volver en el medio plazo a Kobane de donde huyeron cuando eso era un avispero todos los días Menos lobos, volvió a Kobane aún cuando le ofrecieron la entrada en varios paises y alli creo que sigue."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20453611,68,66.0,--272179--,2016-10-04T18:26:15+00:00,0,12,"#66 Y por cierto, ese nino era Kurdo natural de Kobane, como sus hermanos y su madre, evidentemente si yo fuese el padre, no te estaría contestando, así que puedes intuir que lo sé porque lo he leido, cosa que podrías haber hecho tú antes de degradarte de esa manera.

Te seguiré diciendo que el objetivo de este hombre y su mujer era intentar llegar algún día a Canadá donde tenían viviendo ya desde hacía tiempo unos primos, de esa manera asegurarse no tener por qué volver en el medio plazo a Kobane de donde huyeron cuando eso era un avispero todos los días. Para llegar a canadá muchísimos miembros de su familia, amigos y vecinos reunieron dinero para su viaje.

Shame on you {shame}"
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20453531,67,66.0,--272179--,2016-10-04T18:10:42+00:00,2,19,"#66 Ese meme es la mayor asquerosidad que he visto en mucho tiempo y personalmente pienso que no debería ""estar en menéame"" porque es una falacia, porque y porque es inhumana y vergonzosa {undecided}

Cuando Merkel dijo eso había ya 11 millones de desplazados en Siria buena parte de ellos entrando en Europa. He tenido la oportunidad de conocer un centro de acogida y te invito a que dejes tu casa, o la de tus padres si es el caso y te vengas a dormir un ano dos o los que te toquen a uno. 

No tengo nada personal contra nadie aquí, pero hay cosas que revuelven el estómago, tú ignorancia sobre los datos de entrada de refugiados en Alemania mes a mes y la contextualización de estos en la crónica real es sólo algo que sólo cuando quites esa foto discutiré contigo con datos, hasta entonces paso de hablar de este tema contigo. 

saludos."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20453521,66,65.0,--95285--,2016-10-04T18:08:32+00:00,4,-46,"#65 No caigais en la falacia de vienen porque les han llamado Pues sí, se les ha llamado, al menos desde Alemania. Cuando Merkel dijo que los refugiados serían bienvenidos estaba diciendo que podía venir todo el que quisiera; y eso han hecho hasta ahora, por que dos tercios de los que llegan ni son de Siria ni de Irak.  De hoy mismo    http://internacional.elpais.com/internacional/2016/10/03/actualidad/1475523938_771568.html
Y así casi todos los dias."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20453033,65,59.0,--272179--,2016-10-04T16:33:14+00:00,0,12,"#59 Es una profecía autocumplida. Precisamente desde Hungría se han puesto todas las trabas posibles para que se pueda erigir un plan de asilo conjunto europeo y eficiente. Ahora se niegan también a cambiar sanciones por un eventual apoyo con recursos humanos la misión humanitaria en el mediterraneo y recursos humanos en Grecia. El cuarto país europeo pillando más fondos de cohesión, yo se los rebajaba y la cantidad que sea se la redistribuía a Griegos, Italianos y Espanoles, y los hungaros que financien a su cunao el productor de alambre con su maldito y sucio dinero fascista. Pero claro, es mi opinión.

No caigais en la falacia de vienen porque les han llamado, El pasado verano hubo una crisis humanitaria muy seria, producto de la caotización más y más de la situación en Siria e Irak que obligó a millones de desplazados en su propio país a salir cagando leches, se produjo el colapso de los campos de refugiados en los países colindantes, muchísima gente se echó al mar y hay hemeroteca a punta pala para comprobar cómo fue."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20448578,64,23.0,gadish,2016-10-04T05:19:30+00:00,0,8,"#23 y? Si no nos unimos para bien, separémonos.
Por cierto, la unión del ""benelux+francia+alemania+italia"" dudo que se rompa."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20444864,63,57.0,--343064--,2016-10-03T13:03:18+00:00,0,7,"#57 Me referia a Berlin, es lo que pasa cuando el autocorrector funciona si le sale de los huevos y tienes unos dedos enormes para un teclado enano."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20441318,62,61.0,--425756--,2016-10-02T21:40:08+00:00,1,18,#61 Gracias!
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20440594,61,54.0,Jiraiya,2016-10-02T19:10:36+00:00,0,10,#54 Sí.
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20440585,60,58.0,Jiraiya,2016-10-02T19:09:10+00:00,0,10,"#58 Ergo si no se cumple, tenemos el derecho de incumplirlos o por dónde demonios anda tu lógica?

La democracia no sólo se limita a su etimología más primaria (gobierno del pueblo) sino que hace referencia a Estados donde existe justicia social, se respetan las libertades individuales, se protegen las minorías, etc...

Existen democracias imperfectas como Rusia o en Sudamérica, claro está, creyendo que simplemente el hecho de votar les hace plenamente democráticos pero no es así. No en la concepción de democracia que surge tras la Segunda Guerra Mundial en USA y Europa.

A algunos parece que todo vale con tal de convertir los inmigrantes o refugiados en enemigos. Insensatos, estáis tirando piedras sobre vuestro propio tejado."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20440442,59,56.0,--95285--,2016-10-02T18:40:58+00:00,0,10,#56 ¿Y para qué promueven normas que saben que no pueden cumplirlas?
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20440149,58,14.0,TierrasRaras,2016-10-02T17:28:36+00:00,0,7,"#14 No estoy de acuerdo. Democracia no es sinónimo de justicia ni tiene por qué serlo. Para eso está el concepto de Derechos Humanos, que deben cumplirse en todos los países, también en los democráticos. Y cada dos por tres, se ve que no se cumplen."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20440129,57,47.0,TierrasRaras,2016-10-02T17:24:18+00:00,0,7,#47 Y Berlín también.
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20440128,56,55.0,--272179--,2016-10-02T17:23:29+00:00,0,12,"#55 en Grecia? Es evidentemente insostenible.

Esa tarea esta siendo compartida por Alemania que esta reubicando refugiados en todos los paises según su cuota."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20439971,55,42.0,--95285--,2016-10-02T16:35:23+00:00,0,10,#42 La UE es la primera en incumplir sus propias normas puesto que la ley dice que los refugiados deberan permanecer mientras se les tramita el asilo en el primer pais de la UE al que lleguen.
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20439856,54,53.0,--425756--,2016-10-02T15:59:19+00:00,1,18,#53 Si?
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20439706,53,52.0,Jiraiya,2016-10-02T15:13:30+00:00,0,10,"#52 ""Tu"" suele ir acentuado, por ser pronombre personal y eso..."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20439642,52,48.0,--425756--,2016-10-02T15:02:54+00:00,0,11,#48 Tu tienes el poder! Hazte con todos!
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20439640,51,49.0,--425756--,2016-10-02T15:02:10+00:00,3,36,#49 El que quieras.
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20439379,50,23.0,gadish,2016-10-02T13:52:44+00:00,0,8,"#23 por mi vale. Si te unes a una unión, ganas cosas a cambio de ceder autonomia. Si no tr gusta, pues ni lo bueno ni lo malo. La entrada de todos los paises del este fué una bravuconada que se está demostrando un gran error."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20439320,49,28.0,Jiraiya,2016-10-02T13:37:04+00:00,1,3,#28 Cuál discurso? El que los refugiados no son el enemigo? Ammmm.
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20439313,48,30.0,Jiraiya,2016-10-02T13:36:19+00:00,0,10,"#30 Jajaja anda, vete por ahí El Yoyas."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20439035,47,43.0,--343064--,2016-10-02T12:21:49+00:00,1,17,"#43 Habra que bombardear belin de nuevo y luego por si no les queda claro, otra vez Dresde."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20439027,46,32.0,--343064--,2016-10-02T12:19:35+00:00,0,7,"#32 Acceso libre a zona schengen, una vez establecidos dentro de un pais miembro, iran donde verdaderamente quieran ir y no se quedaran pero vamos, como dicen hipocresia de los paises del norte, ahora que les toca la mierda, HAY QUE REPARTIRLA."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20439017,45,11.0,--343064--,2016-10-02T12:17:34+00:00,0,7,"#11 Pues si no es una invasion, que se los chupe alemania, que ademas, son mas afines con tanto turco dentro del pais."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20439005,44,10.0,--343064--,2016-10-02T12:15:42+00:00,1,14,"#10 Ahi que bueno el chiste, vale que no vinieran en pateras pero la gran mayoria entro ilegalmente usando barajas fingiendo ser turistas."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20438627,43,,A1234,2016-10-02T10:55:52+00:00,9,81,"¿Dónde está la xenofobia?. Alemania a su bola ha decidido crear un caos migratorio y ahora pretende que todos carguemos con sus errores de gestión siendo que la UE no tiene competencias en eso. Cuando los demás teníamos esos problemas migratorios bien que pasaban de nosotros. Ahora como el problema les llega a ellos pretenden que los demás colaboremos.

Esto no es Unión Europea ni es nada. Es Alemania haciendo lo que le sale de los huevos."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20438448,42,39.0,--272179--,2016-10-02T10:25:44+00:00,1,5,"#39 existe la UE y la política europea donde Orban, su partido y su país se encuentran enmarcados. Esa realidad no se puede elegir o rechazar según conviene.

http://www.dw.com/es/comisión-europea-sancionará-a-19-países-por-incumplir-derecho-de-asilo/a-18734610

Hay que estar a las duras y maduras, la cuota de refugiados húngara es ridícula y todo el trabajo de selección y reubicación se les va a realizar desde Alemania."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20438412,41,1.0,xiobit,2016-10-02T10:20:24+00:00,0,10,"#1 No, no es soberano mientras este en la UE. Soberana es la UE.

Igual que California no es soberana, sino EEUU."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20438271,40,1.0,--519610--,2016-10-02T09:57:56+00:00,0,8,#1 Al pertenecer a la UE lo de país soberano sobra {wink}
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20438143,39,,--95285--,2016-10-02T09:37:47+00:00,1,17,"Como dice el mismo Orban, No existe ninguna ley internacional que diga que los refugiados tienen derecho a decidir en que país quieren vivir."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20437837,38,37.0,--425756--,2016-10-02T08:45:02+00:00,1,18,#37 Cuéntanos más.
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20437794,37,34.0,--461677--,2016-10-02T08:36:38+00:00,0,8,"#34 Para mí no son inmigrantes.
#31 Hermanos culturales."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20437747,36,,--522782--,2016-10-02T08:24:30+00:00,4,41,Ojalá fuese posible votar este tipo de cosas en España.
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20437737,35,9.0,Uzer,2016-10-02T08:22:36+00:00,0,8,"#9 a lo mejor entraron desconociendo que es Alemania quien dicta lo que se hace o no en la UE ¿No?
Entraron perfectamente al corriente de esto, pero les interesaba mas hacerse con el dinero de los fondos y poder ofertarse como puntos de deslocalización industrial sin penalizaciones por parte de la UE, basicamente entraron por pasta.
A nadie le hace puta gracia que Alemania dicte, pero es la principal potencia en la Europa, y lo que no puedes hacer es ir de listo (no tu, Hungría) a por la pasta y luego para lo que no te interesa de país soberano.
Ojo, que digo que me parece bien que decidan, pero si estás en UE, tienes que acatar lo bueno y lo malo, esté sobre el papel o no, que llegar a puntos de ""es que en ningún sitio lo dice"", teniendo en cuenta el esfuerzo de otros países (Como nosotros hicimos, mejor o peor, en los 90 con la masiva inmigración de África, con lo que está haciendo Italia o Grecia...) es de ser muy cara dura

#25 si, un Kichwa es mi hermano, fijo..."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20437710,34,25.0,--411965--,2016-10-02T08:14:27+00:00,0,7,"#25 vale, y este mensaje chupiguay está reñido con lo que yo digo porque..."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20437708,33,1.0,Raul_pm,2016-10-02T08:14:19+00:00,1,23,"#1 Aunque soy favorable a acoger refugiados de guerra, pues dejar que mueran en el camino, en el mar, en redes de tratas de seres humanos o bajo bombas es colaborar con el genocidio que unos pocos están llevando a cabo en oriente medio, tienes razón en cada letra que has puesto, ahora sí, ya sabes qué pasa con los que desafían a la UE, desde ""el castigo ejemplar"" que pedía Felipe González para Reino Unido por el brexit, hasta el ""memorandum"" para Syriza; la UE es implacable contra sus miembros."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20437700,32,,Noeschachi,2016-10-02T08:13:24+00:00,2,33,"Lo cachondo es que ninguno de esos refugiados se quieren quedar allí, sino seguir su camino hacia a Alemania. En España nadie se queja del cupo, porque ni quieren quedarse ni pasan por aquí...

Por tanto el referendum es mas bien puro populismo, con o sin cupo en Hungría va a querer vivir su puta madre."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20437699,31,25.0,--425756--,2016-10-02T08:13:19+00:00,3,30,#25 Hermanos? De que?
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20437693,30,21.0,--425756--,2016-10-02T08:12:12+00:00,3,36,"#21 Que valientes! (Tus dedos, claro {lol})."
inmigracion,https://www.meneame.net/story/hungria-desafia-ue-celebra-este-domingo-referendum-xenofobo,2679268,20437686,29,2.0,--425756--,2016-10-02T08:11:30+00:00,0,11,#2 Y a algún catalán jajajaja.
