tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37996523,306,236.0,Mario_Morales_1,2023-03-15T16:11:27+00:00,0,6,"#236 sólo por saber, ¿si se puede decir heteruzo para sólo incluir a los heteros rancios, se puede decir también feminazi?
Y quien se sienta ofendide que se lo haga mirar.

Que por aclarar, me parecen fuera de tono las reacciones homófobas, pero si no recordamos el bombardeo macho al que se ha sometido al hombre durante siglos (y algunos de pleno en su casa cuando igual se les despertaba el ramalazo), y lo jodido que es romperle ese esquema a alguien que se lo ha construido para sobrevivir psicológicamente, luego nos sentimos superiores y tal."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37956101,305,304.0,El_perro_verde,2023-03-09T16:49:06+00:00,0,7,"#304 hombre, se veía a leguas.... Se lian 6 minutos después de que aparezcan los personajes, no es que hayan intentado mantener la tensión y la sorpresa"
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37956015,304,144.0,SpeakerBR,2023-03-09T16:36:52+00:00,0,7,"#144 Hace 50 años hubiera sido una sorpresa, ahora se veía a lenguas. Si al menos lo hubieran dismulado poniendo a un actor racializado..."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37955701,303,58.0,ferrisbueller,2023-03-09T15:48:58+00:00,0,6,"#58 jajaja, tu no disfrutas la serie, tu disfrutas el morbo que dan los comentarios de la serie. A mi me pasa un poco igual, la serie para mi es bastante aburridilla, pero ya que la empecé la voy a terminar de ver, ya que no estoy enganchado a ninguna otra de 2022/2023."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37955648,302,103.0,ferrisbueller,2023-03-09T15:42:44+00:00,1,16,"#103 Spoiler : Capitulo a capítulo, se hace más lenta que el paso de un zombie o de semana santa. 
Que suerte que la dejaste en el 1, el capítulo 2 estaba más o menos bien y luego vino el amodorre..."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37953330,301,179.0,katchoo,2023-03-09T11:31:33+00:00,0,8,"#179 Vaya por delante que creo que es perfectamente normal que a alguien no pueda gustarle la historia. El gusto se rompe en géneros. Pero lo que comentas es precisamente el quid de la cuestión de todo el juego. ¿Cuando parar? ¿Quién es el bueno? Si la elección hubiera sido la otra, el personaje hubiera hecho exactamente lo mismo que le hicieron. Y al hacerlo se habría convertido en ""villano/a"" de la situación. La escena es la misma que cuando pasa ""eso"" pero al revés. Es una reflexión sobre la violencia y como la justificamos y hasta donde la podemos llevar.  Por esa razón a mi me gustó muchísimo el segundo juego. Porque empecé en plan ""Me los voy a cargar a todos"" y cuando terminé me di cuenta que era igual que ellos. Hasta que todo se detiene y cambia. Ese es ""el final feliz""."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37952660,300,296.0,--712564--,2023-03-09T10:14:01+00:00,1,12,"#296 Gracias por contestar, sí son cliches tipicos, casi cualquier juego siempre va a requerir cierta suspención de credibilidad, pero lamentablemente son cosas que en cuanto te fijas en ellas, ya no puedes parar de mirarlas."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37952124,299,,Vulpecula,2023-03-09T09:09:15+00:00,0,7,"Tú sales en el 7. Eres el cara champiñón, pero con más odio y bilis {troll}"
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37951433,298,294.0,sauron34_1,2023-03-09T07:22:06+00:00,0,12,"#294 De todas formas, sigue pareciendome curioso que te centres en eso en vez de en la otra parte, porque hay realmente pocos ejemplos de lo que dices, sin embargo los lloros de la altright son mucho más abundantes."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37951381,297,294.0,sauron34_1,2023-03-09T07:13:21+00:00,0,12,"#294 lo de Ana Bolena te lo compro porque bueno, la raza no es importante en su historia, pero es un personaje histórico y vale, sí. Pero lo de She-Hulka no, tío. She-Hulka, a pesar de ser un personaje con más de 40 años de historia, iba a ser acusada de ser woke desde el minuto 1, sus guionistas lo sabían y lo incorporaron en la serie. Es una puñetera genialidad y será estudiada en el futuro, estoy seguro de ello."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37950489,296,237.0,villarraso_1,2023-03-08T22:27:35+00:00,1,12,"#237 Básicamente se decía que el género de los zombies estaba muy gastado, y en The Last Of Us se sigue un poco todos los clichés, desde sociedades que se desmoronan, zonas aisladas donde rechacen sociedades utópicas, escenarios devastados, preparacionistas y gente que se divierte en zonas abandonadas. 
Escenarios que de repente tienen luz y electricidad de sobra inexplicablemente. 

The Walking Dead y The Last Of Us las cumplen esos estereotipos, se centran en las historias de los personajes más que en la historia global. The Walking Dead había episodios de relleno en los que no salían apenas caminantes y que no se avanzaba en la trama principal, pero bueno, eran muchos capítulos y temporadas, pero en The Last of Us son muchos menos capítulos. 
Luego, la facilidad para llegar de un sitio a otro, para encontrar gasolina funcional, encontrar sitios repletos de comida, ropa, útiles, balas infinitas...

Además se habló del patetismo de los villanos, con motivaciones raras de entender y sobre todo, que nadie sabe como han llegado a tener ese poder."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37950232,295,63.0,Alexenvalencia,2023-03-08T21:53:48+00:00,0,7,#63 Secreto: juega de noche.
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37950209,294,291.0,--640173--,2023-03-08T21:50:50+00:00,0,14,"#291 Inclusión forzada para mí sería por ejemplo contratar a una actriz negra para un personaje histórico que era española (Ana Bolena), lo que a mi juicio genera incultura y da armas a los reaccionarios para ridiculizar una lucha legítima (antirracismo) inclusión forzada es que she-hulk necesite estar continuamente rompiendo la cuarta pared para reafirmarse en un condición de mujer empoderada y encima con chistes con poca gracia (mal guión) cuando el hecho es que personajes femeninos poderosos ha habido desde hace años (Ripley, Sarah Connor, incluso Leia si me apuras) 
Inclusión forzada es que en series ambientadas en determinadas épocas históricas, se den situaciones y personajes estereotipos que no encajan con esa época ni de coña, sacándote de la historia.

La verdad es que yo ya hace tiempo que consumo pocas series, la de The last of us es la primera que veo desde hace un año, el tiempo libre que tengo lo dedico más a estar con los críos o a leer (costumbre sana que había abandonado hace tiempo)."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37950194,293,289.0,kosako,2023-03-08T21:48:41+00:00,0,11,"#289 Pues a mi me pasa lo mismo, de hecho seguí hablando con mr Colorao y acabamos entendiéndonos. Ya ves lo molesto que estaba.."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37950154,292,1.0,Alexenvalencia,2023-03-08T21:41:52+00:00,0,7,#1 mira el segundo. Yo iba aquedarme ahí pero el segundo me sorprendió. En especial el inicio.
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37950020,291,290.0,sauron34_1,2023-03-08T21:22:51+00:00,0,12,"#290 la madre que te parío, vaya tochazo me has escrito. Me lo he leído todo excepto la parte de la serie, que todavía no la he visto (llámame loco, pero desde que cancelan con tanta facilidad hasta que no me aseguro que una historia se cierra no empiezo a ver una serie), pero aunque leyéndote me doy cuenta de que eres una persona centrada, que sabe lo que dice y con la que se puede debatir, creo, desde mi humilde opinión, que hierras un poco el tiro.
Quiero decir, al final lo que me intentas explicar es que lo que te chirría es ""la inclusión forzada"" si no te he entendido mal, aunque hayas rehuído a decirlo eplicitamente. Y es que me cuesta mucho pensar en alguna producción en la que se haya forzado tanto una inclusión como para que me chirrié. Desde luego no se me ocurre ningún caso en el que la introducción de un personaje de cierta raza sea forzada, ya que el no suele tener ninguna importancia en el desarrollo, a no ser que la raza juegue un papel en la historia y, por lo tanto, nunca va a ser forzado.
Podría comprarte que un romance entre dos homosexuales esté metido con calzado, pero me cago en la leche, el romance metido con calzador existe desde que el hombre es hombre y nunca ha habido este rasgamiento de vestiduras. Ergo, el rasgamiento debe ser por otro motivo.
Y aún, comprándote que en ciertas ocasiones la inclusión pueda ser algo forzada es, desde luego, en la gran minoria y, sobre todo, un problema menor. Como tú mismo admites, es más preocupante el alzamiento de la extrema derecha y como utilizan los principios de la propaganda nazi para hacerse cada vez más relevantes.
Creo sinceramente que hoy en día introducir inclusión sigue teniendo muchísimo riesgo y, por lo tanto, su uso por parte de las compañías no me parece una instumentalización, sino un ejercicio de valentía. Recuerdo el caso de Lightyear, boicoteada en críticas sin compasión por un beso de medio segundo entre dos chicas, cuando la peli no está nada mal.
Como digo, el tema de los logos arcoíris el 28 de junio y el resto del año ni acordarse sí me parece un intento de capitalizar nuestra lucha. La representación en medios audiovisuales no y, desde luego, sus pros mucho mayores que sus contras. En fin, hablando de tochazos, yo también sé enrollarme, a ver qué te creías {tongue}"
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37949928,290,284.0,--640173--,2023-03-08T21:08:55+00:00,0,14,"#284 Por supuesto que creo deseable la representación en pantalla, mi crítica va más en el cómo que en el hecho en sí.

(Atención Spoilers)

Por ejemplo, la serie de la que trata el meneo, creo que sí lo hace acertadamente, primero porque el juego ya lo hizo acertadamente y la serie está siendo muy respetuosa con el material original, segundo porque la serie no rehuye en ningún momento de la crítica politica, desde el cuestionamiento del autoritarismo neofascista de FEDRA, pasando por la conveniencia o no del terrorismo anarquista de los Luciérnagas, la parodia del lobo solitario prepper Ancap que abandona parte de sus planteamientos iniciales cuando encuentra el amor tardío, la presentación de un cantón anarcosocialista como un modelo de gestión local no sólo deseable, sino conveniente dada la situación y en este último, los peligros de la manipulación por medio de la Fé y las creencias.

Es difícil explicar que es lo que me huele a chamusquina y me hace saltar las alarmas en otras producciones, quizá es lo que te decía que en historias que teóricamente no están centradas en el asunto de la opresión de las minorías, muchas veces se incide especialmente en ese aspecto, olvidando por el camino el desarrollo de personajes, la estructura o el guión.
Se centra la atención en eso y muchas veces salen producciones mediocres, pero quizá lo que veo más contraproducente es que no se normaliza al homosexual/mujerempoderada/personaracializada, cosa que si se hace en The Last of Us de manera tan natural que para mí ayuda a normalizar, ejemplos de personajes que no necesitaban incidir en su condición para hacerse valer por ejemplo serían Ripley, Sarah Connor, Deadpool, Blade, Ian y Mickey de shameless, etc.
 Veo mucho más productivo y positivo la normalización que el centrar el foco en un ""mírame soy especial"" que a mi juicio da munición a los reaccionarios para generar más reaccionarios.

Hay que plantearse realmente el peligro que esos reaccionarios suponen, el auge de la ultraderecha en todo el mundo para mí no es casual, responde a intereses de las élites como siempre, lo que pasa es que la propaganda se ha refinado hasta tal punto que se hace extremadamente difícil reconocerla, la creación de hombres de paja, caricaturas de luchas legítimas para soliviantar a los intolerantes, para mí busca una polarización de la sociedad, por supuesto que siempre habrá malnacidos racistas, homófobos, cristofascistas, pero es que si cogemos los 11 principios de la propaganda de Goebbles (luego me daré una ducha {lol} ) y lo aplicamos a como se agitan los avisperos sociales (redes sociales) vemos que se cumplen uno por uno con el fin de que cada cual busque el enemigo en el de al lado en lugar de en el de arriba (el verdadero enemigo). 

En fin no me enrollo más, siento el tochamen, es difícil estructurar ideas escribiendo en el móvil {tongue}"
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37949885,289,288.0,sauron34_1,2023-03-08T21:02:12+00:00,0,12,"#288 a mí molestarme? Naaaah. Sólo señalo algo que me parece curioso, nada más."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37949335,288,285.0,kosako,2023-03-08T19:42:10+00:00,0,11,"#285 Si te molesta que me moleste lo que dice otro, el problema lo tienes tú, hijo mío"
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37949239,287,160.0,BM75,2023-03-08T19:31:02+00:00,0,7,#160 Llora por los negativos pero luego los reparte a discreción...
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37948746,286,53.0,sauron34_1,2023-03-08T18:28:38+00:00,1,22,"#53 mientras una serie/película/libro o cualquier otro medio tenga riesgo de ser atacado por los de siempre con malas críticas y tildandolo de woke, las compañías que se atrevan a hacerlo merecen nuestros respetos. Por no hablar de lo importante que es que tengamos representación, claro. Te votaría diez veces, qué bien te explicas."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37948720,285,59.0,sauron34_1,2023-03-08T18:25:28+00:00,0,12,"#59 no soy hetero, pero soy blanco y seguramente el que ha escrito el comentario que criticas también. Si alguien escribe ""blanquito"" o ""heteruzo"" y te sientes ofendido, hijo mío, el problema lo tienes tú."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37948641,284,275.0,sauron34_1,2023-03-08T18:15:50+00:00,0,12,"#275 así da gusto debatir, eso está claro. Como veo que eres una persona que tiene las cosas muy claras, pero que no se cierra en banda, no crees que es deseable la representación en pantalla? Porque a ver, sí que es una clara instrumentalización el cambiar un día al año el logo de colorines y luego no hacer una mierda (ni siquiera internamente) para apoyar al colectivo. Pero en el caso de la representación en pantalla todavía existe un alto riesgo de perder público (a la vista de la noticia en la que estamos comentando y los comentarios que han surgido me remito) y me sigue pareciendo un acto valiente. Se trata de una capitalización de la lucha, eso está claro, pero estamos en un mundo capitalista, yo qué sé. Sigo creyendo que los pros superan ampliamente a los contras."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37948505,283,64.0,rutas,2023-03-08T17:52:58+00:00,0,10,"#64 Para piruetas, las que dan esos reaccionarios racistas y homófobos para intentar disfrazar su basura mental detrás de supuestas críticas cinéfilas. - ""Yo soy muy tolerante, pero odio a muerte esta película de fantasía porque sale un negro maricón que no salía en el libro."" {foreveralone} 

¡ALE-HOP!"
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37947629,282,281.0,UnbiddenHorse,2023-03-08T15:55:03+00:00,1,21,"#281 está claro que cada uno lo vive a su manera, a mi siendo un tema que me cansa en otras series, me ha encantado."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37947588,281,278.0,--710767--,2023-03-08T15:46:36+00:00,0,7,"#278 sí me di cuenta, en otro comentario lo digo, que la homosexualidad de Bill se insinua, y ya. A mi parecer el 3 sobra por completo, y en cuanto a su calidad para mi es un hype sobrevalorado, supongo que por el bombo que se le ha dado con las polémicas y todo eso. De hecho es infumable en general. Mi opinión."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37947577,280,225.0,NakanoStation,2023-03-08T15:44:53+00:00,1,13,"#225 pues me han dado ganas de ver el capítulo 8 después de ver tu comentario {hug}, este finde..

No suelo ver series de zombies/bichos precisamente por lo que comentas, que suelen ser un desfile de miembros sangrantes y tiroteos infinitos con cero argumento o desarrollo de personajes.

Pero en este caso un  poco más de acción creo que no le vendría mal, como el final del capítulo 3 (el que salen del suelo). Pero vamos, la estoy disfrutando mucho."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37947568,279,206.0,--710767--,2023-03-08T15:43:54+00:00,0,7,#206 es que no jugué el dlc
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37947490,278,196.0,UnbiddenHorse,2023-03-08T15:33:48+00:00,1,17,"#196 el 3 es un desarrollo de lo que da a entender el juego, que pasa de puntillas, pero pasa. Le han dedicado un capítulo que a mi parecer es de lo mejor que he visto en series en bastante tiempo. Igual cuando lo jugaste no te diste cuenta."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37947375,277,7.0,KraveNtf,2023-03-08T15:15:52+00:00,1,21,"#7 Totalmente de acuerdo.

Siempre siempre siempre este tipo de gilipolleces, vienen de los anglos discutiendo de minucias en la última película que han visto como si eso tuviera importancia en algo.

Y mientras el capital amasando más y más."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37947368,276,103.0,KraveNtf,2023-03-08T15:14:31+00:00,0,7,"#103 A mí me gustan mucho los 2 juegos en los que está basado y era muy escéptico con la serie. El primer episodio no me pareció malo pero nada del otro mundo.
Pero a partir de los siguientes me parece una serie estupendo.

Aún así, si puedes, te recomiendo muchísimo más jugar a los dos juegos. Ahora mismo el 1 tiene un remake con mucha calidad y va a salir en PC."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37947326,275,249.0,--640173--,2023-03-08T15:06:39+00:00,0,14,"#249 Soy consciente que la opinión que tengo en este tema es controvertida, y que a muchos le puede molestar y hasta parecer contradictoria, ya que no niego la necesidad y el beneficio de dar más visibilidad a minorías que tradicionalmente han sido perseguidas, ninguneadas y señaladas, pero al mismo tiempo detecto y denuncio lo que considero una instrumentalización y manipulación del discurso, con el fin de crear un hombre de paja, y repito que veo que es un fenómeno originado y ampliamente extendido en el mundo anglosajon, y que estamos importando aquí más recientemente.
Por supuesto mis análisis y deducciones al respecto pueden estar totalmente erradas, y que esté pecando de conspiranoico gorroplatinista, pero de momento me fío bastante de mi instinto...

 La verdad es que es un tema muy complejo (no me refiero a los derechos y visibilización de estos colectivos, cuya necesidad y oportunidad no niego, que quede claro) que a mí me ha costado mucho tiempo formarme una opinión más o menos sólida, de todos modos, aunque no estemos de acuerdo, agradezco el tono y que no te hayas lanzado a acusarme de cosas que por supuesto no apoyo y contra las que me opongo totalmente (hablo de la homofobia, racismo y misoginia del alt-right ultra).

Espero haber aclarado un poco mi postura  {0x1f609}"
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37946956,274,272.0,Sisko69_,2023-03-08T14:12:40+00:00,0,6,"#272 Lo que queria contar en el videojuego es TOTALMENTE diferente a lo que queria contar en la serie. Precisamente porque uno es una serie y esa historia funciona bien mientras que en el videojuego esa historia seria un coñazo infumable y hay una trama distinta.  
PD. Te lo repito, dime donde guardas ese hombre de paja al que le has puesto mi cara y le pegamos los dos, que ese tipejo es un hijoputa."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37946944,273,270.0,Sisko69_,2023-03-08T14:10:20+00:00,0,6,"#270 Ley de Cunningham, te lo he puesto porque no parecias entender lo que me referia. 

En esa wiki tambien se vienen muy arriba con el transfondo porque en el juego solo se sabe que Bill echa pestes de Frank cada dos por tres, se sabe que estaban casi desde el principio llenando de trampas la ciudad (ciudad, no un pueblecito bucolico vallado como en la serie), se sabe que en usaban a los infectados como sistema de defensa (en la serie no sale) e intentaban llevar un perfil bajo con varios escondites por la ciudad y que Frank acaba hasta los huevos de Bill y queria largarse de alli como fuese. Nada mas que eso y todo eso es a partir de una nota y los comentarios de Bill, con lo que puede haber pasado cualquier cosa y lo que ocurre no tiene nada que ver con lo que ocurre en la serie.

Que, seamos sinceros, desde el principio he dicho que la historia de la serie es mejor para la serie mientras que para un videojuego esta historia seria infumable y al reves. Pero son historias radicalmente diferentes en todos los sentidos, lo unico que es igual son los nombres de los personajes."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37946886,272,264.0,--646159--,2023-03-08T14:02:11+00:00,0,7,"#264 y a propósito, deberías ir a contarle tus penas y pedir que lo corrija al guionista de la serie, que, curiosamente, es uno de los guionistas y creadores del juego, pero qué sabrá él de su propio juego y de lo que quería contar que no sepas tú."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37946798,271,269.0,--646159--,2023-03-08T13:48:18+00:00,0,7,"#269 ""es que no es una serie sobre un mundo apocalíptico, es una serie para adoctrinar y vender la agenda política.
Tristemente han pasado del trasfondo de los juegos, una serie sobre un mundo de “zombies” en el que salen 4 zombies mal contador.
Patetico el destrozo que han hecho de un gran juego, para vender la ideología que les gusta.
Si esto lo hacen con ideología de derechas, estaría internet incendiado de malas críticas y puesto a para ir la serie. ""

ese es tu comentario en una noticia que habla de cómo un episodio de una serie en la que una pareja homosexual ha escocido a cierta parte de la población, incluído tú mismo según parece. Tú dices que ese hecho es para adoctrinar y vender la agenda política, es decir, que cualquier obra cultural o forma de expresión en la que aparezcan gays es por adoctrinamiento político, de modo que para ti toda obra cultural o expresión artística que se precie debe prescindir de algo tan natural hoy en día como ser gay.

Incluso siendo como dices, y el autor de esa obra quiera trasladar al espectador sus principios, éstos serían los de que las personas son libres de vivir y amar como quieran, y esto tan básico tú lo contrapones a ""si esto lo hicieran con ideología de derechas"" aludiendo con esta ""ideología"" a denigrar a las personas homosexuales, que es lo que hace la derecha."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37946730,270,264.0,--646159--,2023-03-08T13:38:27+00:00,0,7,"#264 así es, no he jugado al juego, lo puse en el primer comentario. Pero gracias a Dios hoy no hace falta haber experimentado algo de primera mano para poder hablar sobre ello igual que haberlo experimentado no te da la razón. Por ejemplo, imagino que tú sí lo has jugado, pero a tenor de lo que dice la wiki del juego o bien no te has enterado de nada o bien sí y estabas mintiendo.

De hecho, la historia que te he pegado y que he sacado de aquí ""https://thelastofus.fandom.com/es/wiki/Frank"" se asemeja más al capítulo de la serie que a la historia de terror escrita por Almodóvar que tú me has contado."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37946502,269,190.0,ayotevic,2023-03-08T13:07:05+00:00,0,6,"#190 inculcar respeto? Como se consigue eso exactamente, haciendo obras de ficción en las que los malvados son heteros blancos y los protagonistas son trans, gays o la minoría que le parezca bien al director?? 
Que tal contar una historia, más allá de la orientación/raza de los personajes??

En que momento se inculca respeto en los episodios de esta serie?
Que obra malvada que no tenga un protagonista homosexual inculca odio??
Se inculca odio simplemente por no poner gays o trans o negros oprimidos?
De verdad que usáis cualquier tema/obra/momento para sacar la agenda y “concienciar” al público."
lgtbi,https://www.meneame.net/story/homosexualidad-comunismo-copa-menstrual-the-last-of-us-ha,3788556,37946444,268,59.0,freshcoquitos,2023-03-08T13:00:48+00:00,0,6,"#59 Totalmente. Si en ese comentario sustituyes ""heteruzo"" y ""blanquito"" por ""maricón"" y negrata"" tendría muchísimas papeletas para llevarse un strike. Pero claro, dobles estándares y tal."
