tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/informacion-enlace-tres-detenidos-granada-uno-menor-agredir-gay,3230882,28634302,11,10.0,--557691--,2020-01-10T16:48:36+00:00,0,7,#10 jajajaja que cosas que tienen los españoles
lgtbi,https://www.meneame.net/story/informacion-enlace-tres-detenidos-granada-uno-menor-agredir-gay,3230882,28633070,10,9.0,Peter_Feinmann,2020-01-10T14:04:52+00:00,1,-1,"#9 Al contrario, cuanto mas extenso es el territorio a gobernar, mas colaboración requiere. Pero esto no solo en politica, se ve incluso en la vida. Un gusano apenas necesita unas pocas neuronas para gobernar su cuerpo, pero cuerpos mas grandes requieren mayor control y usan un sistema nervioso mas amplio. Imaginate la medula espinal que se gasta una ballena."
lgtbi,https://www.meneame.net/story/informacion-enlace-tres-detenidos-granada-uno-menor-agredir-gay,3230882,28557851,9,5.0,--557691--,2019-12-30T10:20:13+00:00,0,7,"#5 ¿desde cuando ser un reino es mejor que un condado? Un condado requiere un nivel de colaboración y gestión más desarrollado, de hecho tenían una economía mucho más rica, los reinos estaban a un nivel cercano al subdesarrollo, sin gremios potentes y se legislaba sin negociaciones."
lgtbi,https://www.meneame.net/story/informacion-enlace-tres-detenidos-granada-uno-menor-agredir-gay,3230882,28555990,8,7.0,Peter_Feinmann,2019-12-29T22:38:54+00:00,0,6,"#7 No, si ya han comenzado..."
lgtbi,https://www.meneame.net/story/informacion-enlace-tres-detenidos-granada-uno-menor-agredir-gay,3230882,28555978,7,5.0,asfaltaplayas,2019-12-29T22:37:55+00:00,0,10,#5 No des ideas... que hasta los de León se están empezando a poner tontos
lgtbi,https://www.meneame.net/story/informacion-enlace-tres-detenidos-granada-uno-menor-agredir-gay,3230882,28555970,6,3.0,Olarcos,2019-12-29T22:36:58+00:00,3,44,"#3 Toma, creo que esto es tuyo: {calzador} {calzador} {calzador} {calzador}"
lgtbi,https://www.meneame.net/story/informacion-enlace-tres-detenidos-granada-uno-menor-agredir-gay,3230882,28555937,5,3.0,Peter_Feinmann,2019-12-29T22:31:32+00:00,2,22,#3 ¿como que no? al menos ellos fueron un reino. Por eso su simbolo figura en el escudo de España. Los condados no.
lgtbi,https://www.meneame.net/story/informacion-enlace-tres-detenidos-granada-uno-menor-agredir-gay,3230882,28555842,4,2.0,Peter_Feinmann,2019-12-29T22:14:58+00:00,1,16,#2 Temblará de pensar en la zapatilla...
lgtbi,https://www.meneame.net/story/informacion-enlace-tres-detenidos-granada-uno-menor-agredir-gay,3230882,28555836,3,,aupaatu,2019-12-29T22:13:54+00:00,1,7,En Granada no pueden ser peligrosos independentistas no.
lgtbi,https://www.meneame.net/story/informacion-enlace-tres-detenidos-granada-uno-menor-agredir-gay,3230882,28555818,2,,rogerillu,2019-12-29T22:11:25+00:00,3,31,"El menor de 16 años fue entregado a la madre. Pobrecito, si solo estaba pegado una paliza y robado a la gente. Es que nadie piensa en los niños?
Si a esta gentuza le hicieran lo mismo que hacen ellos seguro que ya no lo harían más."
lgtbi,https://www.meneame.net/story/informacion-enlace-tres-detenidos-granada-uno-menor-agredir-gay,3230882,28555815,1,,Tristan,2019-12-29T22:11:01+00:00,0,7,Lo van a pasar bomba en la cárcel {0x1f602} {0x1f602} {0x1f602}
