tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/pateras-remolcador-nueva-tecnica-mafias-hacer-llegar-inmigrantes,3170135,27613419,20,19.0,LaResistenciaEsFutil,2019-08-15T18:10:56+00:00,0,9,"#19 Ya, pero por mar no vienen a crédito. Es una diferencia importante, porque demuestra que la mafia no tiene ningún interés en que lleguen a puerto."
inmigracion,https://www.meneame.net/story/pateras-remolcador-nueva-tecnica-mafias-hacer-llegar-inmigrantes,3170135,27613174,19,18.0,--31580--,2019-08-15T17:30:03+00:00,1,16,"#18 hay otros en esa situacion de esclavitud que vienen por otros medios mucho mas caros, pero por la patera, tambien... la patera es el low cost del trafico de personas."
inmigracion,https://www.meneame.net/story/pateras-remolcador-nueva-tecnica-mafias-hacer-llegar-inmigrantes,3170135,27613156,18,17.0,LaResistenciaEsFutil,2019-08-15T17:26:34+00:00,0,9,#17 Esos no vienen por mar.
inmigracion,https://www.meneame.net/story/pateras-remolcador-nueva-tecnica-mafias-hacer-llegar-inmigrantes,3170135,27613111,17,14.0,--31580--,2019-08-15T17:16:05+00:00,1,16,"#14 Bueno, suele haber bastantes que vienen como esclavos o esclavas adeudando el pasaje que iran pagando con su espalda o con su coño por años y años, esa mercancia le es algo valiosa (pero que si se ahogan tampoco pasa nada, tienen cola esperando en el puerto)"
inmigracion,https://www.meneame.net/story/pateras-remolcador-nueva-tecnica-mafias-hacer-llegar-inmigrantes,3170135,27613102,16,8.0,Suigetsu,2019-08-15T17:14:06+00:00,1,13,"#8 Está claro que eres un bocazas.
https://www.lavanguardia.com/vida/20190214/46466941649/mauritania-intercepta-pateras-con-emigrantes-asiaticos-rumbo-a-canarias.html"
inmigracion,https://www.meneame.net/story/pateras-remolcador-nueva-tecnica-mafias-hacer-llegar-inmigrantes,3170135,27613054,15,12.0,--133448--,2019-08-15T17:04:45+00:00,0,11,"#12 Si la teoría la sabemos todos. Educación e inversión. Pero creo que con dejar de intervenir y arruinar sus economías ya se haría mucho. Por eso digo que occidente tira la piedra, y esconde la mano. Algo que favorece inmigración ilegal y el discurso populista. 

Pero de momento nadie tiene la receta para evitar la inmigración. Ni Japón, ni Estados Unidos. El único ha sido Australia que da la vuelta a las embarcaciones, y que sea lo que Dios quiera con ellos. Y eso creo que no dice mucho de la humanidad de los políticos de ese país."
inmigracion,https://www.meneame.net/story/pateras-remolcador-nueva-tecnica-mafias-hacer-llegar-inmigrantes,3170135,27612886,14,13.0,LaResistenciaEsFutil,2019-08-15T16:33:31+00:00,0,9,"#13 A las mafias les da igual que lleguen o no lleguen, ellos ya han cobrado."
inmigracion,https://www.meneame.net/story/pateras-remolcador-nueva-tecnica-mafias-hacer-llegar-inmigrantes,3170135,27612652,13,4.0,--31580--,2019-08-15T15:43:16+00:00,2,19,"#4 Y si ademas tienes garantizada la recogida por sus socios europeos, perfecto para vender su producto en africa y oriente medio."
inmigracion,https://www.meneame.net/story/pateras-remolcador-nueva-tecnica-mafias-hacer-llegar-inmigrantes,3170135,27612648,12,10.0,santim123,2019-08-15T15:42:44+00:00,3,26,"#10 Bien. Tengo amigos libios, residiendo allí algunos, otros escapados en Túnez y coinciden en que la primavera árabe en Libia fue iniciada por 4 gilipollas a los que acompañaron los habituales caciques, como los que hay en cualquier pueblo español, apoyando en cada momento lo que más les convenía para extender su poder. 

No le hacían ascos a untar militares de Gadafi primero y a recurrir a extremistas e iluminados para que lucharan a los 4 días contra esos mismos militares.

Todo por el dinero, que en Libia sale del petróleo.

EEUU y otras potencias europeas no democratizan países por amor al arte. 

En Libia, como en cualquier país, la mayoría de la población pasa de la política ya que bastante hay con sobrevivir y progresar día a día.

Esos caciques o señores de la guerra o milicias o como se les quiera llamar hoy actúan como mafias. 

Cortan carreteras y pagas por pasar, controlan puertos y no le hacen ascos a ningún negocio lícito o no en ellos. 
Y esas mafias son las que también están controlando la emigración ilegal desde Libia pillando comisiones o mordidas.

Rescatando inmigrantes a 4 millas de las costas libias se sigue favoreciendo el negocio que tienen montado esos caciques/mafiosos/piratas/bandidos ya que por cada emigrante que sale, ellos cobran.

Ojo que no son analfabetos con un AK-47 esos mafiosos. Muchos son gente que tenía cierto poder ya con Gadafi solo que con él estaban controlados y con la cadena y bozal puestos.

Me gustaría que se me ocurriera alguna alternativa a dejar de rescatar emigrantes frente a las costas libias para cortar su negocio y peajes con seres humanos.

Mi opinión es que los estados europeos deberían ver cuánto se gastan en mantener inmigrantes aquí sin establecer ningún tipo de filtro de a quién dejas pasar o no y enfocar ese esfuerzo económico, que no debe ser poco, a ir cortando problemas de raíz en África.
Por ejemplo con educación y empleo.
Habrá mil cosas que se puedan fabricar en Costa de Marfil sin mantener fábricas chinas.

La gente normalmente ama la tierra donde nace y no se marcha si no queda alternativa.

Y Open Arms está colaborando con las mafias, haciéndoles la mayoría del trabajo con subvención pagada por los europeos."
inmigracion,https://www.meneame.net/story/pateras-remolcador-nueva-tecnica-mafias-hacer-llegar-inmigrantes,3170135,27612506,11,1.0,johel,2019-08-15T15:18:49+00:00,0,7,"#1 pregunta que españoles tienen poder suficiente en esos lares para poder montarles las cadenas de suministros y contactos necesarios. Luego echate unas risas, o no."
