tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/vox-pide-firmar-programa-unico-ciudadanos-pp-madrid-quite-sin,3147609,27284475,24,2.0,--534998--,2019-06-26T13:01:10+00:00,0,8,"#2 Has mandado la noticia sólo para escribir este comentario, ¿verdad?"
inmigracion,https://www.meneame.net/story/vox-pide-firmar-programa-unico-ciudadanos-pp-madrid-quite-sin,3147609,27284077,23,16.0,--479141--,2019-06-26T12:16:19+00:00,0,11,"#16 ya,  pero será utópico, pues gracias a VOX no habría inmigrantes que vinieran a España. Sólo emigrantes que quieren salir de ella {lol}"
inmigracion,https://www.meneame.net/story/vox-pide-firmar-programa-unico-ciudadanos-pp-madrid-quite-sin,3147609,27283426,22,,La_Abuelita,2019-06-26T11:19:59+00:00,1,12,"Osea, que gente que lleva años que por razones complicadas no han conseguido los papeles aún, deberían estar también en situación de precariedad de salud, a modo que puedan contraer más enfermedades y así afectar al resto de la población. Si vox piensa que se ahorra con eso, no entienden nada de ciencia. En cuanto a humanidad, eso ya queda claro también que tampoco."
inmigracion,https://www.meneame.net/story/vox-pide-firmar-programa-unico-ciudadanos-pp-madrid-quite-sin,3147609,27283285,21,,xaviqaz,2019-06-26T11:06:48+00:00,0,6,"Vox es puro humo, entretenimiento para los mass media . Vox el 14 de junio, un día antes de la investidura de Martínez Almeida: Carmena será alcaldesa si PP y Cs no nos dan concejalías. Ahora ya no quieren concejalías ni consejerías autonómicas. A la hora de la verdad saben que, si provocan elecciones anticipadas en la C. de Madrid (PSOE y Cs no suman, no hay alternativa), se hundirán.

Vox seguirá comiéndose más pactos a la andaluza: negociación separadas PP-Vox y PP-Cs, y cero cargos de gobierno para Vox."
inmigracion,https://www.meneame.net/story/vox-pide-firmar-programa-unico-ciudadanos-pp-madrid-quite-sin,3147609,27282790,20,,Carlos_Pascual_Rebollo,2019-06-26T10:08:31+00:00,0,7,"Soy el primero que no está de acuerdo con la inmigración ilegal ni con las paguitas por el mero hecho de haber entrado ilegalmente en el pais. 

Dicho esto hay que ser un hijo de la grandisima puta para quitar sanidad a alguien. Estamos hablando de sanidad, la gente no se pone mala por capricho ni se levanta un día diciendo “parece que hace bueno, me apetece que me extirpen el apéndice”. Es falta de humanidad total."
inmigracion,https://www.meneame.net/story/vox-pide-firmar-programa-unico-ciudadanos-pp-madrid-quite-sin,3147609,27282722,19,,rogerius,2019-06-26T10:01:27+00:00,0,16,Está claro que le están preparando la coartada a Alberto Carlos para que vote a Pdr Snchz en la investidura.
inmigracion,https://www.meneame.net/story/vox-pide-firmar-programa-unico-ciudadanos-pp-madrid-quite-sin,3147609,27282457,18,15.0,ikatza,2019-06-26T09:32:27+00:00,0,13,"#15 La mentalidad es la misma. ""La sanidad se la tiene que pagar cada uno""."
inmigracion,https://www.meneame.net/story/vox-pide-firmar-programa-unico-ciudadanos-pp-madrid-quite-sin,3147609,27282397,17,,--24179--,2019-06-26T09:26:37+00:00,0,13,"Microbloggin en las etiquetas. Por otra parte Vox lo que quiere hacer es su programa, no es ninguna sorpresa."
inmigracion,https://www.meneame.net/story/vox-pide-firmar-programa-unico-ciudadanos-pp-madrid-quite-sin,3147609,27282335,16,4.0,marioquartz,2019-06-26T09:20:05+00:00,0,8,"#4 Un ideal que puede morderles. Si un inmigrante no sabe que tiene una enfermedad contagiosa llega y no va a Urgencias en cuanto aparezcan los primeros síntomas, tendremos un gigante problema sanitario.
Precisamente si fueran egoístas apoyarían lo contrario."
inmigracion,https://www.meneame.net/story/vox-pide-firmar-programa-unico-ciudadanos-pp-madrid-quite-sin,3147609,27282257,15,,--38321--,2019-06-26T09:11:34+00:00,12,124,"Primero a los sin papeles.
Luego a los con papeles.
Y para acabar, a los indígenas de aquí.

Os recuerdo que estos piscópatas consideran que la sanidad no es un derecho."
