tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/hablan-alumnos-recibieron-talleres-lgtbi-vox-ataca-insultaban,3157305,27422881,52,38.0,Noctuar,2019-07-17T18:43:12+00:00,0,11,"#38 Aquí tienes algunas fuentes oficiales: 
http://caribeafirmativo.lgbt/2017/05/31/onu-revela-informe-violencia-personas-lgbt/
http://www.oas.org/es/cidh/informes/pdfs/violenciapersonaslgbti.pdf
http://www.felgtb.org/temas/eventos-y-formacion/noticias/i/15100/560/felgtb-y-su-observatorio-redes-contra-el-odio-presentan-su-informe-sobre-delitos-de-odio-e-incidentes-discriminatorios-a
Haciendo ese tipo de preguntas sólo demuestras que desconoces el tema sobre el que pretendes hablar o que simplemente estás troleando.

Yo no estoy favoreciendo a nada en contra de nadie. Eres tú el que comete la falacia de considerar que una iniciativa específica sobre el tema LGTB supone despreciar a otros problemas específicos. Si crees que existe una discriminación o prejuicio contra ese supuesto colectivo marroquí entonces presenta tus datos a quien corresponda."
lgtbi,https://www.meneame.net/story/hablan-alumnos-recibieron-talleres-lgtbi-vox-ataca-insultaban,3157305,27419908,51,5.0,thorpedo,2019-07-17T11:48:41+00:00,0,8,#5 troll detected
lgtbi,https://www.meneame.net/story/hablan-alumnos-recibieron-talleres-lgtbi-vox-ataca-insultaban,3157305,27419618,50,49.0,SIlver_Efw,2019-07-17T11:12:05+00:00,2,21,#49 han repetido tantas veces que nadie les puede cuestionar que acaba siendo un mantra.
lgtbi,https://www.meneame.net/story/hablan-alumnos-recibieron-talleres-lgtbi-vox-ataca-insultaban,3157305,27419267,49,12.0,--615370--,2019-07-17T10:28:22+00:00,1,16,#12 ¿ Y que problema hay en revisar el temario si es tan bueno ?
lgtbi,https://www.meneame.net/story/hablan-alumnos-recibieron-talleres-lgtbi-vox-ataca-insultaban,3157305,27419020,48,47.0,ddomingo,2019-07-17T10:03:41+00:00,0,10,"#47 Tu experiencia personal sobre lo que la gente tiene o no prejuicios es subjetiva y no se basa en ningún hecho cuantificable o demostrable. Si haces una excepción con los transexuales y no la haces con los marroquíes o los gays deberás basarte en algo científico, demostrable, medible.

Si a ti te educan en que debes de respetar a todos y tratas a todo el mundo con respeto no te vas a encontrar a un transexual y empezar a insultarlo, menospreciarlo o tratarlo mal. No es difícil de entender."
lgtbi,https://www.meneame.net/story/hablan-alumnos-recibieron-talleres-lgtbi-vox-ataca-insultaban,3157305,27418842,47,45.0,Liet_Kynes,2019-07-17T09:39:27+00:00,0,7,"#45 Prácticamente nadie tiene ya prejuicios sobre los negros y por eso no es equiparable. La mayoría vemos a las personas de cualquier raza como iguales y no vemos que tengan nada especial ni diferente por ello. Con los transexuales no ocurre eso. Hay un desconocimiento muy profundo de su sexualidad y eso provoca rechazo y confusiones. Que sí, que hay que respetar a todo el mundo, pero si una característica en concreto de ciertas personas genera rechazo se tiene que trabajar esa característica. No creo que sea tan difícil de entender"
lgtbi,https://www.meneame.net/story/hablan-alumnos-recibieron-talleres-lgtbi-vox-ataca-insultaban,3157305,27418825,46,,--166606--,2019-07-17T09:37:38+00:00,0,6,"Vaia, vaia, la escoria ultra criticando que se hagan cursillos antibuying por cuestión de sexo, subseres homofobos."
lgtbi,https://www.meneame.net/story/hablan-alumnos-recibieron-talleres-lgtbi-vox-ataca-insultaban,3157305,27418741,45,44.0,ddomingo,2019-07-17T09:22:27+00:00,0,10,"#44 Si, me lo has dicho. Pero es que eso no tiene ninguna base. A las personas hay que respetarlas no por si orientación sexual o por su color de piel sino porque son personas. Todas ellas con la misma dignidad.

Te parafraseo: Solo conociendo como ven y sienten las personas de color se les puede respetar.

Aquí puedes poner cualquier grupo identitario con la misma razón que tú pones exclusivamente a LGTBI."
lgtbi,https://www.meneame.net/story/hablan-alumnos-recibieron-talleres-lgtbi-vox-ataca-insultaban,3157305,27418710,44,41.0,Liet_Kynes,2019-07-17T09:18:44+00:00,0,7,#41 Te lo he dicho: los prejuicios y estereotipos que se tienen sobre la sexualidad. Solo conociendo cómo ven y sienten la sexualidad esas personas se les puede respetar
lgtbi,https://www.meneame.net/story/hablan-alumnos-recibieron-talleres-lgtbi-vox-ataca-insultaban,3157305,27418696,43,18.0,Ratoncolorao,2019-07-17T09:16:31+00:00,0,18,"#18 Para la tontofobia se creó precisamente la escuela, así en general. Pero leyéndote parece que sin mucho resultado..."
