tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16822961,40,38.0,--80628--,2015-05-08T01:55:00+00:00,3,50,"#38 El nivel racista, machista, fascista y homófobo que hay en Italia es acojonante."
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821945,39,2.0,--478273--,2015-05-07T20:57:00+00:00,1,26,"#2 y que paguen más del salario mínimo, que no es barato dar trabajo."
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821894,38,34.0,--32547--,2015-05-07T20:47:58+00:00,2,44,"#34 En Italia hay mucho facha y mucho racista, así que por desgracia tiene su público.

Los que no estamos en esas categorías nos avergonzamos de que un ministro vomite tanta mierda por la boca. Pero de Alfano no se puede esperar mucho."
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821754,37,,--324579--,2015-05-07T20:24:46+00:00,4,71,"Los trabajos forzados están prohibidos por el derecho internacional.

A ministro hoy en día llega cualquiera."
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821647,36,,--461677--,2015-05-07T20:09:21+00:00,0,9,Y así señores destruirán definitivamente a la clase trabajadora europea
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821629,35,32.0,--258554--,2015-05-07T20:05:23+00:00,3,48,"#32 No me puedo resistir a repetir un cometario sobre quiénes son y a cuándo se remiten los Aguirre Gil Biedma ¿hay algo más antiliberal que una familia de castuzos cuyos origenes sean la edad media? 
Ojo, que no son la excepción, son la puta norma en el Ibex35, plagadito de ""grandes de España""
https://www.meneame.net/c/16813937"
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821552,34,,--234048--,2015-05-07T19:53:37+00:00,0,11,"Que falta de empatía... 

Me pregunto ¿cuantos italianos estarán de acuerdo con él?"
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821522,33,,mchock1,2015-05-07T19:47:23+00:00,1,29,Al PP (y sucedáneos) le gusta esto y lo sabes.
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821469,32,29.0,rogerius,2015-05-07T19:37:17+00:00,1,33,"#29 La configuración de apellidos en España es la más cercana a la Edad Media de toda Europa según afirmaba una noticia reciente…, añádele el palo que consiste en la amenaza continua de que «si no votas lo que diga el cacique habrá otra guerra civil» (Hndez. Mancha nos ha ilustrado con un ejemplo cercano), adiciona la zanahoria que consiste en «si votas lo que yo te diga verás que bien te va a ir a ti y a tus chicos» más la amenaza estadounidense o financiera sobre las clases altas… ¿Le hace falta a España un hervor, cuatro años más de hijoputismo a saco? Es lo que vamos a tener según parece —ojalá me equivoque. Cuatro años para que el pueblo madure su próxima elección…"
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821422,31,,VictorGael,2015-05-07T19:25:00+00:00,2,40,Las declaraciones las hizo el domingo al salir de misa.
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821383,30,,--75755--,2015-05-07T19:18:05+00:00,0,6,"Gratis no. Es simple Ley de conservación de la energía. Al menos que repongan las calorías gastadas ¿no, señor Ministro? Es que si no, se gastan como las pilas. ¡Ah, ahora caigo! {palm}"
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821373,29,28.0,--258554--,2015-05-07T19:17:05+00:00,3,53,"#28 Las tragaderas van por regiones, la abrumadora mayoria del país parece ser mentalmente menor de edad y demuestra tener un asombroso gaznate. Para mi que es una alteración genética datada en el 36, porque en España hubo dignidad, incluso intelectuales patrios fueron pioneros de lo que luego tomó forma como Declaración de Derechos Humanos. Y eran unos cuantos en los que en la ""plácida transición"" pensaban que sólo el fuego purificaría tanto mal #68

Sincermente, la situación política de este país me recuerda a la pederastia, por ceñirme al caso, porque a nivel europeo, incluso mundial me resulta semejante, desde gabichilandia al ""país de la libertad"" {confused}"
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821300,28,25.0,rogerius,2015-05-07T19:06:15+00:00,1,34,"#25 Cuando te respondía en el comentario anterior se me pasaba por la cabeza precisamente esto que dices —no la canción sino cómo nos han tomado el pelo desde entonces aquí, cómo han jugado y juegan con el miedo y la esperanza de las gentes. ¿Somos —seremos siempre— menores de edad, idiotas?

Está claro que nos cultivan."
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821263,27,,Raul_pm,2015-05-07T19:02:10+00:00,2,35,Éste es de los socialistas europeos no???
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821255,26,,--55399--,2015-05-07T19:00:53+00:00,0,10,Qué generosidad la de este caballero. {lol}
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821235,25,23.0,--258554--,2015-05-07T18:59:01+00:00,2,46,"#23 ¿recuerdas la que se tragaron las masas de la jodida transición? No hay peli o video porno que haya superado eso, tonto el último!!!

España camisa blanca de mi esperanza
reseca historia que nos abraza
con acercarse solo a mirarla,
paloma buscando cielos más estrellados
donde entendernos sin destrozarnos
donde sentarnos y conversar.

España camisa blanca de mi esperanza
la negra pena nos atenaza
la pena deja plomo en las alas
quisiera poner el hombro y pongo palabras
que casi siempre acaban en nada
cuando se enfrentan al ancho mar.

España camisa blanca de mi esperanza
aveces madre y siempre madrastra
navaja, barro, clavel, espada;
la muerte siempre presente nos acompaña
en nuestras cosas más cotidianas
y al fin nos hace a todos igual.

España camisa blanca de mi esperanza
de fuera o dentro, dulce o amarga
de olor a incienso de cal y caña quién puso el desasosiego en nuestras entrañas
nos hizo libres pero sin alas
nos dejó el hambre y se llevó el pan. España camisa blanca de mi esperanza
aquí me tienes, nadie me manda
quererte tanto me cuesta nada nos haces siempre a tu imagen y semejanza
lo bueno y malo que hay en tu estampa
de peregrina a ningún lugar .
https://www.youtube.com/watch?v=S2zpjwbSFcA"
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821229,24,2.0,Robus,2015-05-07T18:58:32+00:00,0,10,"#2 ""y que además lo hagan en sus paises de origen"" - le faltó añadir. {roll}"
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821200,23,21.0,rogerius,2015-05-07T18:55:44+00:00,1,34,"#21 Sí, la cándida camisa del candidato —desde que se quitaron la corbata no hay quien los distinga; no hace falta. Aquí y en la UE, PP$0€."
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821182,22,18.0,--379974--,2015-05-07T18:53:42+00:00,1,23,"#18 Le pagan la comida, el alojamiento y los cuidados, no ha inventado nada, lo hace por rememorar las viejas glorias del imperio romano."
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821137,21,6.0,--258554--,2015-05-07T18:48:31+00:00,5,72,"#6 Ah el gobierno de Renzi, la esperanza de la socialdemacracia sociolista europea. Aqui junto al ultra franco-español de Valls y el más guapo y con menos vocales de los candidatos nacionales.

PD: que miedito dan la panda de los camisas blancas, son más de los que están {confused}

#4 Una mayoría de italianos apoyó a Musolini, ¿por qué no?"
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821133,20,,Arzak_,2015-05-07T18:47:50+00:00,0,11,Pero me imagino que tendrán derecho a vacaciones impagadas y cuando les despidan saldrán a adeudar el finiquito.
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821132,19,,--467143--,2015-05-07T18:47:45+00:00,0,8,edit.
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821104,18,,El_Cucaracho,2015-05-07T18:43:29+00:00,4,77,"Eso se llama esclavitud, y no lo ha inventado el ministro ese."
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821091,17,,lixus,2015-05-07T18:40:06+00:00,1,29,¡Que hostia tiene el tal ministro este...!
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821044,16,14.0,rogerius,2015-05-07T18:32:12+00:00,1,22,#14 Eso sí es inaceptable.
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821038,15,,--396026--,2015-05-07T18:31:10+00:00,2,45,¿Mano de obra regalada? Cualquiera podría sospechar que son los propios empresarios italianos los que financian ese viaje de los inmigrantes por el Mediterráneo.
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821036,14,12.0,parrita710,2015-05-07T18:30:57+00:00,1,22,#12 Ayer estaba muy comic sans.
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821026,13,9.0,thatguy,2015-05-07T18:29:46+00:00,0,10,"#9 El de los payasos es el americano, aunque esté en Italia."
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821024,12,11.0,rogerius,2015-05-07T18:29:32+00:00,1,24,#11 Estás itálico esta tarde —o cursivo.
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821017,11,10.0,parrita710,2015-05-07T18:28:26+00:00,0,8,#10 Ay virgencita que me quede como estoy
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821008,10,8.0,rogerius,2015-05-07T18:27:21+00:00,0,14,#8 No nos caerá esa breva —que no hagan nada lo políticos. Igual así…
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821004,9,5.0,parrita710,2015-05-07T18:26:13+00:00,0,8,#5 El parlamento tiene todas las sillas pilladas.
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821001,8,3.0,parrita710,2015-05-07T18:25:39+00:00,0,8,"#3 Eso, eso —sin hacer nada, sólo nacionales políticos."
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16821000,7,,--330392--,2015-05-07T18:25:33+00:00,1,19,"Rajoy, ya sé como bajar la cifra del paro!"
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16820993,6,2.0,rogerius,2015-05-07T18:24:16+00:00,1,34,"#2 Así es como es ahora. Un progresista, el ministro."
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16820991,5,,thatguy,2015-05-07T18:23:56+00:00,2,42,¿Para qué trabajar cuando te puedes ganar la vida en el circo romano?
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16820990,4,,--474791--,2015-05-07T18:23:41+00:00,9,103,"Y porque no tiene cojones de decir lo mismo de los italianos en paro, pero seguro que también lo piensa."
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16820989,3,,rogerius,2015-05-07T18:23:38+00:00,0,14,"Eso, eso —sin hacer nada, sólo nacionales."
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16820978,2,,ﻞαʋιҽɾαẞ,2015-05-07T18:22:38+00:00,32,337,¿Cómo que gratis? Que paguen por trabajar.
inmigracion,https://www.meneame.net/story/ministro-interior-italiano-propone-inmigrantes-trabajen-gratis,2406212,16820976,1,,--479030--,2015-05-07T18:22:23+00:00,2,31,{lol} una buena manera para que no quieran emigrar
