tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27288188,17,,Bombtrack,2019-06-27T02:49:18+00:00,0,9,"como se orinan en la boca de ortega smith
 jajajajajajajajajajajaa"
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27273680,16,15.0,einyel21,2019-06-25T06:50:38+00:00,0,6,#15 Ay amigo! me vas entendiendo...
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27273666,15,14.0,--547085--,2019-06-25T06:48:48+00:00,0,7,"#14 Bueno, Abascal tiene un pase, la Leticia asusta al miedo {lol}"
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27273654,14,7.0,einyel21,2019-06-25T06:46:51+00:00,1,13,"#7 Es ironía, hombre. Me refiero a que ponernos esa imagen mientras estamos de fiesta es una agresión imperdonable. Tú imagínate que en mitad de la celebración del mundial hubiésemos puesto a Leticia Sabater en pelotas, habría sido un atentado."
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27270630,13,1.0,Shotokax,2019-06-24T16:26:35+00:00,0,12,"#1 muy fácil: ahora Almeida va a ser ""el rojo del PP"" y Vox va a ganar unos cuantos votos del PP con esto. {troll}"
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27270611,12,11.0,--546793--,2019-06-24T16:23:21+00:00,0,19,#11 Yo pongo el mandingo.
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27269172,11,6.0,x.y.z,2019-06-24T13:22:15+00:00,0,20,"#6 No creas, más de uno y de dos se lo petaban (si se dejara)"
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27269123,10,,tusitala,2019-06-24T13:18:34+00:00,0,11,Cómo no quite Madrid central hasta me va a caer bien Austin Powers.
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27269107,9,7.0,tusitala,2019-06-24T13:16:48+00:00,1,19,#7 Creo que era una broma.
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27269053,8,,--613053--,2019-06-24T13:10:39+00:00,8,22,Cómo jode a la izquierda el no poder politizar el día del orgullo con el nuevo alcalde
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27268992,7,6.0,--547085--,2019-06-24T13:03:56+00:00,0,7,"#6 Disculpa, ¿Qué tiene de homófobo el comentario?"
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27268890,6,2.0,einyel21,2019-06-24T12:49:33+00:00,5,49,#2 No jodas. Premio al comentario homófobo del año. Cómo agredir a un millón de maricones de un solo golpe: matándoles del asco.
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27268707,5,,Noeschachi,2019-06-24T12:22:10+00:00,0,12,"Echarse para atrás con Madrid central, ahora con lo de putear al Orgullo... Almeida es un infiltrado de Carmena!"
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27268625,4,,tiopio,2019-06-24T12:11:33+00:00,2,26,"Y los voxemitas se la tragarán doblada, porque son la ultraderechita cobarde."
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27268578,3,,Angelusiones,2019-06-24T12:07:36+00:00,1,28,Buena jugada. Este es de los de una de cal y otra de arena. Y mientras todos contentos los sobres pa'dentro. {clap}
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27268556,2,,--547085--,2019-06-24T12:05:37+00:00,2,38,"Que cuelgue a Abascal también, en calzoncillos"
lgtbi,https://www.meneame.net/story/almeida-desoye-vox-colgara-bandera-lgtbi-ayuntamiento-durante,3146604,27268541,1,,kumo,2019-06-24T12:04:38+00:00,0,14,A ver cómo gestionan esto los meneantes {popcorn}
