tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/comunidades-autonomas-aceptan-reparto-360-menores-migrantes,3864484,39462080,24,,Procurador,2023-10-13T10:32:29+00:00,0,10,360 que se le han pegado al estado (familiares aparte) ... efecto llamada para 360 mil más.
inmigracion,https://www.meneame.net/story/comunidades-autonomas-aceptan-reparto-360-menores-migrantes,3864484,39455602,23,18.0,omega7767,2023-10-12T09:53:21+00:00,0,15,"#18 pues la verdad es q es un tema complicado, encontrar el equilibrio entre mantener los derechos humanos y defender las fronteras.

En Reino Unido la actual ministra q aprobó la ley de enviar a los emigrantes ilegales a Ruanda es la misma q ahora sale q no se puede sacar banderas palestinas ni cualquier apoyo a palestina pq es una ofensa para Israel....es una mierda de persona. 

Creo recordar q esa ley fue bloqueda por la justicia por ser ilegal. La ministra dijo q le daba igual la justicia y q iba a seguir adelante. Una cosa de locos. 

Yo desde luego, a cualquier inmigrante q comete un delito serio o multiples delitos leves, los deportaba a su pais y prohibición de entrar de nuevo."
inmigracion,https://www.meneame.net/story/comunidades-autonomas-aceptan-reparto-360-menores-migrantes,3864484,39454388,22,4.0,solomonovolumen,2023-10-12T05:01:47+00:00,0,9,"#4 Si vienen de la calle y quieren entrar por la fuerza a tu casa, los echas a la calle, de donde vinieron. De vuelta al mar en la misma dirección .."
inmigracion,https://www.meneame.net/story/comunidades-autonomas-aceptan-reparto-360-menores-migrantes,3864484,39452612,21,20.0,Kaikai,2023-10-11T18:01:32+00:00,0,6,"#20 esa es otra hostoria que da para un par de cafés. Pero lanzar el mensaje de ""si un menor llega en patera se convierte en español"" es decir ""vosotros mandad niños a través de mafias, a la mitad se los comerán, literalmente, los tiliburones, y la otra mitad se convertirá en europeo."" Eso no es de humanitario, es de HJP."
inmigracion,https://www.meneame.net/story/comunidades-autonomas-aceptan-reparto-360-menores-migrantes,3864484,39452596,20,19.0,imaginateca,2023-10-11T17:58:36+00:00,0,10,"#19 Sin documentación no los repatrías. Ni a Marruecos, ni a ningún sitio."
inmigracion,https://www.meneame.net/story/comunidades-autonomas-aceptan-reparto-360-menores-migrantes,3864484,39452579,19,4.0,Kaikai,2023-10-11T17:56:16+00:00,1,15,"#4 ya te lo digo yo, del país del que partieron, que en 99'9% de los casos es Marruecos. Y eso por dejar un margen de error. Tú tócales la moneda y verás como controlan las pateras que salen de su territorio."
inmigracion,https://www.meneame.net/story/comunidades-autonomas-aceptan-reparto-360-menores-migrantes,3864484,39452548,18,9.0,--732633--,2023-10-11T17:49:48+00:00,0,6,#9 Entonces ¿Cómo defiende un país como España sus fronteras?¿Debe aceptar sin más que entre gente impunemente?
inmigracion,https://www.meneame.net/story/comunidades-autonomas-aceptan-reparto-360-menores-migrantes,3864484,39452493,17,13.0,Garbns,2023-10-11T17:40:42+00:00,0,10,"#13 infrafinanciación, la guardia civil tiene/tenía varias patrulleras en senegal, gambia y mauritania precisamente para interceptarlos, con el paso de los años ya solo quedaba 1 patrullera operativa en puerto sin tripulación completa"
inmigracion,https://www.meneame.net/story/comunidades-autonomas-aceptan-reparto-360-menores-migrantes,3864484,39452489,16,3.0,Garbns,2023-10-11T17:39:28+00:00,0,10,"#3 han llegado 20 mil a Canarias en lo que va de año, ¿qué hacemos? ¿ los metemos a todos en el hierro que de población autóctona serán unos 12 mil? La llegada de inmigrantes a El Hierro en cinco meses y medio (desde mayo) equivale prácticamente al 50 % de su población, que es de 11.154 habitantes; con un pico de rescates en solo once días, 2.779 personas, que representa el 25 % de su censo de residentes."
inmigracion,https://www.meneame.net/story/comunidades-autonomas-aceptan-reparto-360-menores-migrantes,3864484,39452062,15,7.0,oceanon3d,2023-10-11T16:26:18+00:00,0,9,#7 Ni lo va a hacer... eso supondría plasmar algo de logica
