tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/pues-tanto-gustan-inmigrantes-metelos-tu-casa-ellos-ya-han-hecho,2477158,17696381,35,34.0,--152893--,2015-09-13T13:45:57+00:00,0,18,"#34 Lo que me parece un escandalo es que yo me preocupe más por lo que ocurre en Siria, cuando aqui tenemos a gente comiendo de la basura.

 El origen de cada problema me da igual.   Hay gente que por razones sobrevenidas, por la crisis y no por ser perroflautas que por el hecho de nacer quieren que les regalen todo, tienen un problema y el Estado debe de buscar recursos de debajo de las piedras para ayudarlos.    Sin embargo, como resulta que ahora esto es un problema para Alemania pués resulta que tenemos que hocicar.

 Y luego aqui tenemos un problema con el Mediterraneo desde hace 30 años y resulta que antes nos decían que es un problema de España.

Es que los españoles somos muy tontos y nos la dan con queso.   Luego se supone que somos los ""picaros"" de Europa."
inmigracion,https://www.meneame.net/story/pues-tanto-gustan-inmigrantes-metelos-tu-casa-ellos-ya-han-hecho,2477158,17696293,34,33.0,eipoc,2015-09-13T13:31:50+00:00,0,7,"#33 Si dices que te importan los demás, por qué te importa mas que yo no busque en las basuras en lugar de que no le bombardeen a una familia entera siria. Corrígeme si me equivoco, pero me da que es por interés.

Y al margen de que me parezca mejor o peor, no crees que si se focaliza en el origen del verdadero problema en lugar de en los afectados se consiguirían mas cosas."
inmigracion,https://www.meneame.net/story/pues-tanto-gustan-inmigrantes-metelos-tu-casa-ellos-ya-han-hecho,2477158,17696190,33,32.0,--152893--,2015-09-13T13:09:40+00:00,0,18,"#32 ¿Quien te ha dicho que no me importan los demás? Yo soy un ser humano, como el resto de los que andamos por aqui.

Otra cosa bien distinta es que diga que ante la crisis humanitaria de Siria no me involucraría.   No me involucraría porque antes de preocuparme por los problemas de los demás paises pienso en los que pagamos impuestos aquí, en nuestros abuelos buscando comida en la basura, por ejemplo.

 Algunos se creen con superioridad moral porque creen que con un discurso ideológico van a salvar al mundo.    Los que de verdad se preocupan, los que están en el ajo, no entienden de discursos ideológicos porque tienen un problema eminentemente práctico."
inmigracion,https://www.meneame.net/story/pues-tanto-gustan-inmigrantes-metelos-tu-casa-ellos-ya-han-hecho,2477158,17696036,32,31.0,eipoc,2015-09-13T12:44:29+00:00,0,7,#31 ¿De repente te importan los demás? Algo de coherencia te vendría bien.
inmigracion,https://www.meneame.net/story/pues-tanto-gustan-inmigrantes-metelos-tu-casa-ellos-ya-han-hecho,2477158,17695993,31,30.0,--152893--,2015-09-13T12:34:57+00:00,0,18,"#30 ¿Ahora me tratas de usted? ¿que intentas aparentar ahora? ¿no puedes ser tu mismo?

Te lo digo con toda la buena intención del mundo.    Me gustaría saber que piensas tú.   Las soflamitas ya estamos todos cansados de escucharlas, de verdad.

Habla por ti, di lo que piensas y en lo que crees.   No te limites a repetir como un papagayo.   Seguro que tienes cosas que decir y que aportar."
inmigracion,https://www.meneame.net/story/pues-tanto-gustan-inmigrantes-metelos-tu-casa-ellos-ya-han-hecho,2477158,17695945,30,29.0,eipoc,2015-09-13T12:25:31+00:00,0,7,"#29 Además es sordo.
Personalidad, al margen de lo que usted interpreta pese a la aclaración, demuestra usted tener bastante menos, que no quiere ver mas allá de sus párpados."
inmigracion,https://www.meneame.net/story/pues-tanto-gustan-inmigrantes-metelos-tu-casa-ellos-ya-han-hecho,2477158,17695894,29,28.0,--152893--,2015-09-13T12:15:55+00:00,0,18,"#28 Las palabras no tienen dueño, pero repetir consignas y soflamas como un zombi tiene otra palabra, que es descerebrao.

Puedes compartir ideas, que es una cosa distinta, pero hay que tener muy poquita personalidad para repartir soflamitas a estas alturas."
inmigracion,https://www.meneame.net/story/pues-tanto-gustan-inmigrantes-metelos-tu-casa-ellos-ya-han-hecho,2477158,17695801,28,27.0,eipoc,2015-09-13T12:01:23+00:00,0,7,"#27 No sabía que las palabras tuviera dueño, ni que se le asocia a este señor y que además no se pueden usar en otro contexto y con otra intención.
Pero vamos mas allá de este estúpido debate, se ve que tienes miedo. No pasa nada, pero lo cierto es que te dan miedo las personas que huyen de que les caigan bombas en la cabeza.

Si te paras solo un instante y piensas en que te encuentras en la misma situación ¿qué decisión tomarías? Yo te digo que si de entrada te da miedo esta gente que no ha tenido mas remedio que irse de sus casas, tu no tienes el valor suficiente para enfrentarte a una lluvia de misiles, ametralladoras y francotiradores para luchar por cambiar las cosas."
inmigracion,https://www.meneame.net/story/pues-tanto-gustan-inmigrantes-metelos-tu-casa-ellos-ya-han-hecho,2477158,17695621,27,24.0,--152893--,2015-09-13T11:33:17+00:00,0,18,"#24 La chorrada del ""hueles a miedo"".   No es un argumento si no una perroflautada sacada de la boca de Pablo Iglesias.

Es como las tonterias del ""Tic, Tac"" o el ""Pim, Pam, propuesta""."
inmigracion,https://www.meneame.net/story/pues-tanto-gustan-inmigrantes-metelos-tu-casa-ellos-ya-han-hecho,2477158,17695613,26,25.0,--152893--,2015-09-13T11:31:59+00:00,0,18,#25 {palm}
