tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/comunidad-madrid-abre-investigacion-sobre-terapias-curar-alcal,3107008,26717396,10,,--587910--,2019-04-02T22:51:16+00:00,0,6,"Lo de este obispo no es una simple opinión sobre la homosexualidad. Es un tipo absolutamente obsesionado con el tema, un activista de una cruzada personal. Muy probablemente es el típico homosexual incapaz de aceptar su condición, casos similares los hay y ha habido a montones."
lgtbi,https://www.meneame.net/story/comunidad-madrid-abre-investigacion-sobre-terapias-curar-alcal,3107008,26716349,9,6.0,suzudo,2019-04-02T19:41:05+00:00,0,7,"#6 ¿acaso la homosexualidad es dañina? y dicen que la tendencia no es el mal sino caer en el pecado de acto o de mente... (en realidad Pablo de Tarso  pone a los afeminados y los que tienen sexo con el mismo sexo entre los criminales como los asesinos... En el AT exige la muerte de los mismos) pero bueno, se ha suavizado por los tiempos y dicen que es caer en el pecado de hecho o de pensamiento no la tendencia (en realidad la tendencia es totalmente natural y tiene su función etc) bueno... ¿por esa misma de regla de tres no se podría decir que la tendencia a la religiosidad no es pecado que no está mal pero practicar la religión de hecho o pensamiento sí es pecado?
Se pondrían las manos en la cabeza pero es exactamente su mismo juicio y mismo trato dispensado por ellos al dedillo"
lgtbi,https://www.meneame.net/story/comunidad-madrid-abre-investigacion-sobre-terapias-curar-alcal,3107008,26715086,8,7.0,--603171--,2019-04-02T16:09:59+00:00,1,17,"#7 La educación y el entorno pueden modelar al ser humano hasta cierto punto, pero por supuesto tiene sus límites. Los sistemas totalitarios religiosos como las teocracias o políticos como las dictaduras invierten muchos recursos en ""desviar"" al ser humano hacia el modelo de ser humano ideal que fija la doctrina oficial deseada por ese poder absoluto. Pero claro, en cuanto la fuerza coercitiva que presiona a la sociedad desaparece, (y siempre termina desapareciendo tarde o temprano), una parte importante de las personas rápidamente abandona la línea marcada y vuelve a su estado natural. El mejor sistema político es aquel que asume las características más elementales del ser humano y desarrolla políticas que no colisionen directamente con todas ellas. 

Por ejemplo, no se puede pretender que funcione un sistema donde se espere que el cien por cien de la gente sea altruista. O que el cien por cien sea hetero. O que el cien por cien sea tolerante. Se debe aceptar a los seres humanos como son, con sus cualidades y efectos."
lgtbi,https://www.meneame.net/story/comunidad-madrid-abre-investigacion-sobre-terapias-curar-alcal,3107008,26713342,7,1.0,--334312--,2019-04-02T12:42:59+00:00,2,10,"#1 Eso es cierto, pero choca con ideologías absurdas y locas de hoy en día.

Ahora se cree que la realidad es un constructo social mágico y que se puede cambiar a voluntad. Si se acepta eso, mi género puede ser el de helicóptero apache, y la orientación sexual también puede ser cambiada (como quieren los curas). Ese absurdo del constructo social le da la razón a los curas.

Aceptamos lo de que la realidad es un constructo social (y los curas tienen razón), o rechazamos las dos cosas, pero no se puede apoyar uno y rechazar el otro (al menos con la razón y la lógica), que en el mundo de la fantasía y la piruleta todo es válido.

La realidad está definida por la física y no por las ideologías de las ""ciencias"" sociales.. Ideología no es ciencia, son solo chorradas."
lgtbi,https://www.meneame.net/story/comunidad-madrid-abre-investigacion-sobre-terapias-curar-alcal,3107008,26713172,6,,Kikofoliux,2019-04-02T12:25:08+00:00,1,14,Lo que es una enfermedad es la religión . No hay nada más dañino que ultracatólico.
lgtbi,https://www.meneame.net/story/comunidad-madrid-abre-investigacion-sobre-terapias-curar-alcal,3107008,26712265,5,,--600098--,2019-04-02T10:27:49+00:00,0,6,"A ver cuando dejamos de considerar mis porritos un ""atentado contra la salud"". 

Todo lo que no sea dar por culo a los niños o violar monjas es una "" enfermedad ""."
lgtbi,https://www.meneame.net/story/comunidad-madrid-abre-investigacion-sobre-terapias-curar-alcal,3107008,26712192,4,,--555900--,2019-04-02T10:18:22+00:00,0,9,Mejor se dedicaran a intentar curar la pedofilia...
lgtbi,https://www.meneame.net/story/comunidad-madrid-abre-investigacion-sobre-terapias-curar-alcal,3107008,26712157,3,2.0,--603171--,2019-04-02T10:14:10+00:00,2,27,"#2 Evidentemente ni los obispos ni los feministas de nueva ola tienen razón. Eso es lo paradójico de este debate, que esos dos colectivos coinciden en su análisis."
lgtbi,https://www.meneame.net/story/comunidad-madrid-abre-investigacion-sobre-terapias-curar-alcal,3107008,26712137,2,1.0,Pinchuski,2019-04-02T10:11:33+00:00,4,42,"#1 Pero sólo para discutir con curas. Cuando hablas de feminismo, el género es un constructo social. En ese caso cada uno ya podemos elegir género con libertad y de forma no permanente."
lgtbi,https://www.meneame.net/story/comunidad-madrid-abre-investigacion-sobre-terapias-curar-alcal,3107008,26712078,1,,--603171--,2019-04-02T10:04:22+00:00,2,27,La orientación sexual está condicionado al nacer. Ni la heterosexualidad ni la homosexualidad se pueden inducir con la cultura.
