tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/mueren-unos-40-inmigrantes-nuevo-naufragio-mediterraneo,2451538,17374692,13,2.0,IvanDrago,2015-07-24T10:51:36+00:00,0,13,#2 Ojalá tengas que ser refugiado algún día... quizás así llegues a ser persona.
inmigracion,https://www.meneame.net/story/mueren-unos-40-inmigrantes-nuevo-naufragio-mediterraneo,2451538,17374688,12,10.0,IvanDrago,2015-07-24T10:50:55+00:00,1,22,"#10 No, ni de coña #1 chapó por echarle huevos."
inmigracion,https://www.meneame.net/story/mueren-unos-40-inmigrantes-nuevo-naufragio-mediterraneo,2451538,17373937,11,7.0,dphi0pn,2015-07-24T09:15:15+00:00,0,7,"#7 - Eran inmigrantes ilegales!!!
 - A bueno ... {professor}"
inmigracion,https://www.meneame.net/story/mueren-unos-40-inmigrantes-nuevo-naufragio-mediterraneo,2451538,17372699,10,1.0,cuestionador,2015-07-24T05:03:08+00:00,0,9,#1 Uy quizás tenía que haber sido más explícito diciendo que era irónico...
inmigracion,https://www.meneame.net/story/mueren-unos-40-inmigrantes-nuevo-naufragio-mediterraneo,2451538,17372038,9,8.0,periko62,2015-07-23T22:06:47+00:00,0,9,"#8 jeje, bien visto."
inmigracion,https://www.meneame.net/story/mueren-unos-40-inmigrantes-nuevo-naufragio-mediterraneo,2451538,17372027,8,7.0,--486213--,2015-07-23T22:04:22+00:00,0,7,"#7 Ese puta era muy patriarcal y por eso lo has editado, ¿no?"
inmigracion,https://www.meneame.net/story/mueren-unos-40-inmigrantes-nuevo-naufragio-mediterraneo,2451538,17372000,7,6.0,periko62,2015-07-23T21:58:56+00:00,3,34,"#6 Gilipollas tu  madre, a veces queréis ser tan fachas que parecéis idiotas.
Intentaba justificar mi opinión en el sentido que la condición de ser humano está por encima de otras accesorias como inmigrante, madridista o taxidermista. La tragedia es que fallecen personas, y en ocasiones se ponen en los titulares ""ilegales"" ""clandestinos""... 
Si quieres insultarme por eso, pues bueno... todos podemos jugar a eso. Qui pases buen día."
inmigracion,https://www.meneame.net/story/mueren-unos-40-inmigrantes-nuevo-naufragio-mediterraneo,2451538,17371922,6,4.0,--486213--,2015-07-23T21:44:02+00:00,6,-2,"#4 No, no sobra. Han muerto mientras emigraban. No han muerto haciendo un Ironman ni se han caído de su yate en vacaciones.

A veces queréis ser tan progres que parecéis gilipollas."
inmigracion,https://www.meneame.net/story/mueren-unos-40-inmigrantes-nuevo-naufragio-mediterraneo,2451538,17371880,5,4.0,Viner,2015-07-23T21:36:22+00:00,1,12,"#4 Es cierto, he copiado el titular sin darme cuenta de ello. {confused}"
inmigracion,https://www.meneame.net/story/mueren-unos-40-inmigrantes-nuevo-naufragio-mediterraneo,2451538,17371823,4,,periko62,2015-07-23T21:25:46+00:00,5,48,"Ya he comentado esto en varias ocasiones: Mueren 40 personas , lo de inmigrante sobra."
inmigracion,https://www.meneame.net/story/mueren-unos-40-inmigrantes-nuevo-naufragio-mediterraneo,2451538,17371605,3,,--424445--,2015-07-23T20:47:16+00:00,1,28,"Pero son humanos de segunda, así que va a tener poca repercusión.

{shame}"
inmigracion,https://www.meneame.net/story/mueren-unos-40-inmigrantes-nuevo-naufragio-mediterraneo,2451538,17371566,2,,--486213--,2015-07-23T20:40:01+00:00,8,-31,Eso que nos ahorramos.
inmigracion,https://www.meneame.net/story/mueren-unos-40-inmigrantes-nuevo-naufragio-mediterraneo,2451538,17371539,1,,cuestionador,2015-07-23T20:32:26+00:00,3,12,Ufff qué susto creía que era un crucero.
