tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/obispado-alcala-celebra-cursos-ilegales-clandestinos-curar,3106846,26734217,12,,INEEDMONEY,2019-04-05T11:35:17+00:00,0,6,"¿que diferencia a esos curas diciendo que la homosexualidad esta mal con beatriz gimeno diciendo lo mismo de la heterosexualidad?
https://www.youtube.com/watch?v=O0NNnIyJ7PQ

¿que diferencia hay entre la conferencia episcopal hablando de la influencia homosexual en cualquier ambito (por ejemplo la escuela) y un sindicato mayoritario que habla de desheterosexualizar la escuela?
http://www.te-feccoo.es/2018/02/15/breve-decalogo-de-ideas-para-una-escuela-feminista/

¿porque se puede(y se debe) criticar el sexismo  de lo que dice rouco varela y no se puede con lo que dice irantxu varela?
www.youtube.com/watch?v=ndxjb5Ig1Ws

yo critico a la iglesia por meterse en la sexualidad de la gente ya que considero que nadie deberia meterse en como deben relacionarse sexual y afectivamente cualquiera de mutuo acuerdo y en pleno uso de razon; y me preocupa ver que mientras que se critica a la iglesia por querer manipular  la sexualidad de la gente(con razon) no se hace lo mismo cuando esta manipulacion se hace otros ambitos como por ejemplo partidos politicos ""sindicatos"" y colectivos ""feministas""(hembristas mas bien viendo lo que defienden) ¿porque a unos si y a otros no cuando se deberia criticar a ambos?"
lgtbi,https://www.meneame.net/story/obispado-alcala-celebra-cursos-ilegales-clandestinos-curar,3106846,26733548,11,9.0,Larb,2019-04-05T10:22:12+00:00,0,6,"#9 Es que la heterosexualidad no es lo único que existe. No creo que afirmar eso sea algo tan radical. Y mucho menos que enseñar que ""la heterosexualidad no es lo único que existe"", sea comparable en absoluto a ""si eres homosexual te tienen que arreglar"", que es precisamente un sub producto de tener la heterosexualidad cómo única opción viable cuándo la realidad del ser humano es muy distinta."
lgtbi,https://www.meneame.net/story/obispado-alcala-celebra-cursos-ilegales-clandestinos-curar,3106846,26718174,10,,mmlv,2019-04-03T06:59:42+00:00,0,13,"Si alguien se atreviera a organizar cursos para curar el ""catolicismo"" acabaría entre rejas por delito de odio y ofensa a la religión católica."
lgtbi,https://www.meneame.net/story/obispado-alcala-celebra-cursos-ilegales-clandestinos-curar,3106846,26715010,9,2.0,INEEDMONEY,2019-04-02T15:57:45+00:00,1,5,"#2 no tienes mas que buscar heteronormatividad y comprobar por ti mismo si es cierto o no lo que digo pero por si acaso te dejo unos links de ejemplos concretos:
http://www.qfem.es/post/15240/que-es-la-heteronormatividad
https://sentiido.com/la-obligacion-de-ser-heterosexual/
https://www.palcaide.com/heteronormatividad-heterosexual-se-demuestre-lo-contrario/
aqui un ejemplo en el decalogo del 8 m del año pasado(que tambien se las trae) el punto 10 lo dice bien clarito
http://www.te-feccoo.es/2018/02/15/breve-decalogo-de-ideas-para-una-escuela-feminista/
irantxu varela diciendolo claramente
https://www.youtube.com/watch?v=ndxjb5Ig1Ws
y como estos hay mil ejemplos mas, a mi me molesta lo mismo que la iglesia se quiera meter en la sexualidd de la gente como que los sjw quieran hacer lo mismo, es el meterse con la sexualidad de la getne lo que me molesta, pero si vamos a permitir una cosa deberiamos permitir tambien la otra, no es tan dificil ser consecuente con lo que uno defiende y mucha gente que critica a la iglesia por esto luego hace exactamente lo mismo demostrando asi su hipocresia."
lgtbi,https://www.meneame.net/story/obispado-alcala-celebra-cursos-ilegales-clandestinos-curar,3106846,26714653,8,,Brill,2019-04-02T15:14:33+00:00,0,10,"Si dependiera de mí, tendrían que decidir entre sus supuestos ""principios"" y recibir dinero público. A ver lo que tardaban en dar un giro de 180º."
lgtbi,https://www.meneame.net/story/obispado-alcala-celebra-cursos-ilegales-clandestinos-curar,3106846,26711480,7,,--325390--,2019-04-02T08:52:55+00:00,1,6,"Mientras respeten a terceros que no se ofrezcan a eso y respeten al resto de homosexuales, y a su orientación, por mí como si celebran año nuevo metiéndose un paraguas por el culo"
lgtbi,https://www.meneame.net/story/obispado-alcala-celebra-cursos-ilegales-clandestinos-curar,3106846,26711290,6,5.0,--603113--,2019-04-02T08:26:35+00:00,2,28,"#5 eldiario.es ha comprobado en primera persona que tanto el contenido de los materiales enviados por correo como la primera sesión de pseudoterapia (impartida por una persona sin formación) están enfocados a que la persona deje de ser homosexual, algo que los expertos del Consejo General de la Psicología de España consideran anticientífico y peligroso, ""porque suelen derivar en problemas de ansiedad, depresión y suicidio"" La religión, ese mal en estado puro.

Estos son los que luego deciden qué avances médicos se pueden o no aplicar en España."
lgtbi,https://www.meneame.net/story/obispado-alcala-celebra-cursos-ilegales-clandestinos-curar,3106846,26711230,5,,--603113--,2019-04-02T08:19:02+00:00,0,12,"Pues eso mismo; deberían ellos mismos montarse algún cursillo para curarse otras desviaciones sexuales poco ejemplares como la pedofilia o el voto de castidad. Además de ser poco ejemplares son una amenaza para la supervivencia de la especie. Además también deberían darse un curso para darse un poco de tolerancia, de respeto y de benevolencia hacia la condición sexual ajena. Que no todo va a ser carne infantil, cerebro infantil y dinero público. La orgía permanente que se la paguen ellos y no la practiquen con niños.

Por si queríais otro ejemplo de que la religión es un delito."
lgtbi,https://www.meneame.net/story/obispado-alcala-celebra-cursos-ilegales-clandestinos-curar,3106846,26711018,4,,mefistófeles,2019-04-02T07:48:39+00:00,0,12,"Los colectivos homosexuales debería hacer cursos para sacar a la juventud de los seminarios y curarles de esas creencias.

Sería una trolleada magnífica publicitar cursos/jornadas de ese tipo."
lgtbi,https://www.meneame.net/story/obispado-alcala-celebra-cursos-ilegales-clandestinos-curar,3106846,26710471,3,,Urasandi,2019-04-02T06:01:05+00:00,1,16,Como ellos mismos sean sus mejores clientes...
lgtbi,https://www.meneame.net/story/obispado-alcala-celebra-cursos-ilegales-clandestinos-curar,3106846,26710317,2,1.0,--560534--,2019-04-02T04:42:08+00:00,0,9,#1 Eso es una invención tuya. Lo cierto es que hoy día solo te dejan cruzar la acera en un sentido.
lgtbi,https://www.meneame.net/story/obispado-alcala-celebra-cursos-ilegales-clandestinos-curar,3106846,26710308,1,,INEEDMONEY,2019-04-02T04:34:04+00:00,7,-17,"¿que la iglesia se mete en la sexualidad de la gente?¿saben esto en las asociaciones feministas o todavia estan muy ocupadas contandonos que todos somos en realidad bisexsuales y que la heterosexualidad es un constructo social?

consejos vendo que para mi no tengo"
