tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/provincias-mas-inmigrantes-son-mas-crecen-logran-mayor-renta,3122350,26929371,26,24.0,--9781--,2019-05-04T10:41:44+00:00,0,10,"#24 Los grandes solo explotan en India o China o es a través de subcontratas.

Actúan como los grandes narcos, ellos no dan la orden directa por si les salpica."
inmigracion,https://www.meneame.net/story/provincias-mas-inmigrantes-son-mas-crecen-logran-mayor-renta,3122350,26929363,25,24.0,--9781--,2019-05-04T10:39:40+00:00,2,25,"#24 Pero si en ejido que tiene la mayoría vox , los ricos son más ricos por que se forran explotando.

El tema es que los españoles no tragan con los trabajos de mierda con salarios de mierda y llegan otros y los hacen.

Y el problema más grave es que tenemos una administración publica ineficaz que no se preocupa de destapar a los explotadores."
inmigracion,https://www.meneame.net/story/provincias-mas-inmigrantes-son-mas-crecen-logran-mayor-renta,3122350,26929341,24,23.0,ipanies,2019-05-04T10:34:02+00:00,0,12,"#23 Pero extrañamente nadie nombra estos grandes empresarios cuando se habla de que los inmigrantes tiran los salarios. Al final lo de siempre, su patria es el dinero."
inmigracion,https://www.meneame.net/story/provincias-mas-inmigrantes-son-mas-crecen-logran-mayor-renta,3122350,26929334,23,22.0,--9781--,2019-05-04T10:32:26+00:00,0,10,"#22 Y son los que se enriquecen, sin pagar impuestos. Es lo peor para todos."
inmigracion,https://www.meneame.net/story/provincias-mas-inmigrantes-son-mas-crecen-logran-mayor-renta,3122350,26929317,22,21.0,ipanies,2019-05-04T10:28:31+00:00,0,12,"#21 Cierto, pero si alguien cobra en B es por que alguien paga en B."
inmigracion,https://www.meneame.net/story/provincias-mas-inmigrantes-son-mas-crecen-logran-mayor-renta,3122350,26929278,21,18.0,--9781--,2019-05-04T10:21:20+00:00,0,10,#18 Pero igual los inmigrantes que los parados que están cobrando del subsidio y siguen trabajando en B.
inmigracion,https://www.meneame.net/story/provincias-mas-inmigrantes-son-mas-crecen-logran-mayor-renta,3122350,26929254,20,13.0,wachington,2019-05-04T10:16:43+00:00,1,21,"#13 Eso venía a decir, sólo se puede ver un trozo.
Ya sabe, aquí se lleva lo de votar y comentar sin leer la noticia."
inmigracion,https://www.meneame.net/story/provincias-mas-inmigrantes-son-mas-crecen-logran-mayor-renta,3122350,26929253,19,17.0,--9781--,2019-05-04T10:16:24+00:00,2,21,"#17 Si todo lo legal e ilegal a un lado me refiero a que no tiene nada que ver que una provincia tenga mas renta a que la media de la gente cobre más.

Con 4 Amancio Ortega que te registren en Soria seria la mejor provincia de España y la gente no mejoraría sus rentas."
inmigracion,https://www.meneame.net/story/provincias-mas-inmigrantes-son-mas-crecen-logran-mayor-renta,3122350,26929234,18,11.0,ipanies,2019-05-04T10:11:51+00:00,0,12,#11 ¿Los inmigrantes bajan los salarios o lo bajan los empresarios ESPAÑOLES que contratan en B a esas personas? A ver si es que ahora los inmigrantes son los que negocian cobrar en B {lol}
inmigracion,https://www.meneame.net/story/provincias-mas-inmigrantes-son-mas-crecen-logran-mayor-renta,3122350,26929222,17,11.0,--574092--,2019-05-04T10:09:37+00:00,0,8,"#11 deberíamos tener claro que:
1) los salarios los bajan los empresarios, no los inmigrantes.
2) que una empresa pague en B es ilegal, sea a quien sea que esté pagando."
