tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358950,15,4.0,--606964--,2019-11-29T09:23:18+00:00,0,7,#4 ¿Como Abascal?
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358695,14,,BanThis,2019-11-29T08:39:11+00:00,0,8,Era también influencer y fue un precursor del instagram con sus retratos y algún que otro posado en cueros.
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358635,13,,--610366--,2019-11-29T08:26:57+00:00,1,13,A todo lo que ya se ha dicho hay que añadir que era catalán...
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358609,12,1.0,abantos,2019-11-29T08:23:08+00:00,0,9,"#1 Rojo no sé, pero algo peor sí: pelirrojo"
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358566,11,,Pinchuski,2019-11-29T08:15:10+00:00,1,18,"Y se convirtió en el exégeta de un arte emergente, no ya por la plasticidad del acontecimiento y por la dialéctica irresistible del erotismo y la muerte, sino porque la noción decimonónica del arte tanto aludía a la dimensión de la estética como involucraba prosaicamente el conjunto de reglas para llegar a un fin. En general buen artículo. En particular esta perla m'a llegao."
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358562,10,,--622212--,2019-11-29T08:14:24+00:00,0,8,En su domiciío se hallaron varios discos de Vetusta Morla y Sidonie. {tongue}
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358555,9,6.0,--622212--,2019-11-29T08:13:45+00:00,0,8,#6 ¿Y no te da una idea la escasísima viabilidad de sus retoños? {troll}
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358536,8,,--614876--,2019-11-29T08:08:44+00:00,0,19,era de vox no te jode
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358513,7,,--38321--,2019-11-29T08:04:54+00:00,0,14,Y se solazaba con tonadas de Melendi y de unos sones venidos de las colonias de Puerto Rico  a la par que portaba collares de oro con el símbolo del peso de un tamaño desazonador.
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358481,6,,Cougar_81,2019-11-29T07:59:16+00:00,1,20,"Pues Goya para ser homosexual preñó 20 veces a su señora, 14 abortos y 6 nacidos vivos (aunque sólo sobrevivió uno)"
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358446,5,4.0,Feindesland,2019-11-29T07:53:20+00:00,3,56,"#4 Hostia, no... Eso no....

{lol} {lol} {lol}"
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358444,4,,--561105--,2019-11-29T07:52:51+00:00,5,73,"y, si me apuras, hasta runner."
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358415,3,,Catacroc,2019-11-29T07:47:32+00:00,1,20,"Y Otaku, seguro."
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358412,2,,--625066--,2019-11-29T07:47:23+00:00,0,9,"Rojo, perroflauta, piojoso, antisistema y de la kale borroka. Ah, y también pintaba cuadros."
lgtbi,https://www.meneame.net/story/goya-era-antitaurino-homosexual-tambien-vegano-hipster,3218792,28358407,1,,Feindesland,2019-11-29T07:46:59+00:00,0,13,Claro. Y rojo.
