tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39061170,37,9.0,--166625--,2023-08-16T23:09:54+00:00,1,6,"#9 Apaga la tv, EEUU no es ejemplo de nada."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39060602,36,,drstrangelove,2023-08-16T20:52:50+00:00,0,11,"A éste lo han mandado para espiar, no jodas...

Puede que sorprenda que haya desertores del ejército norteamericano hacia países comunistas, pero no era tan raro como parece; al final de la SGM, y durante toda la Guerra Fría, varios cientos de americanos se pasaron a la RDA y vivieron allí hasta el fin de sus días, el más famoso es el periodista Stephen Wechsler, o Victor Grossman en la RDA, que aún vive y escribe crónicas muy lúcidas sobre el mundo actual."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39060575,35,,tpm1,2023-08-16T20:49:03+00:00,0,8,Y todo esto sin que el tipo salga el mismo diciéndolo.
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39059811,34,9.0,Malinke,2023-08-16T18:38:54+00:00,0,8,#9 pregunta a Assange
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39059400,33,31.0,Condenación,2023-08-16T17:30:51+00:00,0,7,"#31 Hay abundante propaganda disponible, como en todas las dictaduras que no permiten verificación independiente (otra diferencia con EEUU). Porque supongo que no te creerás aquello de que fueron un país sin ni un caso de COVID-19 hasta hace nada, ¿verdad?"
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058651,32,14.0,Ysinembargosemueve,2023-08-16T15:41:33+00:00,0,8,"#14 No has tenido que repetir el comentario, vas bien Perti, con el otro nombre, sigues en las andadas."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058598,31,29.0,Beltenebros,2023-08-16T15:33:44+00:00,0,15,"#29 
Hay abundante información disponible. Si quieres negar la realidad es tu decisión.
Hasta otra ocasión."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058571,30,10.0,Razhan,2023-08-16T15:30:43+00:00,0,7,"#10 es verdad, conozco gente de EEUU que se ha marchado y critica su país, y de Corea del Norte curiosamente no he conocido a ninguno"
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058566,29,26.0,Condenación,2023-08-16T15:30:16+00:00,1,-6,"#26 ¿Qué demuestra, supuestamente, eso a efectos de derechos? EEUU puede tener una sanidad complicada e ineficiente, pero tiene una de las mejores en el mundo. La norcoreana habrá que ver cómo es, un país con hambrunas periódicas..."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058479,28,15.0,Beltenebros,2023-08-16T15:20:18+00:00,0,15,"#15 

https://old.meneame.net/m/actualidad/funcionamiento-sanidad-e-u"
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058474,27,19.0,Beltenebros,2023-08-16T15:19:46+00:00,0,15,"#19 
https://old.meneame.net/m/actualidad/funcionamiento-sanidad-e-u"
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058471,26,24.0,Beltenebros,2023-08-16T15:19:28+00:00,0,15,"#24 
https://old.meneame.net/m/actualidad/funcionamiento-sanidad-e-u"
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058408,25,8.0,Am_Shaegar,2023-08-16T15:09:21+00:00,0,9,"#8 A permanecer en silencio, a una llamada y a un abogado de oficio."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058389,24,23.0,Condenación,2023-08-16T15:06:25+00:00,1,-6,"#23 Jajaja, ya quisieras tú haberme ""dejado en evidencia"", si no has dicho nada."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058382,23,22.0,Beltenebros,2023-08-16T15:05:17+00:00,1,28,"#22 
Típico trolentario: te metes en un enlace ajeno a soltar propaganda, y cuando te dejan en evidencia, te limitas a los viejos trucos de las falacias y las proyecciones.
Provocaciones de patio de colegio no son bienvenidas.
Que tengas una buena tarde."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058368,22,17.0,Condenación,2023-08-16T15:03:44+00:00,0,7,"#17 Venga hombre, puedes hacer algo mejor que un ""rebota rebota y en tu culo explota"". Bueno, o no."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058362,21,19.0,Beltenebros,2023-08-16T15:01:57+00:00,1,28,"#19 
No has entendido mi respuesta o la has manipulado.
En cualquier caso, no sé qué derechos ves tú en EEUU, un país que no ha ratificado acuerdos internacionales. 
Un país donde hay discriminación racial, desigualdades, un sistema electoral lamentable, dos partidos de la misma ideología que se presentan a las elecciones, falta efectiva de libertad de prensa, alta mortalidad infantil, ausencia de sistema sanitario público, millones de personas sin hogar, abundancia de drogas en las calles...
Sólo lo del fentanilo y el ""trank"" es ya muy lamentable."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058251,20,12.0,Socavador,2023-08-16T14:51:31+00:00,2,22,"#12 Menudo joya... Va a disfrutar mucho de Corea la buena, sí señor..."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058247,19,18.0,Centenario2,2023-08-16T14:50:50+00:00,0,7,"#18 videos y denuncias las hay hasta del ecologismo.

Si en Estados Unidos, el país más rico del mundo, donde un trabajo minimsmente cualificado se paga hasta 3 veces más que en España no encuentras oportunidades, no las vas a encontrar en ningún sitio."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058221,18,16.0,Beltenebros,2023-08-16T14:47:13+00:00,0,15,"#16 
Hay vídeos y denuncias públicas al respecto.
Negar la realidad no sirve para nada."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058208,17,9.0,Beltenebros,2023-08-16T14:46:07+00:00,0,15,"#9 #15
¿A quién diriges la pregunta, a mí o a ti?
¿Estás proyectando?"
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058196,16,13.0,Centenario2,2023-08-16T14:44:55+00:00,0,7,#13 tienes pruebas de eso? Has ido ya a la policía?
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39058189,15,8.0,Centenario2,2023-08-16T14:43:51+00:00,0,7,"#8 ""¿Qué derechos y oportunidades hay en EEUU?"" 

madre mía... Tela.

Has estado alguna vez allí y lo que sabes de EEUU es por comentarios de meneame?"
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39057602,14,10.0,Condenación,2023-08-16T13:38:37+00:00,3,21,#10 {lol} {lol} {lol}
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39057600,13,5.0,Beltenebros,2023-08-16T13:38:30+00:00,2,48,"#5 
Aquí disparan, golpean o embisten las embarcaciones de los emigrantes. Y lo más chocante es que luego se dan lecciones de democracia por parte de los mismos gobiernos europeos que cometen esas barbaridades."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39057592,12,3.0,Condenación,2023-08-16T13:37:03+00:00,2,27,"#3  #4 Agresión, resistirse a la autoridad y dañar un vehículo de policía. La multa es por lo del coche, y al parecer el tipo va y no la paga. Un hombre virtuoso e inteligente, ya se ve.

https://www.reuters.com/world/asia-pacific/us-soldier-got-fights-damaged-police-car-before-dash-north-korea-court-docs-2023-07-19/ was fined by a South Korean court for damaging a police car (...)
The Seoul court said on September 25 last year King punched a man in the face at a club several times but the case was settled. (...)
Two weeks later, on October 8, police officers responded to a report of another altercation involving King, and tried to question him. He continued with his ""aggressive behaviour"" without answering questions from police, according to the court document.
Police placed him in the backseat of their patrol car where he shouted expletives and insults against Koreans, the Korean army, and the Korean police, the ruling said. During his tirade, he kicked the vehicle's door several times, causing about 584,000 won in damages, the ruling said."
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39057591,11,5.0,Beltenebros,2023-08-16T13:37:03+00:00,0,15,"#5 
¿A quién has visto emocionado?"
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39057560,10,9.0,Ysinembargosemueve,2023-08-16T13:33:02+00:00,2,34,#9 Igual es que no tienes ni puta idea de como se vive en Corea del Norte más allá de lo que te mete en la cabeza la falsimedia.
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39057519,9,8.0,Condenación,2023-08-16T13:27:38+00:00,4,28,"#8 ¿Vives en una cueva, o tienes tan machacada la mollera por la propaganda que voy a perder mi tiempo explicándotelo?"
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39057499,8,2.0,Beltenebros,2023-08-16T13:25:06+00:00,5,77,"#2 
¿Qué derechos y oportunidades hay en EEUU?"
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39057486,7,,CharlesBrowson,2023-08-16T13:23:31+00:00,0,8,Para uno que hace el camino al reves normal que se de tanto revuelo
inmigracion,https://www.meneame.net/story/pionyang-afirma-soldado-ee-uu-cruzo-frontera-ha-pedido-asilo,3845539,39057440,6,,Verdaderofalso,2023-08-16T13:15:30+00:00,2,38,Para uno que cruza la frontera al revés y todo son críticas… hay que joderse {lol}
