tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/franquismo-contra-homosexuales-represion-carcel-manicomios,3349499,30421612,27,26.0,jcornelius,2020-07-18T15:13:53+00:00,0,7,"#26 lógico, stalin y el comunismo mata a los homosexuales para perpetuar su raza."
lgtbi,https://www.meneame.net/story/franquismo-contra-homosexuales-represion-carcel-manicomios,3349499,30420224,26,21.0,matias64,2020-07-18T12:01:23+00:00,0,6,"#21 ""Tras la Revolución de 1917, los bolcheviques abolieron las leyes zaristas, legalizando el divorcio incausado, el aborto y la homosexualidad. La tipificación de la homosexualidad como delito fue retirada en los códigos penales de Rusia de 1922 y 1926"" 
 Lamentablemente gracias a la 2º guerra mundial y la necesidad de aumento de la natalidad Stalin volvio a penalizar la homosexualidad masculina"
lgtbi,https://www.meneame.net/story/franquismo-contra-homosexuales-represion-carcel-manicomios,3349499,30418906,25,17.0,--405202--,2020-07-18T09:32:54+00:00,0,7,"#17 o atribuir en exclusiva algo al franquismo cuando ocurría de manera generalizada.

Inglaterra, sin ir más lejos.

Que esta mal, que el franquismo lo hizo y es aberrante, pero el titular conduce a la exclusividad del delito se manera sesgada y creo que señalarlo solo exaspera a los forofos del otro palo."
lgtbi,https://www.meneame.net/story/franquismo-contra-homosexuales-represion-carcel-manicomios,3349499,30418706,24,8.0,TooBased,2020-07-18T09:10:38+00:00,1,20,"#8 Crees en un solo tipo de familia, no en la familia. Como si las familias solo pudiesen ser de una forma. Un niño puede recibir más amor y apoyo por parte de dos madres o dos padres que por parte de una familia tradicional.

Que sean un hombre y una mujer no garantiza nada. Liberal pero poco."
lgtbi,https://www.meneame.net/story/franquismo-contra-homosexuales-represion-carcel-manicomios,3349499,30418631,23,1.0,TooBased,2020-07-18T09:00:12+00:00,0,11,#1 Y tú más!
lgtbi,https://www.meneame.net/story/franquismo-contra-homosexuales-represion-carcel-manicomios,3349499,30418010,22,,--555203--,2020-07-18T07:52:01+00:00,1,21,"Hace años o decadas los gays estaban perseguidos en cualquier parte del mundo, España tambien, por supuesto.
A dia de hoy estan perseguidos en algunas partes del mundo."
lgtbi,https://www.meneame.net/story/franquismo-contra-homosexuales-represion-carcel-manicomios,3349499,30417533,21,,jcornelius,2020-07-18T06:22:29+00:00,0,7,"Los comunistas y ahora los regímenes islámicos siempre persiguen a los homosexuales. Parece que ahora Cuba , Corea del Norte y china son la panacea de el movimiento gay."
lgtbi,https://www.meneame.net/story/franquismo-contra-homosexuales-represion-carcel-manicomios,3349499,30417098,20,,anor,2020-07-18T00:43:59+00:00,1,17,"¡ Qué salvajada, los torturaban como si fueran enfermos mentales!"
lgtbi,https://www.meneame.net/story/franquismo-contra-homosexuales-represion-carcel-manicomios,3349499,30417020,19,,--510734--,2020-07-18T00:12:37+00:00,1,18,"Insultar al Movimiento te costaba la vida aunque fueses Tarzan de los Monos. Y había gays en todas las esquinas, ferias y espectáculos."
lgtbi,https://www.meneame.net/story/franquismo-contra-homosexuales-represion-carcel-manicomios,3349499,30416911,18,17.0,--641049--,2020-07-17T23:35:14+00:00,1,-1,"#17 Quién ha justificado los crímenes del franquismo?  Sólo digo que el líder del partido que se hace llamar progresista homenajea a un asesino homófobo, así que déja mucho que desear"
