tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/rechazo-relacion-homosexual-dos-chicas-origino-tiroteo,3857497,39329482,104,46.0,Tribuno,2023-09-23T12:37:23+00:00,1,17,#46 Esto es Romeo y Julieta en toda regla.
lgtbi,https://www.meneame.net/story/rechazo-relacion-homosexual-dos-chicas-origino-tiroteo,3857497,39322886,103,74.0,--350694--,2023-09-22T10:42:35+00:00,0,11,#74 ya salió el payo del opus.
lgtbi,https://www.meneame.net/story/rechazo-relacion-homosexual-dos-chicas-origino-tiroteo,3857497,39322318,102,85.0,--712564--,2023-09-22T09:27:45+00:00,0,7,#85 Seguramente menos de lo que costaría que estuviera bien y siguiera protagonizando tiroteos.
lgtbi,https://www.meneame.net/story/rechazo-relacion-homosexual-dos-chicas-origino-tiroteo,3857497,39322303,101,4.0,--712564--,2023-09-22T09:25:59+00:00,0,7,#4  #41 Yo intento ser ordenado para que no pasen esas cosas.
lgtbi,https://www.meneame.net/story/rechazo-relacion-homosexual-dos-chicas-origino-tiroteo,3857497,39322290,100,2.0,--712564--,2023-09-22T09:24:37+00:00,0,7,#2 el LoL...
lgtbi,https://www.meneame.net/story/rechazo-relacion-homosexual-dos-chicas-origino-tiroteo,3857497,39321699,99,97.0,sireliot,2023-09-22T08:17:59+00:00,0,7,"#97 Dios mío, está claro que tengo la cabeza de adorno {palm} Gracias!"
lgtbi,https://www.meneame.net/story/rechazo-relacion-homosexual-dos-chicas-origino-tiroteo,3857497,39321570,98,1.0,SmithW6079,2023-09-22T08:00:02+00:00,0,6,#1 No deja de sorprenderme lo bien armados y el gatillo facil que tienen los canales infantiles.
lgtbi,https://www.meneame.net/story/rechazo-relacion-homosexual-dos-chicas-origino-tiroteo,3857497,39321182,97,94.0,warheart,2023-09-22T07:03:45+00:00,0,6,"#94 ""caló"" no soy, y ""calé"" es un idioma. al revés, que te lo has puesto tú mismo! {lol}"
lgtbi,https://www.meneame.net/story/rechazo-relacion-homosexual-dos-chicas-origino-tiroteo,3857497,39321116,96,2.0,Zade,2023-09-22T06:51:42+00:00,0,10,#2 a mi me llaman el clandestino
lgtbi,https://www.meneame.net/story/rechazo-relacion-homosexual-dos-chicas-origino-tiroteo,3857497,39321061,95,81.0,--565166--,2023-09-22T06:43:22+00:00,0,6,#81 la solución final {troll}
lgtbi,https://www.meneame.net/story/rechazo-relacion-homosexual-dos-chicas-origino-tiroteo,3857497,39320937,94,93.0,sireliot,2023-09-22T06:20:58+00:00,0,7,"#93 Venga, me has animado y he buscado el resto. caló
Del caló caló 'negro'.

1. adj. Perteneciente o relativo al caló. Léxico caló.

2. m. Variedad del romaní que hablan los gitanos de España, Francia y Portugal.

calé
Del caló caló 'negro'.

1. adj. gitano (‖ de un pueblo originario de la India). U. t. c. s.

2. adj. gitano (‖ propio de los gitanos).

3. m. Moneda de cobre que valía cuatro maravedís.

4. m. Col. y Ec. Moneda antigua de cuarto de real. Así que ""payo"" soy yo, ""caló"" no soy, y ""calé"" es un idioma."
lgtbi,https://www.meneame.net/story/rechazo-relacion-homosexual-dos-chicas-origino-tiroteo,3857497,39320759,93,77.0,warheart,2023-09-22T05:54:18+00:00,1,13,"#77 payo, ya
Del n. p. Payo 'Pelayo'.

(...)

3. adj. Entre gitanos, que no pertenece al pueblo gitano. Apl. a pers., u. t. c. s."
lgtbi,https://www.meneame.net/story/rechazo-relacion-homosexual-dos-chicas-origino-tiroteo,3857497,39320713,92,84.0,Deathmosfear,2023-09-22T05:41:44+00:00,1,13,#84 Los que tienen armas también suelen traficar con drogas. Las armas las sacan del mismo sitio que las drogas.
