tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/vox-despliega-lona-madrid-contra-feminismo-movimiento-lgtbiq,3825434,38792787,413,152.0,--731452--,2023-07-08T15:28:43+00:00,0,8,"#152 La Agenda 2030 es lo mejor que le ha pasado a la humanidad en mucho tiempo.
Te recuerdo lo que es la agenda 2030 de la ONU:
https://www.un.org/sustainabledevelopment/es/development-agenda/
Que se acabe el hambre en el mundo, que haya vivienda, que todo el mundo tenga un trabajo y unos ingresos decentes, que haya educación y sanidad de calidad., que haya industria, que la gente gane lo suficiente y no una miseria, que se abra el grifo y salga agua que puedas beber (y pagar), que uno pueda disfrutar de la naturaleza, que el mar no sea un vertedero,...

Ojalá se instaure pronto en todo el mundo proque la necesitamos. Sobre todo los que somos pobres."
lgtbi,https://www.meneame.net/story/vox-despliega-lona-madrid-contra-feminismo-movimiento-lgtbiq,3825434,38707697,412,411.0,--731452--,2023-06-26T20:23:59+00:00,0,6,"#411 No, hombre, no. Digo lo contrario, que te ofendes tú solo pensando cosas que no son ciertas.
Ni yo soy comunista, ni la Agenca 2030 es para controlarte el dicnero que tienes en el bolsillo. La Agenda 2030 no dice nada de eso.
¿ No te has leído el enlace que te puse ?"
lgtbi,https://www.meneame.net/story/vox-despliega-lona-madrid-contra-feminismo-movimiento-lgtbiq,3825434,38700066,411,410.0,motoleon,2023-06-25T22:12:04+00:00,0,6,#410 Solo ofende quien puede y no kien kiere. Tipica respuesta cuando no hay argumentos. En fín.
lgtbi,https://www.meneame.net/story/vox-despliega-lona-madrid-contra-feminismo-movimiento-lgtbiq,3825434,38693570,410,409.0,--731452--,2023-06-24T20:12:12+00:00,0,7,"#409 No me gusta el tufo comunista Jajajjajajajajajaj
Jajjajajajajjajajajaj
jajajajajajajjajajaj
jajajajajajajajajaja
Ains, qué momentos.
Nadie te pide sacrificar nada, no seas ofendidito."
lgtbi,https://www.meneame.net/story/vox-despliega-lona-madrid-contra-feminismo-movimiento-lgtbiq,3825434,38693156,409,408.0,motoleon,2023-06-24T18:52:46+00:00,0,6,"#408 No me gusta el tufo comunista que suelta eso que dices. Me suena a mundo idilico (Fin del hambre, industria, innovación, paz y justicia sólidas, reducción de las desigualdades, crecimiento económico), sueños inalcanzables sin sacrificar LAS LIBERTADES de cada individuo...Mira, por ejemplo, lo que quieren hacer con el Euro digital (CBDC)...todo control. Agenda 2030."
lgtbi,https://www.meneame.net/story/vox-despliega-lona-madrid-contra-feminismo-movimiento-lgtbiq,3825434,38682290,408,407.0,--731452--,2023-06-23T09:56:24+00:00,0,7,"#407 Son invenciones tuyas nuevamente o cosas que has leído en los canales de desinformaión de los bulos de la extrema derecha. La ONU no te va a decir que tienes que comer. No sé como te han podiodo colar una subnormalidad así.
Esto es la agenda 2030, si quieres leer:
https://www.un.org/sustainabledevelopment/es/development-agenda/
Fin del hambre, industria, innovación, paz y justicia sólidas, reducción de las desigualdades, crecimiento económico,...
¿ Quién puede estar en contra ? Pues en contra de la sanidad, quien no quiera una sanidad universal para todo el mundo y prefiera que sea de pago para ser ricos ellos con el negocio que hagan. En contra de la educación de calidad, quien quiera una calidad de educación mala en general y que haya que pagar un pastón cuando se quiera algo más. En contra de las ciudades en las que se pueda vivir confortáblemente, los especuladores urbanos. En contra de que se pueda beber siempre agua del grifo y que el agua corriente sea barata, los que quieren hacer negocio con el agua, Etc.
No sé qué haces extendiendo bulos. Deberías dedicar diez minutos a ver en qué consiste,. no vaya a ser que extiendas un bulo, la gente vote algo en función de eso y al final te fastidien a ti, porque te quiten, por ejemplo, la sanidad universal o cualquiera de esos puntos que ahí aparecen."
lgtbi,https://www.meneame.net/story/vox-despliega-lona-madrid-contra-feminismo-movimiento-lgtbiq,3825434,38679953,407,365.0,motoleon,2023-06-22T22:58:16+00:00,0,6,"#365 No comas carne, no tengas coche, no viajes, no te muevas de tu casa, no aspires a nada, vive del estado, se un parasito del estado y hazte dependiente de él para que te controle en todo...eso es la agenda 2030...sigo?"
lgtbi,https://www.meneame.net/story/vox-despliega-lona-madrid-contra-feminismo-movimiento-lgtbiq,3825434,38679950,406,361.0,motoleon,2023-06-22T22:56:01+00:00,0,6,#361 Eso es precisamente lo que quita el comunismo: la libertad individual. Abre los ojos.
lgtbi,https://www.meneame.net/story/vox-despliega-lona-madrid-contra-feminismo-movimiento-lgtbiq,3825434,38673443,405,404.0,Sergio_ftv,2023-06-22T07:46:10+00:00,0,17,"#404 Vaya, ahora sacas el comodín del falso victimismo. Te puse varios argumentos que demuestran que el ministerio de igualdad no va en contra de los hombres ni en contra de nadie y tu no solo no dices nada al respecto sino que te haces la falsa víctima. Además no me dirigí a ti directamente, sino a todo aquel que piensa que se dictan leyes anticonstitucionales por ir en contra de los hombres sin que hayan sentencias que confirmen tal acusación, Si cuando gobernaba la derecha y la ley viogen estaba vigente y sin sufrir modificaciones estabas calladito y ahora ante eso mismo se te saltan las venas del cogote, está claro lo que sufres y más cuando te has sentido muy aludido y has sacado las cartas del falso victimismo y de la llantina por no saber que decir ante lo evidente. Mírate tus graves problemas antes de buscar en los demás."
lgtbi,https://www.meneame.net/story/vox-despliega-lona-madrid-contra-feminismo-movimiento-lgtbiq,3825434,38671934,404,401.0,Nekmo,2023-06-21T21:19:48+00:00,0,9,"#401 si alguien no piensa como tú, está adoctrinado. Con esa forma de pensamiento es difícil que la izquierda atraiga votos hacia su bando de entre los indecisos. Y mira que no soy precisamente un votante de derechas, pero ese razonamiento sólo me confirma el problema de la izquierda actual."
lgtbi,https://www.meneame.net/story/vox-despliega-lona-madrid-contra-feminismo-movimiento-lgtbiq,3825434,38669531,403,402.0,Sergio_ftv,2023-06-21T15:10:45+00:00,0,17,"#402 Que hayas leído este mensaje significa dos cosas, que con toda seguridad funcionas a base de clones y esto, unido a tus comentarios anteriores, que el complejo de inferioridad que sufres es extremadamente grave. Que te sea leve, con el complejo y con el adoctrinamiento que te lo provoca."
lgtbi,https://www.meneame.net/story/vox-despliega-lona-madrid-contra-feminismo-movimiento-lgtbiq,3825434,38668434,402,401.0,KoLoRo,2023-06-21T12:34:57+00:00,0,7,"#401 Creo que el que está adoctrinado vas a ser tú. 

Pero cada cual su punto de vista."
lgtbi,https://www.meneame.net/story/vox-despliega-lona-madrid-contra-feminismo-movimiento-lgtbiq,3825434,38667983,401,400.0,Sergio_ftv,2023-06-21T11:40:14+00:00,0,17,"#400 Hay que estar muy adoctrinado para pensar que cualquier ministerio o cualquier otra administración vaya en contra de un colectivo de manera generalizada, entre otras cosas porque eso sería anticonstitucional y hay un TC conservador y unos partidos deseosos de interponer recursos contra leyes anticonstitucionales. Lo dicho, lo tenéis muy difícil pero eso, que no adjetivo para evitar strike, se quita estudiando, leyendo, conviviendo y viajando. Te recuerdo que la actual ley anti viogen fue aprobada en, creo, 2006, la derecha no modificó ni una coma en todos los años que gobernó, pasó el filtro del constitucional y solo ha habido polémica cuando no gobierna la derecha porque durante ese tiempo, repito, la ley era la misma pero estábais calladitos."
lgtbi,https://www.meneame.net/story/vox-despliega-lona-madrid-contra-feminismo-movimiento-lgtbiq,3825434,38667609,400,70.0,Nekmo,2023-06-21T11:04:43+00:00,0,9,"#70 #63 sin querer entrar en controversia, tu argumento no demuestra que el ministerio no vaya en contra de los hombres.

Que una ley no vaya en contra de los hombres, no significa que no tenga otras leyes que les perjudique o les ponga en inferioridad. No es un argumento válido.

Además, la ley que indicas tiene como principal motivación evitar que los empresarios contraten hombres por encima de mujeres por tener derecho a menos días de baja. Es una ley que les beneficia pero de forma indirecta. Ni siquiera está motivada por lo que parece normal: un padre tiene tanto derecho a ver a su hijo como su madre."
