tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/mujer-pedro-sanchez-denuncia-pilar-baselga-difundir-bulo,3786066,37899589,86,,mariopg,2023-03-01T20:04:50+00:00,0,6,"esta gentuza no paga las multas, se las pagan, así que se la suda"
lgtbi,https://www.meneame.net/story/mujer-pedro-sanchez-denuncia-pilar-baselga-difundir-bulo,3786066,37897766,85,11.0,--693395--,2023-03-01T15:28:31+00:00,0,8,"#11 Para todos mis negativizadores con amor, yo no considero transexual como insulto ni como agravio de nada. Al revés que ellos."
lgtbi,https://www.meneame.net/story/mujer-pedro-sanchez-denuncia-pilar-baselga-difundir-bulo,3786066,37896258,84,4.0,mre13185,2023-03-01T12:41:39+00:00,0,6,#4 Otra vez la mal follada esa
lgtbi,https://www.meneame.net/story/mujer-pedro-sanchez-denuncia-pilar-baselga-difundir-bulo,3786066,37895426,83,1.0,stroke,2023-03-01T11:08:17+00:00,0,10,"#1 Trabaje con ella hace años y era una chica bien guapa, especialmente teniendo en cuenta el handicap de que es vasca.

Lo que le pasa es que se ha dado contra el muro de frente."
lgtbi,https://www.meneame.net/story/mujer-pedro-sanchez-denuncia-pilar-baselga-difundir-bulo,3786066,37895242,82,1.0,mikasalo,2023-03-01T10:46:29+00:00,2,1,#1 Soltar una gilipollez así escudándote en el trolleo no debería pasa inadvertido.
lgtbi,https://www.meneame.net/story/mujer-pedro-sanchez-denuncia-pilar-baselga-difundir-bulo,3786066,37894846,81,79.0,--712564--,2023-03-01T10:00:48+00:00,0,7,"#79 Se te da muy bien lo de rehuir. {lol} Supongo que es lo que pasa cuando te pillas los dedos, mejor huir y no mojarse más."
lgtbi,https://www.meneame.net/story/mujer-pedro-sanchez-denuncia-pilar-baselga-difundir-bulo,3786066,37894839,80,41.0,--712564--,2023-03-01T09:59:45+00:00,0,7,"#41 #76 Lo mismo planteaba, principalmente porque me parece que muchos que van de progres a veces se pillan los dedos con sus propios prejuicios. En este caso como es para atacar a alguien interesadamente tienen que resaltar que la difaman llamándola transexual, como si efectivamente eso fuera algo que te difame. Así que les ha podido el sensacionalismo de tener que sacar eso como lo principal.

En todo caso, es obvio que hay personas para las que eso es algo negativo, y por eso cuestionan su identidad sexual. Y pues eso, llamar gordo o calvo a un gordo/calvo es difamarle, pues supongo que la intención es lo que cuenta, y el como te lo tomes también..."
lgtbi,https://www.meneame.net/story/mujer-pedro-sanchez-denuncia-pilar-baselga-difundir-bulo,3786066,37894828,79,78.0,Verdaderofalso,2023-03-01T09:58:22+00:00,0,18,"#78 https://libex.es/difamacion-colectivos-vulnerables/

De todas maneras en manos de la justicia queda dictaminar"
lgtbi,https://www.meneame.net/story/mujer-pedro-sanchez-denuncia-pilar-baselga-difundir-bulo,3786066,37894796,78,77.0,--712564--,2023-03-01T09:53:37+00:00,0,7,"#77 Ajá, ya lo digo, veo que sabes leer, pero evitas la cuestión planteada."
lgtbi,https://www.meneame.net/story/mujer-pedro-sanchez-denuncia-pilar-baselga-difundir-bulo,3786066,37894784,77,76.0,Verdaderofalso,2023-03-01T09:52:17+00:00,0,18,#76 tu mismo lo dices: difundir bulos
