tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/detienen-policia-local-alquilar-infraviviendas-trasteros-decenas,3880035,39739759,12,,eldelcerro,2023-11-25T10:32:31+00:00,0,10,Siendo municipal no podrá alegar que desconoce las leyes.
inmigracion,https://www.meneame.net/story/detienen-policia-local-alquilar-infraviviendas-trasteros-decenas,3880035,39738718,11,,--652052--,2023-11-25T03:06:50+00:00,0,17,"El presunto autor de los hechos tenía instalado, además, un dispositivo para el control del consumo de electricidad de los habitáculos, lo que le permitía manipular las facturas de la luz para que los supuestos 'inquilinos' pagaran más de luz que lo consumido."
inmigracion,https://www.meneame.net/story/detienen-policia-local-alquilar-infraviviendas-trasteros-decenas,3880035,39738630,10,6.0,--757996--,2023-11-25T01:51:15+00:00,0,14,"#6 ¿Cada día da más asco? ¿Preferirías volver a la policía franquista, que según tu razonamiento es mucho mejor que la actual, incluso con su infame Brigada Político-Social?

No. La policía actual tiene mucha mierda, eso es bien cierto, pero también es la mejor policía que hemos tenido, aunque no sea la mejor policía que podríamos tener ni la que nos merecemos.

Pero oye, que tu comentario simplista  y “rebelde” es lo que se premia aquí. Sigue así y no menciones que a esos polis de mierda los detienen otros polis. Adelante, rebélate… siguiendo la tendencia acrítica de MNM. Rebelde, que eres lo más rebelde que ha parío mare."
inmigracion,https://www.meneame.net/story/detienen-policia-local-alquilar-infraviviendas-trasteros-decenas,3880035,39738319,9,8.0,ComandantaShepard,2023-11-24T23:02:01+00:00,0,10,#8 qué grande
inmigracion,https://www.meneame.net/story/detienen-policia-local-alquilar-infraviviendas-trasteros-decenas,3880035,39738298,8,6.0,DerTeufel,2023-11-24T22:57:07+00:00,1,22,"#6  Les va a pasar como a los jueces, que se van a tener que manifestar contra la derogación de la ley mordaza... preventivamente. {tongue}"
inmigracion,https://www.meneame.net/story/detienen-policia-local-alquilar-infraviviendas-trasteros-decenas,3880035,39738292,7,1.0,Escafurciao,2023-11-24T22:56:00+00:00,0,8,#1 el último espero.
inmigracion,https://www.meneame.net/story/detienen-policia-local-alquilar-infraviviendas-trasteros-decenas,3880035,39738280,6,1.0,ComandantaShepard,2023-11-24T22:53:12+00:00,2,25,#1 La policía cada día da más asco. Si no limpian tanto a manzana podrida la confianza se mina
inmigracion,https://www.meneame.net/story/detienen-policia-local-alquilar-infraviviendas-trasteros-decenas,3880035,39738062,5,3.0,woody_alien,2023-11-24T22:06:39+00:00,1,21,"#3 Bueno, vale. Pedante y quejicoso tiquismiquis {shame}"
inmigracion,https://www.meneame.net/story/detienen-policia-local-alquilar-infraviviendas-trasteros-decenas,3880035,39738049,4,,TOTEMICO,2023-11-24T22:04:49+00:00,0,7,Pijo de la gran fruta
inmigracion,https://www.meneame.net/story/detienen-policia-local-alquilar-infraviviendas-trasteros-decenas,3880035,39738043,3,1.0,--729226--,2023-11-24T22:03:50+00:00,2,24,#1 No mientas!!!! Caso aislado de la noche
inmigracion,https://www.meneame.net/story/detienen-policia-local-alquilar-infraviviendas-trasteros-decenas,3880035,39737973,2,,bronco1890,2023-11-24T21:47:44+00:00,3,38,"70 zulos por 500 al mes de media= 35 000 euros al mes.
Aparte de encerrarle y tirar la llave tenían que quitarle todo su patrimonio, pero no van a hacer nada de eso, como mucho le largarán de la municipal de una patada en el culo."
inmigracion,https://www.meneame.net/story/detienen-policia-local-alquilar-infraviviendas-trasteros-decenas,3880035,39737958,1,,woody_alien,2023-11-24T21:43:14+00:00,11,111,Caso aislado del día.
