tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/gobierno-alojara-sanxenxo-350-mas-400-inmigrantes-trasladara,3869509,39549708,22,17.0,--549521--,2023-10-26T21:55:09+00:00,0,6,#17 Una cosa es que parezca que entiendan y otra que entiendan lo que les dices. A todo te dicen si o no te cortan cuando hablas. Otra cosa es cuando les preguntas que dijiste y realmente solo pillan la mitad o ni eso. El ignorante es muy orgulloso y nunca dicen 'no se o explícamelo de nuevo' y por eso mismo generan muchos problemas en los trabajos.
inmigracion,https://www.meneame.net/story/gobierno-alojara-sanxenxo-350-mas-400-inmigrantes-trasladara,3869509,39549272,21,20.0,charangada,2023-10-26T20:32:01+00:00,0,10,"#20 me imagino que el estado.
Pero bueno, más trabajo en un pueblo que pasa más de medio año cerrado"
inmigracion,https://www.meneame.net/story/gobierno-alojara-sanxenxo-350-mas-400-inmigrantes-trasladara,3869509,39548750,20,2.0,raimundo_de_tolosa,2023-10-26T19:10:09+00:00,0,6,#2 y quién paga los costes de la estancia?
inmigracion,https://www.meneame.net/story/gobierno-alojara-sanxenxo-350-mas-400-inmigrantes-trasladara,3869509,39544498,19,17.0,--758659--,2023-10-26T08:33:01+00:00,0,7,#17 Al menos manejan el idioma que ya es mucho.
inmigracion,https://www.meneame.net/story/gobierno-alojara-sanxenxo-350-mas-400-inmigrantes-trasladara,3869509,39544181,18,15.0,traviesvs_maximvs,2023-10-26T07:50:13+00:00,0,11,#15 que den mejores condiciones verás como hay
inmigracion,https://www.meneame.net/story/gobierno-alojara-sanxenxo-350-mas-400-inmigrantes-trasladara,3869509,39543732,17,7.0,charangada,2023-10-26T06:26:57+00:00,0,10,"#7 que formación tienen los chavales de 18-20 años que solían contratar?

Te sorprenderías de la velocidad a la que la gente aprende un idioma cuando le va la vida en ello.
Si te parases 5 minutos a hablar con un senegalés de los que vienen en patera y venden pulseritas, verías que en un año en España y se entienden fantásticamente y hablan francés e inglés como para servir copas sin problema"
inmigracion,https://www.meneame.net/story/gobierno-alojara-sanxenxo-350-mas-400-inmigrantes-trasladara,3869509,39543717,16,12.0,charangada,2023-10-26T06:24:33+00:00,0,10,"#12 los hosteleros no son tan tontos. Los que pueden pagan razonable (no voy a decir bien) incluso les dan 6 meses de contrato cuando casi no hay curro fuera de junio-septiembre. Aún así, los que tienen experiencia se van a los hoteles a cobrar un poco menos pero trabajar todo el año con mejores horarios
La hostelería tan estacional siempre se nutrió de estudiantes y jóvenes pero ahora o pasan o no hay los suficientes"
inmigracion,https://www.meneame.net/story/gobierno-alojara-sanxenxo-350-mas-400-inmigrantes-trasladara,3869509,39543693,15,14.0,charangada,2023-10-26T06:20:39+00:00,0,10,"#14 dumping de que? NO HAY CAMAREROS, ni albañiles, ni un montón de cosas.
Y no es por las paguitas. Si es lo que vas a responder"
inmigracion,https://www.meneame.net/story/gobierno-alojara-sanxenxo-350-mas-400-inmigrantes-trasladara,3869509,39543001,14,2.0,traviesvs_maximvs,2023-10-25T22:14:30+00:00,0,11,#2 ¿Haciendo apología al dumping laboral con mano de obra del tercer mundo?
inmigracion,https://www.meneame.net/story/gobierno-alojara-sanxenxo-350-mas-400-inmigrantes-trasladara,3869509,39542937,13,,solomonovolumen,2023-10-25T21:57:52+00:00,3,30,"¿Y devolverlos de dónde han venido para dejar claro que no son formas de entrar, que hay que hacerlo por los cauces legales y no premiarlos encima?"
inmigracion,https://www.meneame.net/story/gobierno-alojara-sanxenxo-350-mas-400-inmigrantes-trasladara,3869509,39542846,12,2.0,Borgiano,2023-10-25T21:38:18+00:00,0,8,"#2 ¿Y qué fue del ""pay then more""?"
inmigracion,https://www.meneame.net/story/gobierno-alojara-sanxenxo-350-mas-400-inmigrantes-trasladara,3869509,39542761,11,,--549521--,2023-10-25T21:21:23+00:00,0,6,"Cuando vean los cruceiros y los tiren abajo para no traumarse....Esto se esta poniendo, como dirían los ghalegos, caralludo"
inmigracion,https://www.meneame.net/story/gobierno-alojara-sanxenxo-350-mas-400-inmigrantes-trasladara,3869509,39542709,10,,Malinke,2023-10-25T21:13:28+00:00,0,8,"De Ucrania igual no vienen más, de África no van a parar de venir, cada vez vendrán más y más."
inmigracion,https://www.meneame.net/story/gobierno-alojara-sanxenxo-350-mas-400-inmigrantes-trasladara,3869509,39542631,9,,ManTK,2023-10-25T20:59:50+00:00,0,10,"También envía a Medina del Campo (Valladolid), unos 250.

https://www.elespanol.com/castilla-y-leon/region/valladolid/20231025/gobierno-aloja-lujoso-balneario-provincia-valladolid-centenar-inmigrantes/804669689_0.html"
