tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/policia-local-denuncia-iu-tener-bandera-lgtbi-otra-republicana,3837600,38902925,176,171.0,WinterSoldier,2023-07-24T09:22:58+00:00,0,6,#171 De nada {cheesy}
lgtbi,https://www.meneame.net/story/policia-local-denuncia-iu-tener-bandera-lgtbi-otra-republicana,3837600,38900864,175,151.0,carlesm,2023-07-24T03:57:21+00:00,0,9,#151 Los clientes pueden tener uniforme. O eres un ¿anti-uniformista?
lgtbi,https://www.meneame.net/story/policia-local-denuncia-iu-tener-bandera-lgtbi-otra-republicana,3837600,38898400,174,173.0,RoneoaJulieta,2023-07-23T19:00:40+00:00,1,19,"#173 Ha sido un pacer, como diría un buey {smiley}"
lgtbi,https://www.meneame.net/story/policia-local-denuncia-iu-tener-bandera-lgtbi-otra-republicana,3837600,38897555,173,172.0,--633161--,2023-07-23T16:52:45+00:00,1,19,"#172 Gracias, me lo dijo un hijo mío hará unos años, ventajas de escuchar y aprender de los hijos {wink}"
lgtbi,https://www.meneame.net/story/policia-local-denuncia-iu-tener-bandera-lgtbi-otra-republicana,3837600,38896884,172,45.0,RoneoaJulieta,2023-07-23T14:46:21+00:00,1,19,"#45 Positivo por ese «motu» sin anteponerle la preposición «de».
Si me permites, la expresión correcta es motu proprio.
https://dle.rae.es/motu%20proprio"
lgtbi,https://www.meneame.net/story/policia-local-denuncia-iu-tener-bandera-lgtbi-otra-republicana,3837600,38895842,171,164.0,--633161--,2023-07-23T11:25:35+00:00,1,18,#164 Coño. Que empanada mental tenía. Gracias  {smiley}
lgtbi,https://www.meneame.net/story/policia-local-denuncia-iu-tener-bandera-lgtbi-otra-republicana,3837600,38895751,170,166.0,citizenx,2023-07-23T11:10:37+00:00,0,8,"#166 Solo reclamo una opinión de un párrafo, no te estoy pidiendo un Tratactus."
lgtbi,https://www.meneame.net/story/policia-local-denuncia-iu-tener-bandera-lgtbi-otra-republicana,3837600,38895527,169,142.0,phyrian,2023-07-23T10:26:37+00:00,0,7,"#142 La censura ocurre, los errores tambien.
A menos que puedas probar sin lugar a dudas que fue algo echo a mala fe por el ayuntamiento, es una cagada del policia y punto.
Especular no soluciona ni prueba nada, solo genera mala leche contra gente que podria note tener culpa"
lgtbi,https://www.meneame.net/story/policia-local-denuncia-iu-tener-bandera-lgtbi-otra-republicana,3837600,38895348,168,134.0,sonix,2023-07-23T09:58:07+00:00,1,13,#134 po mu bien
lgtbi,https://www.meneame.net/story/policia-local-denuncia-iu-tener-bandera-lgtbi-otra-republicana,3837600,38895346,167,139.0,sonix,2023-07-23T09:57:54+00:00,0,6,#139 yo no he defendido nada chabal
lgtbi,https://www.meneame.net/story/policia-local-denuncia-iu-tener-bandera-lgtbi-otra-republicana,3837600,38895343,166,154.0,sonix,2023-07-23T09:57:34+00:00,0,6,"#154 no voy a hacer de un caso puntual la norma general, eso para se lo dejo a los sectarios."
lgtbi,https://www.meneame.net/story/policia-local-denuncia-iu-tener-bandera-lgtbi-otra-republicana,3837600,38895296,165,64.0,closed,2023-07-23T09:51:01+00:00,0,6,"#64 este comentario es un claro ejemplo de por qué se puede editar comentarios. Por dios corrige el ah peor, que me duelen los hojos todavía. Si no te llegan las neuronas para averiguar como se hace, pregunta a los que criticabas por editar a ver si te ayudan, y ya de paso te diculpas"
