tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17713617,16,13.0,--454789--,2015-09-15T18:14:24+00:00,0,9,"#13 no es que yo no crea, eres tu el que cree en dios, el estado por defecto es que no existe. no es lo contrario."
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17713312,15,10.0,cybermouse,2015-09-15T17:14:06+00:00,0,8,"#10 No, no es así, pero no es tirarse es fumarse."
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17713189,14,9.0,--8993--,2015-09-15T16:50:35+00:00,0,8,"#9 Te dirán que es porque estos tienen ""derecho a una mejor vida"".

Lo que no te dicen es que quienes no tienen ese derecho son los que no pueden pagar miles de euros a traficantes."
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17713171,13,12.0,--8993--,2015-09-15T16:47:22+00:00,0,8,#12 Negativo por no creer en Dios. La próxima te baneo con mis poderes teológicos.
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17712647,12,1.0,--454789--,2015-09-15T15:35:07+00:00,2,10,#1 dios no existe ignorante
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17712526,11,,--305786--,2015-09-15T15:20:13+00:00,1,20,"https://www.meneame.net/story/policia-italiana-arresta-15-inmigrantes-musulmanes-acusados-12
Detenidos 15 inmigrantes en Italia por tirar al mar a 12 cristianos
Los arrestados son musulmanes, según ha anunciado la policía de Palermo"
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17712505,10,,--280619--,2015-09-15T15:18:04+00:00,1,17,Vienen a matar a nuestras mujeres y tirarse a nuestros caballos. ¿O era al revés?
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17712435,9,,--375782--,2015-09-15T15:08:13+00:00,3,35,"Hay algo mosqueante en todo esto:

¿Por qué los miles de musulmanes que se agolpan en los telediarios estos días no han pedido asilo político en Turquía, Hungría o la decena de países balcánicos que han tenido que atravesar y sí lo hacen en Alemania, Austria o Dinamarca, con recorridos que superan de largo los 3.000 km?."
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17712408,8,4.0,--258554--,2015-09-15T15:05:21+00:00,3,38,"#4 Se están quitando la careta TODOS LOS MEDIOS, y lo digo por la sensación que crean de que tod vienen a Europa cuando la cifra que llega es rídicula. Sus historias no, son atroces, pero es que los libaneses, turcos, jordanos, egipcios... no han necesitado de eses sensacionalismo vomitivo para saber que la guerra es un horror y los refugiados víctimas.

Y también da mucho asco que sólo hablen de los sirios y no mencionen a los iraquies y afganos, oa todos los africanos. 

No es normal la campaña mediática que están haciendo, que es puro sensacionalismo y no aborda ni las causas ni las cifras comparativas, ni la bochornosa actuación de la UE incapaz de acoger a 120.000."
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17712328,7,6.0,Sordnay,2015-09-15T14:56:12+00:00,1,18,#6 tu nivel de meneante medio lo tienes realmente por los suelos... {lol}
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17712308,6,5.0,AnonimoPerez,2015-09-15T14:53:11+00:00,1,18,"#5 Es un buen artículo, sería una pena que lo meneara quien en realidad querría ponerle un negativo y que le ponga un negativo quien en realidad querría menearlo."
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17712301,5,2.0,Sordnay,2015-09-15T14:52:35+00:00,1,20,#2 le quitas toda la gracia al envío...
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17712285,4,,pichorro,2015-09-15T14:50:52+00:00,1,19,Mucha gente se está quitando la careta con el tema de los refugiados. Cuánto maldito racista hay en España...
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17712281,3,1.0,--423823--,2015-09-15T14:50:35+00:00,5,47,"#1 atún, leete el artículo"
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17712274,2,,AnonimoPerez,2015-09-15T14:49:01+00:00,3,37,Alerta para el meneante medio: el titular es irónico.
inmigracion,https://www.meneame.net/story/refugiados-vienen-matarnos,2478435,17712260,1,,--8993--,2015-09-15T14:47:47+00:00,1,-1,"¿Por qué ISIS no usaría este medio, tan sencillo? No sospecharían, porque casi todos son musulmanes. Luego, te dan papeles fácilmente y sin problema te pasan de frontera en frontera hasta donde quieras ir.

El colmo es que la mayoría ya ni siquiera son sirios, sino africanos, afganos y Dios sabe de que otros países.

Con dos dedos en la frente se sabe que esto es la oportunidad perfecta de hacer terrorismo."
