tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/federacion-gais-lesbianas-alerta-pacto-pp-vox-baleares-deja,3832293,38802001,14,11.0,--712564--,2023-07-10T07:30:29+00:00,0,7,#11 Hablo de citas literales y me contestas por cosas que no he citado.
lgtbi,https://www.meneame.net/story/federacion-gais-lesbianas-alerta-pacto-pp-vox-baleares-deja,3832293,38801995,13,12.0,--712564--,2023-07-10T07:30:02+00:00,0,7,"#12 No, no me la suda, que se pueda comentar un tema no implica que se pueda comentar algo que a ti no te guste sobre comentarios claramente sensacionalistas. Así que sí, todo clarinete, siempre estás defendiendo los mismos temas con el mismo sensacionalismo.

Así que menos llorar y más asumirlo. {wink}"
lgtbi,https://www.meneame.net/story/federacion-gais-lesbianas-alerta-pacto-pp-vox-baleares-deja,3832293,38785335,12,10.0,Ratoncolorao,2023-07-07T11:26:19+00:00,0,20,"#10 Que el tema vaya en contra de la norma de la UE por lo visto te suda el prepucio...
 De hecho el artículo lo he escrito yo y sí, he supuesto que habría tontos a los que podría manipular y que hasta alguno de ellos vendria a criticar que yo me exprese como me salga de los cojones y claro, eso les molesta teniendo en cuenta que lo que querrían es un campo de concentración YA. Teniendo en cuenta como defiendes en otros sitios la pancarta de Desokupa, todo queda clarinete...
 De aquí en adelante esperare para poder comentar noticias que yo envío y lo haré solo cuando hayan escrito dos o tres más pero antes te preguntaré primero. Todo porque no llores más y no te pongas tan rabioso, porque efectivamente, hablamos de odio. Pues sabes lo que digo? Mira la foto."
lgtbi,https://www.meneame.net/story/federacion-gais-lesbianas-alerta-pacto-pp-vox-baleares-deja,3832293,38784957,11,10.0,Pivorexico,2023-07-07T10:41:35+00:00,0,9,"#10 Bulo donde ? Vox defiende que se puedan realizar terapias para 'curar' la homosexualidad https://www.europapress.es/sociedad/noticia-vox-defiende-puedan-realizar-terapias-curar-homosexualidad-20201119150334.html

Y las salvajadas realizadas por dichas sectas entre ella la paramilitar El Yunke  mecenas de VOX , El Yunque, la secta secreta tras el ascenso de Vox: ""Sin ellos, Abascal no sería líder del partido"" https://www.elmundo.es/papel/historias/2023/01/28/63d45b6ae4d4d8262e8b4578.html"
lgtbi,https://www.meneame.net/story/federacion-gais-lesbianas-alerta-pacto-pp-vox-baleares-deja,3832293,38784856,10,,--712564--,2023-07-07T10:26:32+00:00,0,7,"Quitar la ""inversión de la carga de prueba"".

#1 ""deberían hablar claramente de campos de concentración""
#3 ""a lo sumo hostias para así quitarles el gen gay y violaciones en serie para ellas""

Eso sí, por cosas menos graves he visto strikes por bulos e incitación al odio. Ah, y no falla @ratoncolorao metiendo un calzador en los primeros comentarios de uno de sus meneos claramente enviado a medida para manipular de forma sensacionalista."
lgtbi,https://www.meneame.net/story/federacion-gais-lesbianas-alerta-pacto-pp-vox-baleares-deja,3832293,38784835,9,6.0,--712564--,2023-07-07T10:24:11+00:00,0,7,"#6 Si me lo permites, a veces pienso que simplemente es una cuestión de medios, pienso que para muchas denuncias el estado/policía debería tener medios de investigarlo. Si denuncias que te besaste con alguien de tu mismo sexo y te echaron por ello, pues lo mismo la mejor forma de investigarlo es que otro día vaya dos policías de incognito con una pareja que también se bese, y observar los resultados.

Si pasa lo mismo, hasta puedes decir que es irrelevante si tu denuncia fue cierta, sabemos que el caso contrastado ocurrió, y multa al canto."
lgtbi,https://www.meneame.net/story/federacion-gais-lesbianas-alerta-pacto-pp-vox-baleares-deja,3832293,38784809,8,,--712564--,2023-07-07T10:20:59+00:00,0,7,"A mi me parece que este es uno de los casos, además bastante justificado, en los que el sensacionalismo contra PP-Vox les juega a favor y hace un flaco favor a cualquier votante mínmamente razonable.

Básicamente el mensaje que lanzas es que si estás en contra de la inversión de la carga de la prueba, entonces eres un pepesuno voxemita. Y el efecto que puede tener eso, es o que bien te desmarques de algo que realmente te parece razonable, o que bien pienses que lo mismo el resto de campaña contra ellos es igual de manipuladora.

De hecho, no entiendo el sensacionalismo, sobre todo como si no hubiera aspectos objetivamente mucho más criticables que este."
lgtbi,https://www.meneame.net/story/federacion-gais-lesbianas-alerta-pacto-pp-vox-baleares-deja,3832293,38784781,7,5.0,--712564--,2023-07-07T10:17:55+00:00,0,7,"#5 Añado algo, personalmente siempre he pensado que acusaciones graves deben ir de la mano con pruebas que respalden dicha gravedad. Así mismo como citas, también es fácil que a cualquiera no le dejen pasar, y que si perteneces a X colectivo pienses que es por ser de X colectivo.

Si no eres víctima de nada, solo piensas que te ha tocado a ti ese día."
lgtbi,https://www.meneame.net/story/federacion-gais-lesbianas-alerta-pacto-pp-vox-baleares-deja,3832293,38783983,6,,Martillo_de_Herejes,2023-07-07T08:50:57+00:00,3,27,"Nueva aplicación del axioma ""yo sí te creo, hermana"". Los hechos negativos no son susceptibles de prueba, por lo que corresponde a la otra parte demostrar que sí hubo discriminación. El denunciado podrá esgrimir que echó al denunciante por oler mal, por ir sin camiseta o en bañador.... Por mil motivos, pero el discriminatorio siempre podrá añadirse a la mochila, y nunca podrá demostrar que no pretendió discriminar.

Jurídicamente es razonable. Si queremos seguir manteniendo un Estado de Derecho, al que denuncia le corresponde presentar indicios razonados de credibilidad. Pretender condenar o multar a alguien por la sola declaración del denunciante es más propio de sistemas poco democráticos.

Sí, es cierto que el dueño del bar no va a decir que ""te echo porque eres un puto maricón""... Eso no va a decirlo, pero no es imposible demostrarlo. 
Un ejemplo: el afectado entra en el bar sin ningún problema, y, al ver que se morrea con su pareja, el dueño le echa.... Le denuncia, y en el juicio presenta como testigos a los que estaban en el bar y han visto los hechos."
lgtbi,https://www.meneame.net/story/federacion-gais-lesbianas-alerta-pacto-pp-vox-baleares-deja,3832293,38783673,5,,strike5000,2023-07-07T08:24:51+00:00,3,32,"""Ambos partidos se comprometen, además, a modificar la ley autonómica contra la LGTBIfobia, aprobada por amplio consenso en 2016. Esta norma contiene un artículo, titulado precisamente Inversión de la carga de la prueba, según el cual, cuando haya “indicios fundamentados” de que alguien ha sido discriminado por razón de su orientación sexual o identidad de género, corresponderá al denunciado aportar “una justificación objetiva y razonable de las medidas adoptadas y su proporcionalidad”."" En todo conflicto hay dos partes, una acusa y la otra se defiende. Si hay ""indicios fundamentados"" se podría hablar de pruebas, por lo que el 
denunciado tendría que defenderse, como en cualquier situación análoga. Si no los hay y basta la palabra del denunciante para que sea el denunciado el que tiene que demostrar que es mentira, entonces me parece bien que lo inviertan. De toda la vida, exceptuando quizás a la Inquisición, cuando alguien denuncia un delito, irregularidad o injusticia el que tiene que demostrar que se ha dado es él, no el denunciado, ya que es mucho más difícil demostrar que algo no existe o se ha realizado.

Y añado ""Uge Sangil, presidenta de la Federación Estatal de Lesbianas, Gais, Trans, Bisexuales, Intersexuales y más (FLGTBI+), advierte de que el pacto entre el PP y Vox es “muy preocupante”, pues coloca en una “situación de indefensión” a las personas discriminadas por su orientación sexual. “Es muy raro que alguien te diga expresamente que no te deja pasar a un local o no te atiende porque eres gay. Es más frecuente que te discriminen sin decirte por qué y, si la ley no les obliga a hacerlo, es casi imposible demostrar que es por tu orientación sexual”."" Esto personalmente no me parece correcto. Tú dices que te discrimino por tu orientación sexual, pero como es muy difícil demostrarlo inviertes la carga de la prueba y tengo que ser yo quien demuestre que no es así."
