tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/video-muestra-como-guardia-costera-griega-lleva-migrantes-hasta,3814777,38428820,78,6.0,yopasabaporaqui,2023-05-20T17:18:46+00:00,0,10,"#6 Lee el envío : los dos los meten en la balsa. Solo que uno los abandona, y otro es por mejorar."
inmigracion,https://www.meneame.net/story/video-muestra-como-guardia-costera-griega-lleva-migrantes-hasta,3814777,38425667,77,1.0,yopasabaporaqui,2023-05-20T06:58:39+00:00,0,10,#1 Miseria moral se llama lo tuyo.
inmigracion,https://www.meneame.net/story/video-muestra-como-guardia-costera-griega-lleva-migrantes-hasta,3814777,38425652,76,,sauron34_1,2023-05-20T06:54:42+00:00,2,17,Qué clase de malnacido hijosdeputa es capaz de hacer esto? Y por supuesto no fallan las justificaciones de mierda de los de siempre. Llevar a alguien a altamar a sabiendas de que va a agonizar hasta la muerte y dormir a pierna suelta por las noches es de ser un auténtico psicópata.
inmigracion,https://www.meneame.net/story/video-muestra-como-guardia-costera-griega-lleva-migrantes-hasta,3814777,38425558,75,4.0,richardbenzo,2023-05-20T06:32:47+00:00,0,6,#4 totalmente de acuerdo.
inmigracion,https://www.meneame.net/story/video-muestra-como-guardia-costera-griega-lleva-migrantes-hasta,3814777,38425238,74,73.0,ccguy,2023-05-20T00:14:12+00:00,0,20,"#73 yo no he exigido nada, he hecho una pregunta"
inmigracion,https://www.meneame.net/story/video-muestra-como-guardia-costera-griega-lleva-migrantes-hasta,3814777,38425236,73,63.0,jdmf,2023-05-20T00:11:29+00:00,0,11,"#63 si no sabes cómo resolver el problema no aportas una idea... No exijas soluciones a los demás.
Como poco, no votes a los de siempre, eso al menos cambia las cosas, sino seguirás igual"
inmigracion,https://www.meneame.net/story/video-muestra-como-guardia-costera-griega-lleva-migrantes-hasta,3814777,38425029,72,,ManTK,2023-05-19T22:18:23+00:00,1,20,"A más de uno, los han traido en barco y el tramo final es traspasado a una balsa.

Por cierto, nombra Lesbos y dejarlos en el mar significa dejarlos cerca de la costa turca,que es de donde han partido"
inmigracion,https://www.meneame.net/story/video-muestra-como-guardia-costera-griega-lleva-migrantes-hasta,3814777,38424912,71,1.0,imagosg,2023-05-19T21:42:09+00:00,0,17,"#1 Estas medidas frenan a gente con hambre y guerra en su país?
Te lo estás inventando o nos tomas por imbéciles?"
inmigracion,https://www.meneame.net/story/video-muestra-como-guardia-costera-griega-lleva-migrantes-hasta,3814777,38424850,70,,marihuanO,2023-05-19T21:21:38+00:00,0,9,Otra fechoría del comunismo.
inmigracion,https://www.meneame.net/story/video-muestra-como-guardia-costera-griega-lleva-migrantes-hasta,3814777,38424837,69,14.0,Daniel_Blake,2023-05-19T21:19:13+00:00,0,6,#14 Es verdad. Vienen los ricos. Cogen la patera para no contaminar con su avión privado.
