tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37969740,21,18.0,Machakasaurio,2023-03-11T18:47:02+00:00,0,7,"#18 ""Estamos en el siglo de la UE y sigues razonando como si Franco existiera.""
El problema no es que yo haga eso, es que lo hagan jueces, FFSS y demas en su horario de trabajo.
O vas a contarnos de la ""modelica"" transición y como esas cosas no pasan?"
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37969302,20,17.0,--75126--,2023-03-11T16:52:18+00:00,0,7,#17 vaya falacia te acabas de marcar
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37968360,19,15.0,Cosas_Veredes,2023-03-11T13:09:20+00:00,0,7,#15 la iglesita cobarde
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37968291,18,16.0,--737942--,2023-03-11T12:56:18+00:00,0,7,"#16 Igual deberías ir a visitar a los refugiados ucranianos para ver que Rusia no está tan lejos.

Estamos en el siglo de la UE y sigues razonando como si Franco existiera.

La principal fuente de ideología reaccionaria y autoritaria en Europa es Rusia. Tan fuerte que gente en MNM repite su propaganda creyendo que Rusia es la URSS."
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37968063,17,13.0,laruladelnorte,2023-03-11T12:20:33+00:00,0,10,"#13 Manipulación torcitera es la que ellos hacen con su libro de cuentos pata ir adaptando capítulos del año catapum y actualizar,mas o menos,sus mensajes para sobrevivir a través del tiempo.
Son auténticos manipuladores cuyo único objetivo es vivir a cuenta de los crédulos que bajo el temor siguen cual ovejas a la iglesia."
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37968034,16,7.0,Machakasaurio,2023-03-11T12:15:34+00:00,0,7,"#7 Putin queda lejos, y salvo para agitarlo como espantajo aqui no pinta nada.
La Conferencia Episcopal, asociaciones fánaticas como el Yunque, Opus y demas, VOX(coleguitas de Putin..)...
Esos si nos quedan cerca"
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37968003,15,12.0,cnr,2023-03-11T12:08:01+00:00,0,7,"#12 Adaptar el libro a los tiempos que corren es de parguelas. O sus preceptos son sagrados, o podrían pasar tranquilamente de la biblia y cambiarla por el señor de los anillos, harry potter, 50 sombras de grey o lo que este de moda esta semana."
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37967714,14,7.0,--75126--,2023-03-11T11:13:22+00:00,0,7,#7 y muchos de extrema izquierda que quieren hacer los oídos sordos porque su odio antiyanki es más poderoso que sus principios.
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37967708,13,6.0,--75126--,2023-03-11T11:12:05+00:00,0,7,"#6 eso es una interpretación torticera, no dijo ""también es pecado la falta de caridad con el prójimo"" como un ejemplo, sino especificando que el amor al prójimo es mucho más importante que el pecado de la homosexualidad así que ir en contra de los homosexuales es un pecado mucho más grave. Si no te parece un avance no sé yo qué es lo que será."
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37967653,12,11.0,Cosas_Veredes,2023-03-11T11:03:42+00:00,2,20,"#11 también dice que no se puede comer marisco, que no se pueden vestir con tejidos diferentes o que pi es 3."
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37966979,11,6.0,cnr,2023-03-11T09:05:36+00:00,0,7,"#6 ¿Y qué quieres? Si su libro sagrado dice que es pecado, lo es y punto. Al menos es coherente, no como los otros hipócritas que pretenden remozarlo como si en lugar de una biblia tuviesen una campaña de marketing, y tiene la sensatez de hacer una clara distinción entre pecado y delito."
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37964540,10,,esInvierno,2023-03-10T19:32:05+00:00,0,7,"Debería ser a partir del 25.
Por la rima."
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37964495,9,8.0,ChukNorris,2023-03-10T19:23:53+00:00,0,10,"#8 No lo sabía porque la noticia es un invent, no pueden hacer eso sin permiso del vaticano y si lo hacen pasan a ser una secta, probablemente excomulgados."
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37964460,8,,ChukNorris,2023-03-10T19:18:29+00:00,0,10,No sabía que la iglesia católica local tuviese libertad para hacer lo que le diese la gana sin seguir el dictamen del Vaticano.
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37964286,7,3.0,--737942--,2023-03-10T18:49:17+00:00,2,23,"#3 ¿Te refieres a Putin?

Putin dijo en su discurso al pueblo ruso que la guerra era para evitar que occidente forzará a los curas a realizar bodas gays.

También prohibió el matrimonio gay modificando la Constitución rusa.

Por eso los fanáticos en occidente son fan de Putin"
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37964148,6,,laruladelnorte,2023-03-10T18:26:41+00:00,2,32,"El papa Francisco ha vuelto a desencadenar polémica al considerar que la homosexualidad ""es pecado"". Así lo ha afirmado durante una entrevista concedida a la agencia Associated Press, en la que, no obstante, ha abogado por la abolición de las leyes contra el colectivo LGTBI, vigentes en muchos países.

""Ser homosexual no es un delito. No es un delito, pero sí es pecado"", ha dicho el papa, subrayando la necesidad de ""distinguir"" entre pecado y delito. ""También es pecado la falta de caridad con el prójimo"", ha añadido, a modo de ejemplo. O sea,si pero no..."
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37964075,5,,blockchain,2023-03-10T18:17:43+00:00,4,58,"En el 26?.
Sí que tardan en diseñar los formularios..."
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37964062,4,,mcfgdbbn3,2023-03-10T18:15:44+00:00,0,11,"Buena noticia, insuficiente, pero al menos se avanza en la buena dirección.

Nota: no estoy interesado en propaganda atea (por si alguno me la quería ofrecer), gracias."
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37964060,3,,Verdaderofalso,2023-03-10T18:15:24+00:00,1,30,Ardo en deseos de ver bilis por parte de los fanáticos {lol}
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37964029,2,,--744112--,2023-03-10T18:11:13+00:00,2,37,Bueno parece que algunos católicos empiezan a entrar en el nuevo siglo.
lgtbi,https://www.meneame.net/story/iglesia-catolica-alemania-bendecira-parejas-homosexuales-partir,3789879,37964004,1,,--165067--,2023-03-10T18:07:16+00:00,2,38,"Relacionada: https://www.meneame.net/story/iglesia-inglaterra-aprueba-bendecir-pero-no-casar-parejas [[La Iglesia de Inglaterra aprueba bendecir, pero no casar, a parejas homosexuales]]"
