tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/pp-pide-junta-electoral-retire-valla-hazteoir-imagen-maroto,3116009,26845192,20,16.0,--534998--,2019-04-22T11:59:33+00:00,0,10,"#16 El artículo que enlazas no dice en ningún momento que Hazte Oír pida el voto para Vox.

Lo tuyo con no leer lo que mandas ya es vicio."
lgtbi,https://www.meneame.net/story/pp-pide-junta-electoral-retire-valla-hazteoir-imagen-maroto,3116009,26839388,19,18.0,--588360--,2019-04-21T13:16:32+00:00,1,24,"#18 para esto sirve la educación ahora, para crear meapilas poniendo nombres que ellos creen graciosos a cosas aleatorias."
lgtbi,https://www.meneame.net/story/pp-pide-junta-electoral-retire-valla-hazteoir-imagen-maroto,3116009,26839024,18,17.0,--600194--,2019-04-21T12:16:05+00:00,0,6,#17 también conocidos por catolicólicos
lgtbi,https://www.meneame.net/story/pp-pide-junta-electoral-retire-valla-hazteoir-imagen-maroto,3116009,26838039,17,11.0,--588360--,2019-04-21T10:01:06+00:00,1,24,#11 otra palabra de neolengua  {0x1f602}
lgtbi,https://www.meneame.net/story/pp-pide-junta-electoral-retire-valla-hazteoir-imagen-maroto,3116009,26837755,16,6.0,Ratoncolorao,2019-04-21T09:07:19+00:00,1,25,"#6 Precisamente en HazteOrina piden el voto para VOX y son los mismos con distinto collar.
Me pregunto si crees que la gente es tan tonta como Maroto.
""Las conexiones de Vox con HazteOir""
https://www.eldiario.es/sociedad/conexiones-Vox-grupos-ultracatolicos_0_843766322.html

Pero compruebo que en un 70% de tus envíos mandas a la gente a leer, debe ser que te consideras un privilegiado por no ser analfabeto o algo..."
lgtbi,https://www.meneame.net/story/pp-pide-junta-electoral-retire-valla-hazteoir-imagen-maroto,3116009,26837589,15,13.0,--32677--,2019-04-21T08:35:28+00:00,0,17,#13 comunisshhhtarrr
lgtbi,https://www.meneame.net/story/pp-pide-junta-electoral-retire-valla-hazteoir-imagen-maroto,3116009,26837588,14,,--32677--,2019-04-21T08:35:11+00:00,0,17,Cría fachas que te sacarán los ojos.
lgtbi,https://www.meneame.net/story/pp-pide-junta-electoral-retire-valla-hazteoir-imagen-maroto,3116009,26837581,13,9.0,Anon0101,2019-04-21T08:33:49+00:00,0,8,#9 Como tampoco tiene sentido tener dinero y votar a partidos de izquierda para que te lo quiten.
lgtbi,https://www.meneame.net/story/pp-pide-junta-electoral-retire-valla-hazteoir-imagen-maroto,3116009,26836981,12,2.0,--215133--,2019-04-21T04:51:27+00:00,0,10,"#2 Te falta comprensión lectora, un consejo."
lgtbi,https://www.meneame.net/story/pp-pide-junta-electoral-retire-valla-hazteoir-imagen-maroto,3116009,26836897,11,2.0,--600194--,2019-04-21T01:45:26+00:00,2,8,"#2 Maroto no, el PP, que engordó al monstruo ""hazteoir"" y ahora la bestia se les ha descontrolado ¿con quien se pensaban que trataban? pues con lo que son, con catolibanes"
