tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/bruselas-propondra-reubicar-unos-120-000-refugiados-forma-ante,2472687,17635168,15,14.0,--492183--,2015-09-03T21:18:30+00:00,0,6,#14 Entonces soy yo que soy muy negativo. Mil perdones.
inmigracion,https://www.meneame.net/story/bruselas-propondra-reubicar-unos-120-000-refugiados-forma-ante,2472687,17635162,14,13.0,--234798--,2015-09-03T21:17:15+00:00,0,7,"#13 En Italia mueren ahogados, no veo que responsabilidad tiene Italia con eso. En España gobierna el PP, no se que esperas de ellos. De todas formas lo de las bolas se dejó de hacer desde ese incidente que dices, hasta entonces era un método efectivo y no letal de impedir la entrada ilegal. Las vallas con cuchillas si son un disparate de los gordos.

La mayoría de los que entran acaban en las calles, los que van a los CIEs son una minoría. Esos centros existen para 3 cosas, disuasión, consumo interno para los anti-inmigración y herramienta del gobierno para echar a quien no interesa. No existen expulsiones masivas, al menos en España."
inmigracion,https://www.meneame.net/story/bruselas-propondra-reubicar-unos-120-000-refugiados-forma-ante,2472687,17634637,13,12.0,--492183--,2015-09-03T19:24:20+00:00,1,20,"#12 Supongo que estás de broma.

Aquí en españa tienes los que se ahogaron porque les tiraban bolas desde la playa, los que se caen de la valla porque les tiran. En italia tienes muertos prácticamente a diario. 

Luego los que entran les meten en un centro de concentración hasta que pueden reenviarlos a otro o de vuelta a su pais.

Tienes que estar muy de broma."
inmigracion,https://www.meneame.net/story/bruselas-propondra-reubicar-unos-120-000-refugiados-forma-ante,2472687,17634617,12,10.0,--234798--,2015-09-03T19:19:36+00:00,0,7,#10 Que yo sepa en Europa no se le niega la ayuda a nadie. Haya entrado legalmente o de forma ilegal.
inmigracion,https://www.meneame.net/story/bruselas-propondra-reubicar-unos-120-000-refugiados-forma-ante,2472687,17634529,11,8.0,--258554--,2015-09-03T18:52:40+00:00,1,24,"#8 Bastante de acuerdo, pero no sólo es ISIS, también tienes a Al-Qaeda, a Ahrar al Sham y milicias del mismo pelo. Hay quien desde las más altas instancias está pidiendo utilizar a estos grupos para acabar con ellos. 
Vamos, lo que se llama apagar el fuego con gasolina"
inmigracion,https://www.meneame.net/story/bruselas-propondra-reubicar-unos-120-000-refugiados-forma-ante,2472687,17634177,10,9.0,--492183--,2015-09-03T17:13:48+00:00,1,5,#9 Pero las fronteras legalizan la expulsión o la denegación de ayuda a estas personas.
inmigracion,https://www.meneame.net/story/bruselas-propondra-reubicar-unos-120-000-refugiados-forma-ante,2472687,17633963,9,1.0,--234798--,2015-09-03T16:34:26+00:00,1,14,"#1 No somos seres de luz, somos seres humanos con defectos y uno de ellos es que nos sentimos a gusto con culturas similares y a disgusto con culturas muy diferentes. Y los problemas no los crean fronteras ficticias ni vallas, los problemas surgen por diferencias culturales o intereses privados, así que sin fronteras los problemas existirían igual."
inmigracion,https://www.meneame.net/story/bruselas-propondra-reubicar-unos-120-000-refugiados-forma-ante,2472687,17633704,8,,jamaicano,2015-09-03T15:53:23+00:00,0,10,"Los refugiados no son el problema, son el sintoma del problema. EL problema se llama ISIS y tiene que ser destruido, todo lo demás son parches."
inmigracion,https://www.meneame.net/story/bruselas-propondra-reubicar-unos-120-000-refugiados-forma-ante,2472687,17633559,7,4.0,landaburu,2015-09-03T15:32:56+00:00,2,33,"#4 Buf no sé, en Siria eso ya ocurrido de facto, y la limpieza étnica procesigue hacia la costa. Además aunque es cierto que es una guerra global entre chiítas y sunitas, también tiene que ver la procedencia geográfica de cada grupo.voto por devolver la  soberanía perdida al gobierno sirio y al iraquí, y por reconstruir Libia, país que ya no existe gracias a la OTAN y a los sauditas"
inmigracion,https://www.meneame.net/story/bruselas-propondra-reubicar-unos-120-000-refugiados-forma-ante,2472687,17633535,6,5.0,p11951,2015-09-03T15:29:11+00:00,1,22,"#5 La mayoría de las guerras actuales no son por banderas o fronteras, son por dinero. Poca gente está dispuesta a matar por su país, frente a la mucha que está dispuesta a matar por 1.000 €"
