tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17712181,17,16.0,--215399--,2015-09-15T14:37:30+00:00,0,11,#16 Estoy de acuerdo contigo yo también {wink}
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17712172,16,15.0,--89888--,2015-09-15T14:36:46+00:00,1,20,"#15 No, si estoy de acuerdo contigo en el millonario ese. Solo manifestaba mi comprensión sobre los deseos de los refugiados."
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17712139,15,14.0,--215399--,2015-09-15T14:32:26+00:00,1,20,"#14 Tampoco quieren ir a Italia ni Grecia, quieren ir a Alemania, Suecia y similares. Pero ese no es el tema, el tema es que un millonario extranjero pretende crearle un verdadero problema a un país en vez de crearlo en el suyo y por eso los estados pasan de él y bien que hacen."
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17712084,14,4.0,--89888--,2015-09-15T14:26:06+00:00,0,9,"#4 Porque los refugiados no quieren ir a Egipto, ni a Arabia Saudí, ni a los EAU,... que ellos conocen mejor que nadie lo que significan los países musulmanes."
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17711905,13,,--467317--,2015-09-15T13:59:18+00:00,1,13,"Menudo personaje. Si quiere ayudar que suelte toda esa pasta que quiere gastarse en la Isla, que haga lo que dice que quiere hacer (crear economía para los refugiados) y no pida que le den a él la isla . Lo único que este tipejo quiere es aprovecharse de la situación para ser gobernante de su propio País (en el sentido de ""aquí mando yo""), que como no lo tiene, lo quiere comprar.

Asco. 
Edit: Es como Rajoy: ""Una cosa es ser solidario, y otra es serlo a cambio de nada"""
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17711450,12,10.0,vicus.,2015-09-15T13:03:42+00:00,0,17,"#10 . Vamos a ver, donde no coincide el tiular y la entradilla con la noticia?.."
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17711417,11,,Noeschachi,2015-09-15T13:01:15+00:00,0,10,Que pregunte a los rusos si venden Nazino {professor}
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17711327,10,9.0,Kurkis,2015-09-15T12:53:18+00:00,0,11,"#9 Es joder buenos meneos y conseguir menos votos, entre otras cosas. Un mejor envío consigue más visitas y una cola de pendientes más agradable. Todo el mundo gana por invertir medio minuto más."
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17711295,9,8.0,vicus.,2015-09-15T12:51:10+00:00,0,17,"#8 Mira, yo copio y pego el enlace y la entradilla me va de serie, para qué complicarse la vida?"
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17711201,8,5.0,Kurkis,2015-09-15T12:40:38+00:00,1,29,"#5 Nop. 

La entradilla debe describir lo mas fielmente posible el contenido del enlace sin necesidad de entrar.
http://meneame.wikispaces.com/

#7 la puedes convertir automaticamente en erronea o microblogging"
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17711176,7,6.0,vicus.,2015-09-15T12:38:28+00:00,1,6,#6 Es que yo la prefiero poner en suspense..cosas mías.
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17711152,6,5.0,yoma,2015-09-15T12:36:32+00:00,1,29,"#5 Es que si en la entradilla coge toda la noticia es mas un telegrama que una noticia. Además en lugar de dejarla cortada, terminala al finalizar la frase anterior."
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17711138,5,2.0,vicus.,2015-09-15T12:34:35+00:00,4,-23,"#2 La entradilla es una invitación para leer la noticia, la entradilla nunca debe ser la noticia.."
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17711120,4,,--215399--,2015-09-15T12:32:27+00:00,3,43,¿Y por qué no compra un trozo de territorio Egipcio y los mete alli?
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17711110,3,,pablicius,2015-09-15T12:31:04+00:00,0,13,No sé yo si un gueto insular es la mejor idea...
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17711106,2,0.0,yoma,2015-09-15T12:30:27+00:00,3,52,#0 Puedes completar la entradilla que se ha quedado cortada y todavía tienes caracteres que usar.
inmigracion,https://www.meneame.net/story/magnate-egipcio-quiere-comprar-isla-refugiados-ya-ha-escrito-sin,2478349,17711098,1,,vicus.,2015-09-15T12:29:09+00:00,0,17,"A lo que le han respondido. ""Lo siento, solo vendemos nuestras islas a los alemanes"".."
