tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20955663,48,,ddomingo,2016-12-29T09:12:06+00:00,0,11,Yo les mandaba de vuelta a Alepo.
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20955394,47,37.0,wendigo,2016-12-29T08:07:27+00:00,1,21,"#37 Espera...a ver... que entre el cacao que llevas con el nick creo que se te fue la pinza.

Los gobiernos de X atacan un pais y provocan un conflicto, en este caso...Europeos, vale..se producen refugiados que huyen de la guerra y de la barbarie... y tenemos que acogerlos porque somos europeos y claro, culpables de lo que les pasa
Los gobiernos hacen X y lo pagamos los ciudadanos por eso del voto cada 4 años...vale

Luego resulta, que un minimo % de los refugiados...se comportan como bestias salvajes y la lian... pero nos tenemos que aguantar, porque Europa les ha obligado a marcharse de su pais y claro, hay que acogerles e integrarles...pero si son unas bestias, la culpa también es de Europa..y la gente se tiene que aguantar

Respecto a venta de armas y derivados a Siria

http://armstrade.sipri.org/armstrade/page/trade_register.php

Se supone que dicha organización lleva años controlando el trafico mundial (legal) de armas ... y el único dato que veo es 

Spain
R: Syria (32) MBB-223 Flamingo Trainer aircraft (1973) 1975 (32) 

Asi que no creo que eso sea para tanto, y que sea una excusa para que ningun refugiado pudiera cometer delitos impunemente en este Pais. 

Por lo demas, estoy un poco harto de que tengamos que hacernos responsables (los ciudadanos) de todos los males del mundo, de los que pasan fuera y de los que pasan dentro

Saludos"
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20955239,46,3.0,tiopio,2016-12-29T07:02:26+00:00,0,13,#3 Lo que yo dije es que se habían adaptado pronto a los usos costumbres alemanas. Por eso de los crematorios.
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954559,45,34.0,--521395--,2016-12-28T22:38:39+00:00,0,7,#34 Te vas a ganar el voto de Black_Bergman si sigues así {lol}
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954541,44,41.0,--521395--,2016-12-28T22:33:23+00:00,1,16,#41 Hay una derecha cuyo objetivo como cualquier grupo político es permanecer en la poltrona el mayor tiempo posible y que tiene unos votantes que piensan una cosa distinta a la que piensan los grupos económicos y la izquierda que presionan en otro sentido. Lo demás es supervivencia política y oportunismo tratando de cuadrar el círculo y satisfacer a todos.
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954525,43,42.0,--521395--,2016-12-28T22:29:43+00:00,0,7,#42 Mira quién va a hablar de películas... {lol} {lol} {lol}
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954502,42,40.0,--491159--,2016-12-28T22:23:47+00:00,1,16,#40 Algún día ganarás el Oscar por esas películas que te montas en tu cabeza.
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954497,41,35.0,--494766--,2016-12-28T22:22:53+00:00,0,9,"#35 Hay dos derechas, si no te gusta una, tienes la otra, que tiene un discurso ""diferente"", pero acude a los mismos bancos...
Desde luego es que es usted de un inocentón, ¿En qué mezquita le lavaron el cerebro?"
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954488,40,37.0,--521395--,2016-12-28T22:20:48+00:00,1,16,"#37 Sí, hemos vendido armas. Lo que cada uno haga con ellas es su problema. Y sigues contradiciéndote. Primero que eran opositores a los que se está dejando entrar dentro de un plan maquiavélico de los servicios secretos, ahora que son refugiados que inevitablemente entran por culpa de la guerra. Ambas cosas se contradicen.
Y por cierto, xenofobia es el odio al extranjero solo por serlo. Y yo por aquí no veo ninguna xenofobia. Tú mismo dices que son radicales a los que se está dejando entrar dentro de un supuesto plan conspiranoico que te inventas ¿Quién te entiende?
Ah y tienes razón, no toda la derecha española es el PP. Pero a nivel de votantes en este tema concreto no hay mucha diferencia entre un votante del PP, Ciudadanos, PNV o Convergencia(o como se llamen ahora esos). ¿O lo dudas? Poca gente de derechas conoces... {lol}"
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954487,39,26.0,--494766--,2016-12-28T22:20:34+00:00,0,9,"#26 teoría conspiranoica ¿Y si no es eso, es que nuestros dirigentes son imbéciles, incluidos sus votantes?
Inocente."
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954457,38,3.0,misterPCR,2016-12-28T22:12:01+00:00,3,39,#3 votando negativo a la noticia
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954423,37,35.0,--491159--,2016-12-28T22:01:51+00:00,2,17,"#35 Pues nada, sigue tan pesado como siempre creyendo que el origen son los barcos de refugiados. Sabes lo que si son del PP las bombas vendidas a Arabia Saudí país que financia y arma a organizaciones terroristas. Pero eso ya tal, nos hagamos como Poncio y a lavarse las manos.
España hasta el 2009 (como me digas que gobernaba la izquierda ya si que me termino de descojonar) vendía armas al tirano de Al Asad que a la hora de pasar por caja era muy honorable.

En el momento que quieras buscar las causas para saber el porqué de las consecuencias me hablas, mientras tanto sigue con tus consignas xenofobas y metiendo mierda sin querer entender la gravedad del problema.

Por cierto, en ningún momento he hablado del PP, no se a que viene, a no ser que seas tan simplón de unificar a la derecha española solamente en el PP."
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954419,36,3.0,--523080--,2016-12-28T22:00:13+00:00,3,35,#3 Votándola negativo.
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954389,35,34.0,--521395--,2016-12-28T21:53:28+00:00,1,16,"#34 ¿Qué parte no entiendes? No es no. Esa es la postura de las bases de la derecha. La postura de los partidos es ponerse de perfil y hacer lo menos posible hasta que la izquierda y la prensa se canse de protestar. ¿No era eso de lo que acusa toda la izquierda a Rajoy?
No son peperos los que han detenido en Grecia tratando de traer refugiados a España ilegalmente. Ni son del PP Colau, Carmena, Iglesias o Mónica Oltra y demás fauna de la cofradía de la santa acogida..."
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954356,34,33.0,--491159--,2016-12-28T21:44:21+00:00,4,38,"#33 La culpa es de quienes hacen campaña por ello. Punto. #9 #14 
Tienes toda la razón, la culpa es vuestra."
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954345,33,30.0,--521395--,2016-12-28T21:42:06+00:00,1,16,"#30 La culpa es de quienes hacen campaña por ello. Punto. No va a ser obviamente de quienes nos oponemos y decimos claramente que NO ES NO. Los que gobiernan no tienen una base de votantes que se lo estea pidiendo pero tienen a una izquierda y a un poder económico unidos de la mano en este tema y presionando. Y cuando dependes de partidos de la izquierda que no gobiernan pero han impuesto su hegemonía ""cultural"" en nuestras sociedades y tienes a todos los grandes medios del capital con discursos lacrimógenos de acogida, poco margen político tienes para resistir y sostener otra posición, salvo los países de Europa del este que tienen unas sociedades más sanas y menos acomplejadas."
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954334,32,16.0,Guanarteme,2016-12-28T21:39:42+00:00,1,22,#16 Eso es mentira.
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954292,31,21.0,Cabre13,2016-12-28T21:27:41+00:00,0,8,#21 Te están guardando el sitio para que hibernes cuando no tengas meneos en los que criticar a los progres que se están cargando el mundo imaginario en el que vives.
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954275,30,26.0,--491159--,2016-12-28T21:24:05+00:00,4,46,"#26 Bonita falacia... la culpa es de la izquierda que no gobierna. Si unos gobiernos de determinado lado no hubiesen llevado una guerra innecesaria a Siria no habría refugiados, pero la culpa es de la zorra de Monica Oltra y de  los pijos de Greenpeace."
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954271,29,28.0,--530249--,2016-12-28T21:23:10+00:00,1,10,"#28 es la neolengua. Si controlan el lenguaje, controlan el pensamiento, y por tanto, la verdad. Welcome to 1984."
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954258,28,,Uzer,2016-12-28T21:21:05+00:00,0,8,"¿refugiados o simplemente inmigrantes?
Lo digo porque ahora a todo el mundo lo llaman refugiado, cuando no es así"
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954254,27,,--530249--,2016-12-28T21:19:42+00:00,0,7,La culpa es del #heteropatriarcado.
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954235,26,22.0,--521395--,2016-12-28T21:14:17+00:00,5,59,"#22 Bonita teoría conspiranoica pero quienes encabezan la campaña de acogida a refugiados y puertas abiertas es la izquierda europea. Sin su aportación y presión desde partidos, medios y oenegés de izquiedas nada podrían hacer políticos de derechas como Merkel que tiene a sus propios votantes cabreados. Lo vemos en España muy bien. Quienes presionan e insultan a Rajoy por hacerse el remolón con los refugiados y piden puertas abiertas son el PSOE, Podemos, Compromis, etc, no el PP. Y mucho menos sus votantes..."
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954233,25,,BarbaNegra,2016-12-28T21:13:58+00:00,7,64,WELCOME REFUGEES {troll}
inmigracion,https://www.meneame.net/story/ingresan-prision-siete-refugiados-intentar-quemar-indigente,2715173,20954230,24,,--518444--,2016-12-28T21:13:00+00:00,0,12,"Con la de buena gente que las está pasando putas, sí, éstos podrían ir dejando el sitio libre a otros siete refugiados que sí se lo mereciesen."
