tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/italia-impide-entrada-sicilia-buque-700-inmigrantes,2448327,17333334,13,12.0,--42429--,2015-07-18T10:16:03+00:00,0,14,#12 {hug}
inmigracion,https://www.meneame.net/story/italia-impide-entrada-sicilia-buque-700-inmigrantes,2448327,17332546,12,9.0,oso_69,2015-07-18T07:32:14+00:00,1,23,"#9 Culpa mía. Comentario incompleto. En ningún momento digo, ni insinuo, ni era mi intención hacerlo que deberían haberlos abandonado en alta mar. Debería haber especificado que lo que tendrían que hacer es devolverlos a su país, simplemente. Ya he dicho muchas veces que estoy en contra de la inmigración descontrolada, pero en modo alguno voy a desear la muerte para nadie por el mero hecho de querer alcanzar otro país. 

Lo siento por ellos, pero creo que no podemos hacernos cargo de todas las personas que por distintos motivos tienen que salir de sus paises y marcharse a otros."
inmigracion,https://www.meneame.net/story/italia-impide-entrada-sicilia-buque-700-inmigrantes,2448327,17331590,11,7.0,ixo,2015-07-17T21:09:12+00:00,0,7,"#7 Quien dice Bruselas, dice Berlín. La Canciller alemana y las políticas de su Gobierno, su Europa idílica, cada día se parecen más a la fábula esa de la rana y el escorpión. Merkel no hace más que inyectar veneno en la construcción europea socavando todo tipo de derechos sociales. Cuando todo se vaya al carajo, su única justificación será decir aquello de que ""es nuestra naturaleza""."
inmigracion,https://www.meneame.net/story/italia-impide-entrada-sicilia-buque-700-inmigrantes,2448327,17330467,10,,ManTK,2015-07-17T17:39:26+00:00,0,11,Se les dan cuatro fusiles y se los manda a Siria para que monten su propio estado.
inmigracion,https://www.meneame.net/story/italia-impide-entrada-sicilia-buque-700-inmigrantes,2448327,17330446,9,5.0,--42429--,2015-07-17T17:36:02+00:00,1,3,"#5 #3 Claro, mejor están muertos en el mar antes que de paso por Italia, donde seguramente se les devolverá a su país.

Si ya dan asco países que permiten que se mueran personas porque sí, y no hablemos de personas declaradas como refugiadas, comentarios como esos que los legitiman dan todavía más asco."
inmigracion,https://www.meneame.net/story/italia-impide-entrada-sicilia-buque-700-inmigrantes,2448327,17330032,8,5.0,--432809--,2015-07-17T16:34:50+00:00,1,23,"#5 ""Que creen su propio país y se lo autogestionen""

Ojalá fuera así de simple...quizá podríamos empezar por dejar de vender armas a algunos dictadores psicópatas que hay por África y quizá así podrían ""autogestionarse"" su país."
inmigracion,https://www.meneame.net/story/italia-impide-entrada-sicilia-buque-700-inmigrantes,2448327,17329945,7,,--91567--,2015-07-17T16:20:58+00:00,4,32,"Están equivocados, a cada inmigrante ilegal lo que hay que hacer es dejarlo que se acerque a la costa, que desembarque, darle un bocadillo y meterlo en un autobús con destino a Bruselas, a la plaza más céntrica de la ciudad.

En 2 semanas tenías una solución al problema."
inmigracion,https://www.meneame.net/story/italia-impide-entrada-sicilia-buque-700-inmigrantes,2448327,17329938,6,1.0,--362399--,2015-07-17T16:19:47+00:00,1,15,"#1 La verdad es que no le falta razón, para hacinarlos como a perros en Sicilia prefiere que se busquen otra alternativa. No están en una patera, los lleva MSF así que a salvo están. Que vayan a Francia a ver que les dicen..."
inmigracion,https://www.meneame.net/story/italia-impide-entrada-sicilia-buque-700-inmigrantes,2448327,17329924,5,3.0,jamaicano,2015-07-17T16:18:17+00:00,2,4,"#3 Que creen su propio país y se lo autogestionen... a no, que es mejor invadir el de otro y vivir de sus ayudas sociales... y el que diga que no es un fascista sin corazón"
inmigracion,https://www.meneame.net/story/italia-impide-entrada-sicilia-buque-700-inmigrantes,2448327,17329906,4,2.0,CensuradoPorMeneame,2015-07-17T16:16:24+00:00,1,21,"#2 Mejor a Hamburgo.Total, estan de transito..."
inmigracion,https://www.meneame.net/story/italia-impide-entrada-sicilia-buque-700-inmigrantes,2448327,17329905,3,,oso_69,2015-07-17T16:16:24+00:00,1,-5,"Los han rescatado los de Médicos Sin Fronteras, pues que se hagan cargo ellos."
inmigracion,https://www.meneame.net/story/italia-impide-entrada-sicilia-buque-700-inmigrantes,2448327,17329869,2,,jamaicano,2015-07-17T16:11:41+00:00,0,11,"Pasaporte, bocata  y billete a Suecia, que es donde mejor los tratan. Fin del problema"
inmigracion,https://www.meneame.net/story/italia-impide-entrada-sicilia-buque-700-inmigrantes,2448327,17329850,1,,vicus.,2015-07-17T16:09:48+00:00,0,16,"Italia se hace un ""Merkel"""
