tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/hungria-podra-desplegar-ejercito-proteger-fronteras-ante-flujo,2481302,17756251,13,11.0,colipan,2015-09-22T10:53:26+00:00,0,11,"#11 y tu vas a pagar los muros que los impiden acceder?, y al ejercito que les dispara?, y si vamos mas allá vas a pagar tu las balas? o el sueldo de la policia y del ejercito?
xq te recuerdo que eso lo PAGAMOS TODOS.
o ahora ya no somos todos EUROPEOS, que facil es llenarnos la boca de Europa para endeudar a los paises pero despues ......

Mantener tu poltrona tb la pagamos el resto, que no se te olvide."
inmigracion,https://www.meneame.net/story/hungria-podra-desplegar-ejercito-proteger-fronteras-ante-flujo,2481302,17752797,12,1.0,Aucero,2015-09-21T21:13:29+00:00,0,10,#1 De la manera en que lo dices das a entender que van a ser masacrados por el ejército y no es así.
inmigracion,https://www.meneame.net/story/hungria-podra-desplegar-ejercito-proteger-fronteras-ante-flujo,2481302,17751481,11,2.0,--378913--,2015-09-21T18:07:06+00:00,1,20,"#2 ¿Cuántos refugiados vas a acoger tu en tu casa?¿Ya has encontrado trabajo para ellos?¿dónde si se puede saber?¿Tienes pensado cuanto te va a costar pagarles el colegio privado?¿Y el seguro médico?
Seguramente en tu generosidad sincera y en tu enfado por la falta de solidaridad de los demás, no entra que tu invitas y que paguen otros..."
inmigracion,https://www.meneame.net/story/hungria-podra-desplegar-ejercito-proteger-fronteras-ante-flujo,2481302,17751458,10,1.0,--378913--,2015-09-21T18:03:08+00:00,0,10,"#1 Mal planteado. Imagina que bombardean tu casa en una guerra civil, huyes a otro país pero decides que a pesar de estar ya a salvo te quieres ir a un tercer país atravesando para ello seis o siete países más. Cuando piensas que estás tranquilo descubres que no te amenazan con mandarte al ejercito ya que el ejercito no va a ir a junto tuya ni te va a hacer nada ni detener mientras no intentes cruzar la frontera de su país..."
inmigracion,https://www.meneame.net/story/hungria-podra-desplegar-ejercito-proteger-fronteras-ante-flujo,2481302,17751257,9,1.0,Gonzi,2015-09-21T17:23:05+00:00,0,9,"#1 Es una situación terrible, pero hay que tener en cuenta todos los aspectos: http://www.perezreverte.com/articulo/patentes-corso/1038/los-godos-del-emperador-valente/

Quizás habría que recurrir a una solución intermedia a integrarlos totalmente o repudiarlos. ¿Confinarlos temporalmente en campos de refugiados? Quizás allí, bien organizados entre ellos mismos con la ayuda de los países acogedores, podría hacerse una criba de indeseables."
inmigracion,https://www.meneame.net/story/hungria-podra-desplegar-ejercito-proteger-fronteras-ante-flujo,2481302,17751115,8,,bonobo,2015-09-21T17:02:31+00:00,0,18,Europa Premio Nobel de la Paz de 2012
inmigracion,https://www.meneame.net/story/hungria-podra-desplegar-ejercito-proteger-fronteras-ante-flujo,2481302,17750988,7,1.0,landaburu,2015-09-21T16:39:21+00:00,2,29,"#1 Las autoridades húngaras han abierto 26 causas para juzgar a detenidos acusados de iniciar los incidentes en la frontera serbo-húngara. En 23 de ellos ya han dictado sentencia, y 23 personas han sido condenadas... 1 iraní 7 pakistaníes 15 afganos Como se puede ver, ninguno de ellos es Sirio."
inmigracion,https://www.meneame.net/story/hungria-podra-desplegar-ejercito-proteger-fronteras-ante-flujo,2481302,17750763,6,5.0,colipan,2015-09-21T15:58:37+00:00,0,11,"#5 tb tb!!, los 2"
inmigracion,https://www.meneame.net/story/hungria-podra-desplegar-ejercito-proteger-fronteras-ante-flujo,2481302,17750685,5,2.0,MPPC,2015-09-21T15:49:45+00:00,2,29,"#2 Y Dinamarca, que es de los países más ricos y no admite refugiados.
Y nadie habla de Dinamarca."
inmigracion,https://www.meneame.net/story/hungria-podra-desplegar-ejercito-proteger-fronteras-ante-flujo,2481302,17750641,4,2.0,jukito,2015-09-21T15:44:46+00:00,0,6,"#2 Si no dan a basto con la llegada de refugiados que hacen?

Al final va a haber 2 opciones. O ayudarlos o pegarles un tiro... Hay que ayudarlos, está claro, pero es una crisis internacional. No hablamos de que se quiera ayudar o no. Es que si no se hace, va a haber un conflicto internacional gordo."
inmigracion,https://www.meneame.net/story/hungria-podra-desplegar-ejercito-proteger-fronteras-ante-flujo,2481302,17750599,3,1.0,--152893--,2015-09-21T15:38:39+00:00,2,37,"#1 Es que esos son inteligentes. Los tontos somos nosotros q nos comemos el problema de los africanos solitos porque desde Europa dicen q es un problema interno; ahora dice Alemania q el suyo es un problema Europeo e incluso llegada plantear cese temporal de schengen, algo q no ha hecho ni Reino Unido, y nos lo comemos"
inmigracion,https://www.meneame.net/story/hungria-podra-desplegar-ejercito-proteger-fronteras-ante-flujo,2481302,17750447,2,,colipan,2015-09-21T15:22:34+00:00,1,20,HUNGRIA fuera de la UE YA
inmigracion,https://www.meneame.net/story/hungria-podra-desplegar-ejercito-proteger-fronteras-ante-flujo,2481302,17750406,1,,arolasecas,2015-09-21T15:18:08+00:00,5,75,"Imagina tu vida así:
Estás en tu casa. Bombardean. Disparan. Destrozan todo
Huyes. Llegas a un sitio habiendo abandonado todo y a casi todos.
Cuando piensas que estás tranquilo te anuncian que te podrían mandar al ejército.

Yo no se lo deseo a nadie"
