tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/reportera-lia-zancadillas-patadas-refugiados,2475113,17678945,252,,Mox,2015-09-10T19:12:11+00:00,0,6,"Erronea, solo se observa una zancadilla"
inmigracion,https://www.meneame.net/story/reportera-lia-zancadillas-patadas-refugiados,2475113,17670799,251,,--481179--,2015-09-09T17:27:16+00:00,0,6,"Tu eres el que no me entiendes.... que vengan todos!!!  
Verás como a la  larga, cuando Europa sea tan pobre como Eritrea, dejan de venir. 
CONS: Vamos (europeos) a vivir mucho peor.
PROS: Van (inmigrantes/refugiados) a vivir mucho mejor.

Los europeos no tenemos mas derecho moral a vivir en Europa que ellos. Derecho legal si, pero es la ley del homnbre del primer mundo."
inmigracion,https://www.meneame.net/story/reportera-lia-zancadillas-patadas-refugiados,2475113,17668894,250,68.0,--149888--,2015-09-09T13:16:08+00:00,1,13,"#68 En realidad no es porque la han pillado, ellos sabian perfectamente su forma de pensar y por eso precisamente la contrataron. La han despedido por la presión mediática."
inmigracion,https://www.meneame.net/story/reportera-lia-zancadillas-patadas-refugiados,2475113,17668610,249,247.0,artx,2015-09-09T12:33:38+00:00,0,10,"#247 Comprendo que adviertas sobre el peligro de la furia de la horda desbocada. Está justo en la línea de no dejar pasar ciertas cosas que igual parecen poca cosa, como cuando dibujas una línea y se te va un poquito, nada, ni un milímetro, pero se te ha ido un poquito el ángulo. En un dibujo pequeño no molesta, pero sigue la proyección y esa pequeñez desdeñable se convierte en una separación de kilómetros. O no puedes unir dos partes de un puente, o no puede llegar una sonda a Marte por no apreciar que había un error en el pasar del sistema métrico al norteamericano de pulgadas etc. Es como ver una pequeña grieta y decir, bueno, no es nada grave, hasta que lo es. Y esto se puede aplicar a tantas cosas, incluso a uno mismo, como cuando por hacerte el mayor por ejemplo dejas de correr porque no puedes sudar la ropa (y luego descubres que correr se te ha vuelto cuesta arriba), o dejas de pararte a admirar y estudiar algo por pura curiosidad (y luego dejarás de aprender por tu cuenta o siguiendo aquello que te gusta), o perder la capacidad de hacer preguntas impertinentes sin vergüenza en las que demuestras que no sabes pero quieres conocer, hay tantos momentos en los que vas dejando de hacer cosas pequeñas que llega un momento en que has cambiado por completo y te has convertido en alguien que calla y ve algo injusto y ya has perdido la voz para decirlo en voz alta o para oponerte o piensas, ya vendrá otro y lo hará por mí. Y luego nadie lo hace. Ves el problema y no actúas porque has malaprendido a no actuar, y a ser ""dirigido"". Alguien sabrá más o tendrá más autoridad que yo. Y la grieta avanza."
inmigracion,https://www.meneame.net/story/reportera-lia-zancadillas-patadas-refugiados,2475113,17667758,248,,--413360--,2015-09-09T10:31:44+00:00,0,6,"Pero es normal!! Si os fijáis en el vídeo se abalanzan sobre ella como una horda de energúmenos, vosotros no os defenderíais u os dejaríais pisotear??"
inmigracion,https://www.meneame.net/story/reportera-lia-zancadillas-patadas-refugiados,2475113,17667375,247,201.0,Contubernio,2015-09-09T09:39:32+00:00,0,7,"#201 Tienes razón en lo que dices, y estoy muy de acuerdo. Lo que yo creo que no es bueno es caer en la furia inmediata de la horda desbocada. Nada más."
inmigracion,https://www.meneame.net/story/reportera-lia-zancadillas-patadas-refugiados,2475113,17666834,246,3.0,atrova,2015-09-09T08:31:44+00:00,0,10,"#3 creo es lo que se espera del periodismo, ser neutral en las noticias, como aquí (mode irònic off) también conocido como"
inmigracion,https://www.meneame.net/story/reportera-lia-zancadillas-patadas-refugiados,2475113,17666706,245,,Escarlata2014,2015-09-09T08:16:23+00:00,0,6,"Qué asquerosa, la tía. Y qué agobio, pobre gente, intentando huir y con un montón de cámaras delante de las narices."
inmigracion,https://www.meneame.net/story/reportera-lia-zancadillas-patadas-refugiados,2475113,17666586,244,,Maki_,2015-09-09T08:00:33+00:00,1,13,"Y qué, ya la han fichado el ABC o la Razón?"
inmigracion,https://www.meneame.net/story/reportera-lia-zancadillas-patadas-refugiados,2475113,17666332,243,,--212323--,2015-09-09T07:26:08+00:00,0,11,Pero que H de puta. Todo por grabarlo.
inmigracion,https://www.meneame.net/story/reportera-lia-zancadillas-patadas-refugiados,2475113,17666070,242,,Kuruñes3.0,2015-09-09T06:40:17+00:00,0,7,"Juas,  y aun hay quien dice que esta preparado, ya, preparado para quedar como una hdlgp y perder tu trabajo....
Esta aun pensaba que le iban a dar una medalla"
inmigracion,https://www.meneame.net/story/reportera-lia-zancadillas-patadas-refugiados,2475113,17665821,241,109.0,stigma1987,2015-09-09T04:44:51+00:00,0,6,"#109 Duelo a muerte...No, a  sufrimiento! Habrá gente que sabrá de donde viene esta frase de película!"
inmigracion,https://www.meneame.net/story/reportera-lia-zancadillas-patadas-refugiados,2475113,17665776,240,31.0,Muth,2015-09-09T03:59:06+00:00,2,22,"#31 Bueno, ya sabes... meneantes del medievo y eso. Da gracias a que la zancadilla la ha puesto a un inmigrante, porque si hubiera sido a un perro ahora estarían pidiendo que la quemaran viva."
inmigracion,https://www.meneame.net/story/reportera-lia-zancadillas-patadas-refugiados,2475113,17665731,239,,rustufary,2015-09-09T02:30:06+00:00,0,8,"Mira que no le deseo el mal a nadie, pero joder, qué difícil me lo ponen."
