tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/dinamarca-finlandia-fin-cultura-acogida-migrantes-paises,3877620,39700322,176,103.0,MIrahigos,2023-11-19T14:57:52+00:00,0,8,#103 Mira a ver que igual tanto tiempo en Alemania te ha abocado a la literalidad.
inmigracion,https://www.meneame.net/story/dinamarca-finlandia-fin-cultura-acogida-migrantes-paises,3877620,39699716,175,169.0,--594894--,2023-11-19T12:47:45+00:00,0,7,"#169 Y esos, de los que estás hablando conforman, precisamente, las culturas inferiores de las que yo hablaba. Las que rechazan el pensamiento científico, las que practican ablaciones, las que lapidan, las que no aceptan diálogo alguno, las que se rigen por libros de hace miles de años. ¿Y tú vas a defender que aún así no son culturas peores que el humanismo laico cientificista occidental? Reitero lo dicho: Los cojones."
inmigracion,https://www.meneame.net/story/dinamarca-finlandia-fin-cultura-acogida-migrantes-paises,3877620,39699470,174,103.0,Barriales,2023-11-19T11:57:05+00:00,1,2,"#103 Paco, vente palemania!!!!!!!
Para ti toda."
inmigracion,https://www.meneame.net/story/dinamarca-finlandia-fin-cultura-acogida-migrantes-paises,3877620,39699398,173,171.0,Malinke,2023-11-19T11:42:58+00:00,0,9,"#171 ese ya es otro tema que no tiene nada ver con lo que hablaba yo. 
No hablo si los emigranres sirios se integran, o no, hablo de que fueron a bombardear sus casas y para no morir tuvieron que largar, que después hubo países que los acogieron y que lo más lógico era que nadie fuera a bombardear sus casas y así se evitaría la necesidad de ayudar a esa gente  de la culpa que tiene Occidente en todo eso. Y no sólo con guerras y conflictos inventados para satisfacer sus intereses, sino con el trato al planeta por parte del primer mundo que acaba afectando al tercer mundo, multiplicado por diez, precisamente por la precariedad de esos países. Claro, acaban huyendo del hambre y la muerte. 

Nunca entenderé a alguien que va a otro país donde la cultura es muy distinta, principamente por temas de religión. Si su vida la basan en una religión, lo más lógico es que no fueran a otros países donde no les van a dejar realizarse. Vamos, yo no iría.
Si llevo deseando toda la vida que saquen el catolicismo de las aulas, no voy a permitir que metan el islamismo.
De todas formas, mucha gente se integra, pero eso no es noticia."
inmigracion,https://www.meneame.net/story/dinamarca-finlandia-fin-cultura-acogida-migrantes-paises,3877620,39699079,172,168.0,be_water,2023-11-19T10:47:36+00:00,0,8,"#168 Estoy hablando de los valores de Occidente, tal como los perciben desde fuera de Occidente. 
Hipocresía y codicia."
inmigracion,https://www.meneame.net/story/dinamarca-finlandia-fin-cultura-acogida-migrantes-paises,3877620,39699078,171,5.0,Nok1a,2023-11-19T10:47:08+00:00,0,6,"#5 Esas condiciones las crean ellos solitos, emigran a otros paises y en vez de integrarse, empiezan a crear la misma mierda que tenian en su pais de donde emigraban y a intentar cambiar el pais actual a la basura de donde se fueron. Hay integracion 0"
inmigracion,https://www.meneame.net/story/dinamarca-finlandia-fin-cultura-acogida-migrantes-paises,3877620,39698530,170,164.0,Ysinembargosemueve,2023-11-19T09:15:45+00:00,0,8,"#164 Claro que pueden, e incluso pudieron no empezarla."
inmigracion,https://www.meneame.net/story/dinamarca-finlandia-fin-cultura-acogida-migrantes-paises,3877620,39698435,169,167.0,armadilloamarillo,2023-11-19T08:56:38+00:00,0,13,"#167 El pensamiento supremacista es el mismo, hables de razas, culturas, etnias, religiones, ideologías o pollas en vinagre. El supremacismo es el que durante milenios ha llevado a las guerras: raciales, tribales, religiosas, étnicas, culturales, etc. Es básicamente el sentimiento tribalista destilado en un pensamiento que no concuerda con la realidad, pues nunca es tan sencilla como para hablar en esos términos. Algunos prefieren seguir viviendo en el pasado y mantener el tribalismo, otros prefieren avanzar y abandonar el retraso cultural que implica aferrarse a sentimientos tribales como el racismo, la xenofobia, el clasismo o el supremacismo."
inmigracion,https://www.meneame.net/story/dinamarca-finlandia-fin-cultura-acogida-migrantes-paises,3877620,39698419,168,163.0,Don_Pichote,2023-11-19T08:51:57+00:00,0,8,"#163 jefe estás comparando alianzas militares con convivencia en sociedad , por los cerros de Úbeda es poco"
inmigracion,https://www.meneame.net/story/dinamarca-finlandia-fin-cultura-acogida-migrantes-paises,3877620,39698041,167,128.0,--594894--,2023-11-19T07:09:58+00:00,0,7,"#128 Ese señor hablaba de razas, no de culturas."
