tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/influyente-clerigo-iraqui-achaca-desastres-naturales-matrimonio,3854688,39263429,24,,--731452--,2023-09-13T18:17:11+00:00,0,9,"No hace falta ser un lince para saber que esta noticia es una mierda y ese clérigo es gilipollas.
¿ Hay algo positivo en leer a gilipollas ?"
lgtbi,https://www.meneame.net/story/influyente-clerigo-iraqui-achaca-desastres-naturales-matrimonio,3854688,39263021,23,,Nova6K0,2023-09-13T17:16:45+00:00,0,9,"Y esto demuestra que los representantes de sus religiones son la gente más ignorante que hay. Da igual la religión.

Saludos."
lgtbi,https://www.meneame.net/story/influyente-clerigo-iraqui-achaca-desastres-naturales-matrimonio,3854688,39262234,22,5.0,ummon,2023-09-13T15:16:50+00:00,0,11,#5 Creo que te confundes con lo de Sodoma y gomorra ( lo del diluvio era como que más genérico)
lgtbi,https://www.meneame.net/story/influyente-clerigo-iraqui-achaca-desastres-naturales-matrimonio,3854688,39262153,21,2.0,zimmer,2023-09-13T15:03:33+00:00,0,9,"#2 Habrá que insistirle en que sea la de alguien mayor de edad, que no se haga el despistado..."
lgtbi,https://www.meneame.net/story/influyente-clerigo-iraqui-achaca-desastres-naturales-matrimonio,3854688,39261939,20,16.0,Galton,2023-09-13T14:33:03+00:00,0,7,"#16 No, es de Perro Sánchez... {troll}"
lgtbi,https://www.meneame.net/story/influyente-clerigo-iraqui-achaca-desastres-naturales-matrimonio,3854688,39261935,19,2.0,Galton,2023-09-13T14:32:32+00:00,0,7,"#2 También puede buscarse una cabra... aunque, a parte de desgraciar al pobre animal, podría seguir hablando... {palm}"
lgtbi,https://www.meneame.net/story/influyente-clerigo-iraqui-achaca-desastres-naturales-matrimonio,3854688,39261897,18,,curiosopaseante,2023-09-13T14:27:23+00:00,0,9,"Es curioso como si cambias el sujeto por ""El obispo ..."" o ""Una directora general de la DGA ..."", la cosa es igualmente creíble, a la par que vergonzosa."
lgtbi,https://www.meneame.net/story/influyente-clerigo-iraqui-achaca-desastres-naturales-matrimonio,3854688,39261613,17,,Gry,2023-09-13T13:52:53+00:00,0,15,¿Y por qué Irán lleva como 10 años sufriendo una sequía si ellos no lo han legalizado? {tongue}
lgtbi,https://www.meneame.net/story/influyente-clerigo-iraqui-achaca-desastres-naturales-matrimonio,3854688,39261546,16,,Don_Pichote,2023-09-13T13:45:39+00:00,1,18,"Yo diría más, la culpa es de Zapatero ! {troll}"
lgtbi,https://www.meneame.net/story/influyente-clerigo-iraqui-achaca-desastres-naturales-matrimonio,3854688,39261507,15,,Shuquel,2023-09-13T13:40:56+00:00,0,11,"No tiene ni idea, todo el mundo sabe que es porque desenterraron la momia de Franco"
lgtbi,https://www.meneame.net/story/influyente-clerigo-iraqui-achaca-desastres-naturales-matrimonio,3854688,39261479,14,,tiopio,2023-09-13T13:38:04+00:00,0,20,Pues yo creo que es por la obligatoriedad del uso del velo en Irán.
lgtbi,https://www.meneame.net/story/influyente-clerigo-iraqui-achaca-desastres-naturales-matrimonio,3854688,39261463,13,,zogo,2023-09-13T13:36:12+00:00,0,10,"Pues no estan cayendo las más gordas en los paises más tolerantes, precisamente. Igual es que su dios no anda bien de puntería..."
lgtbi,https://www.meneame.net/story/influyente-clerigo-iraqui-achaca-desastres-naturales-matrimonio,3854688,39261453,12,,deathcorekid,2023-09-13T13:34:53+00:00,1,18,"Vale, yo los achaco a que los musulmanes están rezando mal y diosito se enfada."
