tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39873531,26,13.0,eraundesfiladero,2023-12-18T05:26:50+00:00,0,6,"#13 lo de lloriquear como una lloricona eso supongo que va en la ""persona""

en todo caso tu defensa del hembrismo me da asco, también he estado revisando a fondo tus comentarios, y creo que he encontrado media neurona en total

sigue así que vas de puta madre {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}

Ayyy al ignore va... Hasta la próxima!!!"
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39873509,25,13.0,eraundesfiladero,2023-12-18T04:48:03+00:00,0,6,"#13 lo de lloriquear como una lloricona eso supongo que va en la ""persona""

en todo caso tu defensa del hembrismo me da asco, también he estado revisando a fondo tus comentarios, y creo que he encontrado media neurona en total

sigue así que vas de puta madre {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}

Ayyy al ignore va... Hasta la próxima!!!"
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39873494,24,13.0,eraundesfiladero,2023-12-18T04:24:11+00:00,0,6,"#13 lo de lloriquear como una lloricona eso supongo que va en la ""persona""

en todo caso tu defensa del hembrismo me da asco, también he estado revisando a fondo tus comentarios, y creo que he encontrado media neurona en total

sigue así que vas de puta madre {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}

Ayyy al ignore va... Hasta la próxima!!!"
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39873486,23,13.0,eraundesfiladero,2023-12-18T04:12:59+00:00,0,6,"#13 lo de lloriquear como una lloricona eso supongo que va en la ""persona""

en todo caso tu defensa del hembrismo me da asco, también he estado revisando a fondo tus comentarios, y creo que he encontrado media neurona en total

sigue así que vas de puta madre {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}

Ayyy al ignore va... Hasta la próxima!!!"
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39870592,22,13.0,eraundesfiladero,2023-12-17T13:37:56+00:00,0,5,"#13 lo de lloriquear como una lloricona eso supongo que va en la ""persona""

en todo caso tu defensa del hembrismo me da asco, también he estado revisando a fondo tus comentarios, y creo que he encontrado media neurona en total

sigue así que vas de puta madre {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}

Ayyy al ignore va... Hasta la próxima!!!"
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39868720,21,13.0,eraundesfiladero,2023-12-17T06:27:51+00:00,0,6,"#13 lo de lloriquear como una lloricona eso supongo que va en la ""persona""

en todo caso tu defensa del hembrismo me da asco, también he estado revisando a fondo tus comentarios, y creo que he encontrado media neurona en total

sigue así que vas de puta madre {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}

Ayyy al ignore va... Hasta la próxima!!!"
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39868714,20,13.0,eraundesfiladero,2023-12-17T06:24:45+00:00,0,6,"#13 lo de lloriquear como una lloricona eso supongo que va en la ""persona""

en todo caso tu defensa del hembrismo me da asco, también he estado revisando a fondo tus comentarios, y creo que he encontrado media neurona en total

sigue así que vas de puta madre {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}

Ayyy al ignore va... Hasta la próxima!!!"
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39868701,19,13.0,eraundesfiladero,2023-12-17T06:19:59+00:00,0,6,"#13 lo de lloriquear como una lloricona eso supongo que va en la ""persona""

en todo caso tu defensa del hembrismo me da asco, también he estado revisando a fondo tus comentarios, y creo que he encontrado media neurona en total

sigue así que vas de puta madre {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}

Ayyy al ignore va... Hasta la próxima!!!"
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39868508,18,13.0,eraundesfiladero,2023-12-17T01:17:36+00:00,0,6,"#13 lo de lloriquear como una lloricona eso supongo que va en la ""persona""

en todo caso tu defensa del hembrismo me da asco, también he estado revisando a fondo tus comentarios, y creo que he encontrado media neurona en total

sigue así que vas de puta madre {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}

Ayyy al ignore va... Hasta la próxima!!!"
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39868497,17,13.0,eraundesfiladero,2023-12-17T01:11:13+00:00,0,6,"#13 lo de lloriquear como una lloricona eso supongo que va en la ""persona""

en todo caso tu defensa del hembrismo me da asco, también he estado revisando a fondo tus comentarios, y creo que he encontrado media neurona en total

sigue así que vas de puta madre {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}

Ayyy al ignore va... Hasta la próxima!!!"
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39868465,16,13.0,eraundesfiladero,2023-12-17T00:58:04+00:00,0,6,"#13 lo de lloriquear como una lloricona eso supongo que va en la ""persona""

en todo caso tu defensa del hembrismo me da asco, también he estado revisando a fondo tus comentarios, y creo que he encontrado media neurona en total

sigue así que vas de puta madre {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}

Ayyy al ignore va... Hasta la próxima!!!"
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39864889,15,13.0,eraundesfiladero,2023-12-16T10:12:55+00:00,0,6,"#13 lo de lloriquear como una lloricona eso supongo que va en la ""persona""

en todo caso tu defensa del hembrismo me da asco, también he estado revisando a fondo tus comentarios, y creo que he encontrado media neurona en total

sigue así que vas de puta madre {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}

Ayyy al ignore va... Hasta la próxima!!!"
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39860653,14,11.0,ComoUnaMoto,2023-12-15T14:02:22+00:00,0,9,"#11 según yo, es más lícito odiar la censura que odiar el odio."
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39856382,13,2.0,tusko,2023-12-14T21:04:45+00:00,0,9,#2 A sufrir mugre.
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39850870,12,11.0,ComoUnaMoto,2023-12-14T07:03:39+00:00,0,9,#11 sí. Porque no hay nada más odioso que la censura.
lgtbi,https://www.meneame.net/story/hacen-google-meta-tiktok-frenar-odio-contra-colectivo-lgtbi,3886281,39849377,11,10.0,Chinchorro,2023-12-13T19:40:43+00:00,0,8,#10 osea que según tú es más lícito odiar que censurar el odio.
