tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27862092,24,6.0,Carlos_Pascual_Rebollo,2019-09-23T09:27:52+00:00,1,18,"#6 venía a esto, se olvida de los ejércitos de africanos y la guardia Mora de paco. 

Este es el nivel, el mismo día te dice que el franquismo es el pasado y hay que mirar al futuro y luego se hace pajas con la reconquista y la época imperial."
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27862047,23,,ttonitonitoni,2019-09-23T09:23:16+00:00,0,7,Ya podíamos habernos vacunado de esta escoria el 36 ....
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27861260,22,,delcarglo,2019-09-23T07:36:42+00:00,0,16,#chupito
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27860675,21,,audrey2012,2019-09-23T05:48:23+00:00,1,18,"¿La apología de la incultura y la ignorancia no está penada? 

Patriotas que desprecian una parte relevante de la historia de su país (Al-Andalus). Patriotas que desprecian a una parte de sus paisanos (catalanes, etc). Patriotas que desprecian la riqueza idiomática y diversidad cultural de su país. Patriotas que desprecian a su país envueltos en los colores de su bandera. Patriotismo basura."
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27860480,20,,ninyobolsa,2019-09-23T02:20:39+00:00,3,42,AVAJO la INTELIJENCIA. ARRIVA ESPAÑA
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27860458,19,,Trigonometrico,2019-09-23T01:24:28+00:00,3,37,Que alguien le recuerde los millones de españoles que tuvieron que emigrar  a otros países por el hambre que provocaron las políticas franquistas.
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27860413,18,8.0,NinjaBoig,2019-09-23T00:33:02+00:00,0,7,"#8 Sí, pero es MACHO. 
Muyyyyyyyy MACHO. 
Y por eso los ejpañoles de bien y pura cepa lo votarán, porque aquí se hacen las cosas POR COJONES, coño! {lol}"
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27860269,17,,Stall,2019-09-22T23:14:27+00:00,0,8,"""España tiene una ventaja: que fue vacunada contra la inmigración islámica durante ocho siglos de ocupación y ocho siglos de reconquista. Vaya mierda de titular le han puesto para lo que ha dicho (que tampoco es la panacea pero habla de una cosa específica).
Justo también pone que quiere luchar contra las fake news y esta noticia sale con titular sensacionalista {lol}  la ironía."
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27860212,16,15.0,--605234--,2019-09-22T22:56:12+00:00,0,7,#15 {lol} {lol} {lol} {lol}
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27860205,15,14.0,--472106--,2019-09-22T22:53:34+00:00,1,17,"#14 Más que el soldado ryan, que lo tuvo que salvar Forrest gump..."
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27860169,14,,--605234--,2019-09-22T22:39:25+00:00,1,17,"Tonto pa siempre, este es tonto pa siempre. Clásico tonto reclutando más tontos como el."
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27860078,13,,Rorschach_,2019-09-22T22:10:17+00:00,0,17,Lo que diga este imbécil bocachancla es del todo irrelevante.
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27860050,12,2.0,obmultimedia,2019-09-22T22:04:32+00:00,0,7,#2 es una de las condiciones para ser diputado.
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27859955,11,,GermanTequilla,2019-09-22T21:42:50+00:00,1,11,Pues para su vergüenza Vox es un partido financiado por sionistas. Si los Reyes Católicos levantaran la cabeza.  Esto es lo que dicen en su página web sobre Israel: https://www.voxespana.es/noticias/vox-israel-y-oriente-medio-20160601
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27859916,10,5.0,V.V.V.,2019-09-22T21:35:16+00:00,0,8,#5 ¿Ah pero es que éste tiene cerebro? Ahora me entero.
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27859909,9,,io1976,2019-09-22T21:33:35+00:00,0,7,"Este chico es tonto, que se lo diga a la cantidad de empresarios que se han hecho ricos a costa de explotar a los sin pañales. Este imbécil no sabe ni de que habla el mamandurrio que no ha currado en su vida."
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27859905,8,,--576782--,2019-09-22T21:32:53+00:00,0,7,"Este tío es tonto e inculto. Y lo que lo siguen, igual."
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27859851,7,,ur_quan_master,2019-09-22T21:21:56+00:00,10,109,"Habrá que recordarle a Abascal que sus admirados golpistas de 1936 trajeron gran cantidad de inmigrantes musulmanes a España con el encargo de violar y masacrar mujeres, niños y hombres españoles."
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27859840,6,,ManTK,2019-09-22T21:19:27+00:00,1,18,Se le debe haber pasado la historia española en las colonias en África. Algunos virus estuvieron a las ordenes de Franco en la guerra civil.
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27859810,5,,x.y.z,2019-09-22T21:13:58+00:00,1,27,Pa que luego digáis que las vacunas no dejan secuelas en los cerebros.
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27859749,4,,Qevmers,2019-09-22T21:02:49+00:00,1,27,"Desde que lo conozco no deja de sorprenderme con sus gilipolleces.
Y lo mejor de ""el Pistolas"" es que cuanto mas pasa el tiempo, mejoran sus gilipolleces."
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27859730,3,,nitsuga.blisset,2019-09-22T21:00:32+00:00,1,22,Irrelevante las chorradas que diga este imbécil para su público de descerebrados.
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27859723,2,,--542291--,2019-09-22T20:59:31+00:00,3,40,Este chaval es subnormal.
inmigracion,https://www.meneame.net/story/santiago-abascal-espana-vacuno-contra-inmigracion-reconquista,3186559,27859718,1,,--616931--,2019-09-22T20:59:10+00:00,16,209,Este es el nivel
