tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/detienen-profanar-cinco-sepulturas-sacar-ataudes-restos-humanos,3844220,39032006,19,,--720270--,2023-08-12T07:29:15+00:00,0,6,"¿Profanar tumbas no es ""pecado"" en la religión [...] aunque sean de infieles?"
inmigracion,https://www.meneame.net/story/detienen-profanar-cinco-sepulturas-sacar-ataudes-restos-humanos,3844220,39030221,18,17.0,Elbaronrojo,2023-08-11T18:47:26+00:00,1,29,#17 Efectivamente. Pero a lo mejor cortaron por las costuras y eso se arregla.
inmigracion,https://www.meneame.net/story/detienen-profanar-cinco-sepulturas-sacar-ataudes-restos-humanos,3844220,39030209,17,16.0,Guanarteme,2023-08-11T18:43:49+00:00,0,17,"#16 Pues ponerle y quitarle un traje a un muerto es un coñazo.... de hecho, según le escuchaba a los mayores de mi familia cuando se amortajaba en las casas, es que se cortaban por detrás y se ponía solo la parte superior del traje, como un mantel....."
inmigracion,https://www.meneame.net/story/detienen-profanar-cinco-sepulturas-sacar-ataudes-restos-humanos,3844220,39030178,16,14.0,Elbaronrojo,2023-08-11T18:38:27+00:00,1,29,"#14 Yo se de uno que era enterrador y se quedaba los dientes de oro que encontraba cuando tenía que vaciar un nicho antiguo. 

Ya más antiguo, mi madre contaba que una vez enterraron a uno. Pasados unos días su hermano vio a un tipo en la feria con un traje:  ""Ese es el traje con el que enterramos a mi hermano"". Y efectivamente: a los dos días de enterrarlo fueron de noche y lo sacaron para robarle el traje. {lol}"
inmigracion,https://www.meneame.net/story/detienen-profanar-cinco-sepulturas-sacar-ataudes-restos-humanos,3844220,39029470,15,2.0,--494055--,2023-08-11T16:33:08+00:00,0,10,#2 Tío mierda. La expresión es tío mierda. Solamente a un tío mierda se le ocurre hacer eso.
inmigracion,https://www.meneame.net/story/detienen-profanar-cinco-sepulturas-sacar-ataudes-restos-humanos,3844220,39029029,14,9.0,Guanarteme,2023-08-11T15:23:38+00:00,1,24,"#9 En los casos que está habiendo en Barcelona van a por tumbas de hace muchas décadas, cuando todavia a la gente se la amortajaba y velaba en las casas y era típico enterrar con anillos de boda, medallas de la virgen, cruces, rosarios....Y además se usaban las prótesis dentales de oro.

Hoy en día en los hospitales te dan una bolsa con las joyas y retiran las prótesis, clavos, marcapasos.... Más que nada por si se va a incinerar."
inmigracion,https://www.meneame.net/story/detienen-profanar-cinco-sepulturas-sacar-ataudes-restos-humanos,3844220,39029018,13,6.0,Top_Banana,2023-08-11T15:22:35+00:00,0,11,#6 ¿Entonces es errónea no? {troll}
inmigracion,https://www.meneame.net/story/detienen-profanar-cinco-sepulturas-sacar-ataudes-restos-humanos,3844220,39028965,12,,Borgiano,2023-08-11T15:15:31+00:00,1,17,Continuamos para bingo
inmigracion,https://www.meneame.net/story/detienen-profanar-cinco-sepulturas-sacar-ataudes-restos-humanos,3844220,39028938,11,5.0,chocoleches,2023-08-11T15:11:25+00:00,0,9,"#5 No, rateros, buscan joyas y relojes con los que entierran a los muertos."
inmigracion,https://www.meneame.net/story/detienen-profanar-cinco-sepulturas-sacar-ataudes-restos-humanos,3844220,39028862,10,5.0,Pivorexico,2023-08-11T14:59:08+00:00,0,9,"#5  El satanismo nada tiene que ver con la profanación de tumbas , sacrificio de  bebés o gatitos  , eso son cosas de  Hollywood ;

Ya que aparezcan zumbados a modo prácticamente individual, es otro tema ."
inmigracion,https://www.meneame.net/story/detienen-profanar-cinco-sepulturas-sacar-ataudes-restos-humanos,3844220,39028832,9,4.0,Lusco2,2023-08-11T14:54:14+00:00,1,16,"#4 Que yo sepa hace mucho que las funerarias se niegan a enterrar con cualquier joya, en una aldea limítrofe con la mía fue famoso el caso de una familia, que rota por el dolor de la muerte de su hijo en accidente de tráfico, colocó una pequeña urna con una cadena de oro de poco valor en la lápida columbario, no estoy seguro de cuanto duró, pero fue muy poco."
inmigracion,https://www.meneame.net/story/detienen-profanar-cinco-sepulturas-sacar-ataudes-restos-humanos,3844220,39028830,8,,OniNoNeko_Levossian,2023-08-11T14:53:59+00:00,1,14,"Más bien suena a que a alguien le soplaron que había alguien que habían enterrado con algo valioso y no dieron con la tumba correcta, aquí hace bastantes años lo hicieron con la tumba de un torero que dijeron que enterraron con un manto de oro"
