tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26980098,22,,--563099--,2019-05-12T14:29:43+00:00,0,6,"Al final han sido menos. A unos cuantos los han devuelto ""intravallas"". Pues al no superar el vallado y quedar dentro de él han sido devueltos de inmediato. Llevan asi meses. No hay asaltos de cientos y cientos como antes. Ahora son grupos pequeños, bien organizados y pertrechados. Se lanzan a la valla desde muy cerca, en las zonas donde hay carreteras cercanas. Llegan en furgones o camiones y les dejan lo mas cerca posible del vallado.  Hace unos dias uno de estos furgones atestado de subsaharianos se despeñó en un rio. Fue un desaste.
En el lado marroqui hay un poco mas de control, pero es Marruecos y las mafias campan a sus anchas. Nui el Rey de Marruecos con su ejercito puede con las mafias ni con la ""insurgencia"" en el Rif. Nunca han acatado el poder de Rabat y no lo harán en el futuro."
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979631,21,4.0,ManTK,2019-05-12T12:54:58+00:00,0,11,"#4 los intentos de salto masivo son en Ceuta.

Empecemos a contar, que ya empieza la temporada de verano que viene con anticipo."
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979359,20,,nakeddudewithapowerbook,2019-05-12T11:56:20+00:00,0,6,medio centenar es por ver el vaso medio lleno o medio vacío?
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979345,19,18.0,Maddoctor,2019-05-12T11:53:56+00:00,0,12,#18 Bufff... amén.....
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979341,18,16.0,--363705--,2019-05-12T11:53:26+00:00,1,17,"#16 Ese mensaje tambien lo has editado a posteriori. 
Cnsejo: Deja de editar tus mensajes...y si lo haces pon [edit] para que se vea el antes y despues."
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979338,17,,rob,2019-05-12T11:53:08+00:00,0,10,"Ya. En mi teclado predictivo, pongo medio y centenar y no corrige y pone centenares. Además piensas que somos idiotas."
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979330,16,13.0,Maddoctor,2019-05-12T11:51:14+00:00,0,12,"#13 Pero quieres leer? #6

Biffff."
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979323,15,11.0,rob,2019-05-12T11:50:14+00:00,0,10,#11 Nos montamos películas... {lol}
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979322,14,,rob,2019-05-12T11:49:36+00:00,0,10,"Yo me las puedo montar, sí. Tengo capacidad para ello. 
A ti te las dan con queso."
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979320,13,12.0,--363705--,2019-05-12T11:49:21+00:00,4,31,"#12 porque lo acabas de borrar...lol

madre mia...como sois algunos."
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979317,12,11.0,Maddoctor,2019-05-12T11:48:22+00:00,1,2,#11 No está centenares en etiquetas
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979313,11,9.0,--363705--,2019-05-12T11:47:44+00:00,1,17,"#9 el ""centenares"" de la etiqueta es 100% falso. En ese sentido esta claro quien se ha montado la película. También es evidente que las palabras escogidas para el titular magnifican la situación."
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979304,10,,rob,2019-05-12T11:46:21+00:00,0,10,"No. Por manipulador.
De la noticia: ""Alrededor de medio centenar..."" Al final habrán sido 13."
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979300,9,8.0,Maddoctor,2019-05-12T11:45:24+00:00,1,2,#8 buf qué películas te montas.... encantado.
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979293,8,6.0,rob,2019-05-12T11:44:24+00:00,1,14,"#6 ¿Y el centenares de tus etiquetas? ¿También verdad?
Amarillista, sensacionalista y mucho hespañol."
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979292,7,4.0,Maddoctor,2019-05-12T11:44:06+00:00,2,12,"#4 Ah guay, negativo por solo responder. Gracias."
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979276,6,4.0,Maddoctor,2019-05-12T11:41:41+00:00,3,23,"#4 Si son 50, y es el mayor en seis meses, el titular es totalmente descriptivo.

Lo de la etiqueta es error mío por  teclado predictivo, no del artículo. Lo he corregido."
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979271,5,1.0,rob,2019-05-12T11:40:56+00:00,0,10,#1 {palm}
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979263,4,,rob,2019-05-12T11:39:59+00:00,7,47,"O sea que el mayor ""asalto"" en seis meses, son 50 personas. Cojonudo el titular. Amarillo no, lo siguiente. Sobre todo el ""centenares"" de las etiquetas. {palm}"
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979259,3,,--588467--,2019-05-12T11:39:09+00:00,1,15,Y a los que han saltado se les agarra y para Marruecos de vuelta.
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979224,2,,aunotrovago,2019-05-12T11:31:53+00:00,0,16,Los dos rompimos llorando cuando saltaron la reja.
inmigracion,https://www.meneame.net/story/medio-centenar-inmigrantes-entran-melilla-mayor-asalto-valla,3125979,26979213,1,,Mercaching,2019-05-12T11:29:34+00:00,2,13,Malditos roedores.
