tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/numero-dos-albert-rivera-hay-derogar-matrimonio-homosexual,3153508,27369082,35,34.0,troymclure,2019-07-09T16:27:46+00:00,0,9,"#34 NO te he visto defendiendo a Podemos con la misma pasion con la que defiendes a Girauta
Asi que no, no es lo mismo, ni te da igual"
lgtbi,https://www.meneame.net/story/numero-dos-albert-rivera-hay-derogar-matrimonio-homosexual,3153508,27367755,34,33.0,Maegruin,2019-07-09T13:39:46+00:00,0,6,"#33 He dicho yo algo de Podemos??? Me da igual quien sea, unas declaraciones de hace 15 años me parece que no representan nada a un partido político al que ha entrado mucho despues."
lgtbi,https://www.meneame.net/story/numero-dos-albert-rivera-hay-derogar-matrimonio-homosexual,3153508,27365066,33,32.0,troymclure,2019-07-09T09:13:23+00:00,0,9,"#32 Cambia Girauta por Iglesias... veras como entonces si hay que sacarle hasta los pajotes que se hacia con 15 años
Hemeroteca para Podemos ... BIEN
Hemeroteca para los demas... MAL
Que pasa que no gusta cuando te dan a probar tu propia medicina???"
lgtbi,https://www.meneame.net/story/numero-dos-albert-rivera-hay-derogar-matrimonio-homosexual,3153508,27364478,32,7.0,Maegruin,2019-07-09T07:54:33+00:00,0,6,"#7 Como dicen por ahi la noticia es de 2005, y hecha a nivel personal cuando todavía ni existía Ciudadanos como partido. Sacar estas declaraciones como representativas de la posición de Cs sobre el colectivo LGTBI me parece cuando menos arriesgado."
lgtbi,https://www.meneame.net/story/numero-dos-albert-rivera-hay-derogar-matrimonio-homosexual,3153508,27363846,31,26.0,Ze7eN,2019-07-09T06:01:38+00:00,2,24,"#26 Que tú digas que ""la LGTBI"" (habría que ver que es eso) se dedica a hacer campaña política por los partidos de izquierdas, tiene la misma credibilidad que Ciudadanos diciendo que les han agredido y la policía desmintiéndoles. Aquí lo único que ha pasado es que tres partidos de derechas se han negado a firmar un manifiesto obligatorio para quién deseara participar de una festividad de reivindicación política y luego uno de ellos ha pretendido ir de víctima. A vender la moto a tus amigos."
lgtbi,https://www.meneame.net/story/numero-dos-albert-rivera-hay-derogar-matrimonio-homosexual,3153508,27363658,30,,sillycon,2019-07-09T04:15:22+00:00,0,7,"Por qué está la palabra dos entre comillas. Qué tiene de especial.

Por qué ha muerto la puntuación."
lgtbi,https://www.meneame.net/story/numero-dos-albert-rivera-hay-derogar-matrimonio-homosexual,3153508,27363619,29,22.0,Rincewind_Octarino,2019-07-09T02:29:48+00:00,0,6,#22 Tooooonto!! {troll}
lgtbi,https://www.meneame.net/story/numero-dos-albert-rivera-hay-derogar-matrimonio-homosexual,3153508,27363560,28,,NoseMenea,2019-07-09T00:35:10+00:00,0,7,pues si que han tenido que tirar de hemeroteca han estado todo el finde escudriñando
lgtbi,https://www.meneame.net/story/numero-dos-albert-rivera-hay-derogar-matrimonio-homosexual,3153508,27363557,27,12.0,--214483--,2019-07-09T00:27:01+00:00,2,20,"#12 pero alguna vez no fueron extremaderecha? A si, cuando se centraban únicamente en joder a catalanes."
lgtbi,https://www.meneame.net/story/numero-dos-albert-rivera-hay-derogar-matrimonio-homosexual,3153508,27363468,26,2.0,escuadron,2019-07-08T23:31:32+00:00,4,9,"#2 Si la LGTBI se dedica a hacer campaña política por los partidos de izquierdas, me parece que merece al menos un estudio de los porqués.
Se están desviando de su función para hacer propaganda e intentar coaccionar a partidos políticos."
