tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/colau-propone-barcelona-integre-red-ciudades-refugio-paliar,2470868,17614678,36,35.0,--152779--,2015-09-01T01:19:16+00:00,0,13,"#35 Cuando aprendas a mantener una conversación sin insultar, buscas a otro con quien hablar. Adios."
inmigracion,https://www.meneame.net/story/colau-propone-barcelona-integre-red-ciudades-refugio-paliar,2470868,17614663,35,33.0,matias64,2015-09-01T01:09:41+00:00,1,-7,#33 pero eres idiota o solo eres niñorata al que su madre le escupe en vez de abrazar? quien coño te ha dicho que no haga las dos cosas. Que informacion tienes al respecto?
inmigracion,https://www.meneame.net/story/colau-propone-barcelona-integre-red-ciudades-refugio-paliar,2470868,17614661,34,8.0,LogicNotFound,2015-09-01T01:09:22+00:00,0,7,"#8 Y cuando vayan a ayudar a los sin techo nacionales dirá que esta muy bien,pero primero a los parados para que no acaben en esa situación,cuando ayuden a parados dirá que si,que vale..pero primeros a los que ya tienen trabajo para que no acaben parados y cuando...ad infinitum.

Como si hacer unas cosas incapacitara inmediatamente para hacer otras,en definitiva la misma cantinela de siempre que toma por tontos a quien las lee."
inmigracion,https://www.meneame.net/story/colau-propone-barcelona-integre-red-ciudades-refugio-paliar,2470868,17614649,33,32.0,--152779--,2015-09-01T01:05:50+00:00,0,13,"#32 Y si no sabes leer y comprender tuya, {wink} Que yo sepa un Ayuntamiento puede hacer dos cosas a la vez, o no..."
inmigracion,https://www.meneame.net/story/colau-propone-barcelona-integre-red-ciudades-refugio-paliar,2470868,17614648,32,31.0,matias64,2015-09-01T01:05:01+00:00,0,6,#31 tu comentario daba a enteder que solo se preocupa de los extranjeros y no de los de casa cuando esto es total y absolutamente mentira dado como ya dije ella misma defendió y defiende en primera linea a todas las personas en riesgo de exclusión. Si no sabes expresarte es culpa tuya
inmigracion,https://www.meneame.net/story/colau-propone-barcelona-integre-red-ciudades-refugio-paliar,2470868,17614635,31,30.0,--152779--,2015-09-01T00:57:35+00:00,0,13,"#30 Eso es lo que tu dices. Ahora voy a tener que responder como el ""señor"" quiere. 

Cuando intento mostrar un problema y esto no invalida que pueda hacer refugios para sirios, o quien le venga en gana."
inmigracion,https://www.meneame.net/story/colau-propone-barcelona-integre-red-ciudades-refugio-paliar,2470868,17614632,30,29.0,matias64,2015-09-01T00:56:07+00:00,0,6,#29 contestas de la unica forma que sabes que es diferente
inmigracion,https://www.meneame.net/story/colau-propone-barcelona-integre-red-ciudades-refugio-paliar,2470868,17614631,29,28.0,--152779--,2015-09-01T00:55:15+00:00,0,13,"#28 Contesto como me parece, ¿tu?"
inmigracion,https://www.meneame.net/story/colau-propone-barcelona-integre-red-ciudades-refugio-paliar,2470868,17614629,28,27.0,matias64,2015-09-01T00:54:32+00:00,0,6,#27 no sabes contestar sin sensacionalismos?
inmigracion,https://www.meneame.net/story/colau-propone-barcelona-integre-red-ciudades-refugio-paliar,2470868,17614625,27,26.0,--152779--,2015-09-01T00:53:00+00:00,0,13,"#26 Si, si, odio a los negros, los amarillos, los rojos, y a los verdes también. 

Pero cuando hay un problema tengo que dormir en el parque. Como muchos otros y otras."
